,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.009,0.025,0.8121891330353207,366911444.444444,0.008,0.025,0.8188396597689475,342172518.518519,0.006,0.012,0.8255999999999999,325111814.814815,0.006,0.012,0.8324728962312854,309812185.185185,0.006,0.009,0.8324728962312854,310160444.444444,0.009,0.025,0.8056457656757433,392190592.592593
1998-01-01,0.009,0.025,0.8056457656757433,392190592.592593,0.009,0.025,0.8121891330353207,366911444.444444,0.008,0.025,0.8188396597689475,342172518.518519,0.006,0.012,0.8255999999999999,325111814.814815,0.006,0.012,0.8324728962312854,309812185.185185,0.01,0.028,0.7992069884145964,445903592.592593
1999-01-01,0.01,0.028,0.7992069884145964,445903592.592593,0.009,0.025,0.8056457656757433,392190592.592593,0.009,0.025,0.8121891330353207,366911444.444444,0.008,0.025,0.8188396597689475,342172518.518519,0.006,0.012,0.8255999999999999,325111814.814815,0.014,0.0272,0.7928703134603565,482009370.37037
2000-01-01,0.014,0.0272,0.7928703134603565,482009370.37037,0.01,0.028,0.7992069884145964,445903592.592593,0.009,0.025,0.8056457656757433,392190592.592593,0.009,0.025,0.8121891330353207,366911444.444444,0.008,0.025,0.8188396597689475,342172518.518519,0.017,0.027,0.7866333313006891,520044370.37037
2001-01-01,0.017,0.027,0.7866333313006891,520044370.37037,0.014,0.0272,0.7928703134603565,482009370.37037,0.01,0.028,0.7992069884145964,445903592.592593,0.009,0.025,0.8056457656757433,392190592.592593,0.009,0.025,0.8121891330353207,366911444.444444,0.019,0.027,0.6149936704147713,520444185.185185
2002-01-01,0.019,0.027,0.6149936704147713,520444185.185185,0.017,0.027,0.7866333313006891,520044370.37037,0.014,0.0272,0.7928703134603565,482009370.37037,0.01,0.028,0.7992069884145964,445903592.592593,0.009,0.025,0.8056457656757433,392190592.592593,0.02,0.032,0.6112346162136731,540336925.925926
2003-01-01,0.02,0.032,0.6112346162136731,540336925.925926,0.019,0.027,0.6149936704147713,520444185.185185,0.017,0.027,0.7866333313006891,520044370.37037,0.014,0.0272,0.7928703134603565,482009370.37037,0.01,0.028,0.7992069884145964,445903592.592593,0.021,0.032,0.607521236117686,591018407.407407
2004-01-01,0.021,0.032,0.607521236117686,591018407.407407,0.02,0.032,0.6112346162136731,540336925.925926,0.019,0.027,0.6149936704147713,520444185.185185,0.017,0.027,0.7866333313006891,520044370.37037,0.014,0.0272,0.7928703134603565,482009370.37037,0.02,0.032,0.6038527027138157,599118592.592593
2005-01-01,0.02,0.032,0.6038527027138157,599118592.592593,0.021,0.032,0.607521236117686,591018407.407407,0.02,0.032,0.6112346162136731,540336925.925926,0.019,0.027,0.6149936704147713,520444185.185185,0.017,0.027,0.7866333313006891,520044370.37037,0.016,0.032,0.6002282084546119,695555555.555555
2006-01-01,0.016,0.032,0.6002282084546119,695555555.555555,0.02,0.032,0.6038527027138157,599118592.592593,0.021,0.032,0.607521236117686,591018407.407407,0.02,0.032,0.6112346162136731,540336925.925926,0.019,0.027,0.6149936704147713,520444185.185185,0.016,0.032,0.5966469650654009,698700666.666667
2007-01-01,0.016,0.032,0.5966469650654009,698700666.666667,0.016,0.032,0.6002282084546119,695555555.555555,0.02,0.032,0.6038527027138157,599118592.592593,0.021,0.032,0.607521236117686,591018407.407407,0.02,0.032,0.6112346162136731,540336925.925926,0.007,0.0322,0.5931082029728098,758683592.592593
2008-01-01,0.007,0.0322,0.5931082029728098,758683592.592593,0.016,0.032,0.5966469650654009,698700666.666667,0.016,0.032,0.6002282084546119,695555555.555555,0.02,0.032,0.6038527027138157,599118592.592593,0.021,0.032,0.607521236117686,591018407.407407,0.016,0.04973,0.5896111707534402,825976037.037037
2009-01-01,0.016,0.04973,0.5896111707534402,825976037.037037,0.007,0.0322,0.5931082029728098,758683592.592593,0.016,0.032,0.5966469650654009,698700666.666667,0.016,0.032,0.6002282084546119,695555555.555555,0.02,0.032,0.6038527027138157,599118592.592593,0.018,0.04835,0.5861551346018696,771275555.555555
2010-01-01,0.018,0.04835,0.5861551346018696,771275555.555555,0.016,0.04973,0.5896111707534402,825976037.037037,0.007,0.0322,0.5931082029728098,758683592.592593,0.016,0.032,0.5966469650654009,698700666.666667,0.016,0.032,0.6002282084546119,695555555.555555,0.017,0.04865,0.5827393778174458,771013259.259259
2011-01-01,0.017,0.04865,0.5827393778174458,771013259.259259,0.018,0.04835,0.5861551346018696,771275555.555555,0.016,0.04973,0.5896111707534402,825976037.037037,0.007,0.0322,0.5931082029728098,758683592.592593,0.016,0.032,0.5966469650654009,698700666.666667,0.016,0.05003,0.8665456554336648,778655925.925926
2012-01-01,0.016,0.05003,0.8665456554336648,778655925.925926,0.017,0.04865,0.5827393778174458,771013259.259259,0.018,0.04835,0.5861551346018696,771275555.555555,0.016,0.04973,0.5896111707534402,825976037.037037,0.007,0.0322,0.5931082029728098,758683592.592593,0.015,0.04865,0.8591011517275889,799882259.259259
2013-01-01,0.015,0.04865,0.8591011517275889,799882259.259259,0.016,0.05003,0.8665456554336648,778655925.925926,0.017,0.04865,0.5827393778174458,771013259.259259,0.018,0.04835,0.5861551346018696,771275555.555555,0.016,0.04973,0.5896111707534402,825976037.037037,0.015,0.04935,0.851783470125528,842620111.111111
