,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Economics: GDP
1997-01-01,0.588,0.023,0.021,0.974,-0.002,15674835615.3139,0.486,0.03,0.065,0.836,0.035,14655404433.2771,0.396,0.0,0.0,0.836,0.0,12983235568.2292,0.381,0.0,0.0,0.821,0.0,11399942453.0646,0.342,0.0,0.0,0.751,0.0,10440842165.3193,0.764,0.088,0.018,0.974,-0.07,17790026221.6139
1998-01-01,0.764,0.088,0.018,0.974,-0.07,17790026221.6139,0.588,0.023,0.021,0.974,-0.002,15674835615.3139,0.486,0.03,0.065,0.836,0.035,14655404433.2771,0.396,0.0,0.0,0.836,0.0,12983235568.2292,0.381,0.0,0.0,0.821,0.0,11399942453.0646,0.915,0.061,0.023,1.15,-0.038,19395491992.9939
1999-01-01,0.915,0.061,0.023,1.15,-0.038,19395491992.9939,0.764,0.088,0.018,0.974,-0.07,17790026221.6139,0.588,0.023,0.021,0.974,-0.002,15674835615.3139,0.486,0.03,0.065,0.836,0.035,14655404433.2771,0.396,0.0,0.0,0.836,0.0,12983235568.2292,0.794,0.465,0.245,1.2909,-0.22,18318412251.3642
2000-01-01,0.794,0.465,0.245,1.2909,-0.22,18318412251.3642,0.915,0.061,0.023,1.15,-0.038,19395491992.9939,0.764,0.088,0.018,0.974,-0.07,17790026221.6139,0.588,0.023,0.021,0.974,-0.002,15674835615.3139,0.486,0.03,0.065,0.836,0.035,14655404433.2771,1.494,0.827,0.123,1.8577,-0.704,19288827158.9035
2001-01-01,1.494,0.827,0.123,1.8577,-0.704,19288827158.9035,0.794,0.465,0.245,1.2909,-0.22,18318412251.3642,0.915,0.061,0.023,1.15,-0.038,19395491992.9939,0.764,0.088,0.018,0.974,-0.07,17790026221.6139,0.588,0.023,0.021,0.974,-0.002,15674835615.3139,1.347,0.336,0.095,1.8974,-0.241,18405203853.1036
2002-01-01,1.347,0.336,0.095,1.8974,-0.241,18405203853.1036,1.494,0.827,0.123,1.8577,-0.704,19288827158.9035,0.794,0.465,0.245,1.2909,-0.22,18318412251.3642,0.915,0.061,0.023,1.15,-0.038,19395491992.9939,0.764,0.088,0.018,0.974,-0.07,17790026221.6139,1.374,0.44,0.055,1.6982,-0.385,20444205991.025
2003-01-01,1.374,0.44,0.055,1.6982,-0.385,20444205991.025,1.347,0.336,0.095,1.8974,-0.241,18405203853.1036,1.494,0.827,0.123,1.8577,-0.704,19288827158.9035,0.794,0.465,0.245,1.2909,-0.22,18318412251.3642,0.915,0.061,0.023,1.15,-0.038,19395491992.9939,1.031,0.428,0.031,2.1921,-0.397,21576351798.9145
2004-01-01,1.031,0.428,0.031,2.1921,-0.397,21576351798.9145,1.374,0.44,0.055,1.6982,-0.385,20444205991.025,1.347,0.336,0.095,1.8974,-0.241,18405203853.1036,1.494,0.827,0.123,1.8577,-0.704,19288827158.9035,0.794,0.465,0.245,1.2909,-0.22,18318412251.3642,1.093,0.464,0.041,2.1661,-0.423,23577286226.6407
2005-01-01,1.093,0.464,0.041,2.1661,-0.423,23577286226.6407,1.031,0.428,0.031,2.1921,-0.397,21576351798.9145,1.374,0.44,0.055,1.6982,-0.385,20444205991.025,1.347,0.336,0.095,1.8974,-0.241,18405203853.1036,1.494,0.827,0.123,1.8577,-0.704,19288827158.9035,1.442,0.339,0.023,2.3286,-0.316,26783543667.064
2006-01-01,1.442,0.339,0.023,2.3286,-0.316,26783543667.064,1.093,0.464,0.041,2.1661,-0.423,23577286226.6407,1.031,0.428,0.031,2.1921,-0.397,21576351798.9145,1.374,0.44,0.055,1.6982,-0.385,20444205991.025,1.347,0.336,0.095,1.8974,-0.241,18405203853.1036,0.945,0.09,0.008,2.4197,-0.082,29744368110.9094
