,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.00336,0.021,0.04464,31.222970242214533,2.334403919433864,270419779.418107,0.00329,0.011,0.04371,30.510726643598616,2.39020086203966,253966922.278198,0.00322,0.011,0.04278,29.7984830449827,2.4487304380796675,235620043.500927,0.00308,0.011,0.04092,29.08623944636678,2.5101984311186567,236880821.656388,0.00287,0.011,0.03813,28.373995847750862,2.5101984311186567,226313443.749086,0.0035,0.021,0.0465,31.935213840830453,2.281152603646082,268550998.219197
1998-01-01,0.0035,0.021,0.0465,31.935213840830453,2.281152603646082,268550998.219197,0.00336,0.021,0.04464,31.222970242214533,2.334403919433864,270419779.418107,0.00329,0.011,0.04371,30.510726643598616,2.39020086203966,253966922.278198,0.00322,0.011,0.04278,29.7984830449827,2.4487304380796675,235620043.500927,0.00308,0.011,0.04092,29.08623944636678,2.5101984311186567,236880821.656388,0.0035,0.021,0.0465,32.64745743944636,2.230276591119236,206457544.497703
1999-01-01,0.0035,0.021,0.0465,32.64745743944636,2.230276591119236,206457544.497703,0.0035,0.021,0.0465,31.935213840830453,2.281152603646082,268550998.219197,0.00336,0.021,0.04464,31.222970242214533,2.334403919433864,270419779.418107,0.00329,0.011,0.04371,30.510726643598616,2.39020086203966,253966922.278198,0.00322,0.011,0.04278,29.7984830449827,2.4487304380796675,235620043.500927,0.00357,0.021,0.04743,33.35970103806228,2.181620421550342,224446663.800548
2000-01-01,0.00357,0.021,0.04743,33.35970103806228,2.181620421550342,224446663.800548,0.0035,0.021,0.0465,32.64745743944636,2.230276591119236,206457544.497703,0.0035,0.021,0.0465,31.935213840830453,2.281152603646082,268550998.219197,0.00336,0.021,0.04464,31.222970242214533,2.334403919433864,270419779.418107,0.00329,0.011,0.04371,30.510726643598616,2.39020086203966,253966922.278198,0.0,0.021,0.03,34.071944636678204,2.135041911206796,371095510.047761
2001-01-01,0.0,0.021,0.03,34.071944636678204,2.135041911206796,371095510.047761,0.00357,0.021,0.04743,33.35970103806228,2.181620421550342,224446663.800548,0.0035,0.021,0.0465,32.64745743944636,2.230276591119236,206457544.497703,0.0035,0.021,0.0465,31.935213840830453,2.281152603646082,268550998.219197,0.00336,0.021,0.04464,31.222970242214533,2.334403919433864,270419779.418107,0.0,0.021,0.03,35.003075432525954,2.7328372529855485,392621385.894576
2002-01-01,0.0,0.021,0.03,35.003075432525954,2.7328372529855485,392621385.894576,0.0,0.021,0.03,34.071944636678204,2.135041911206796,371095510.047761,0.00357,0.021,0.04743,33.35970103806228,2.181620421550342,224446663.800548,0.0035,0.021,0.0465,32.64745743944636,2.230276591119236,206457544.497703,0.0035,0.021,0.0465,31.935213840830453,2.281152603646082,268550998.219197,0.0,0.021,0.02,35.934206228373704,2.660139957252188,417806667.07798
2003-01-01,0.0,0.021,0.02,35.934206228373704,2.660139957252188,417806667.07798,0.0,0.021,0.03,35.003075432525954,2.7328372529855485,392621385.894576,0.0,0.021,0.03,34.071944636678204,2.135041911206796,371095510.047761,0.00357,0.021,0.04743,33.35970103806228,2.181620421550342,224446663.800548,0.0035,0.021,0.0465,32.64745743944636,2.230276591119236,206457544.497703,0.0,0.022,0.02,36.86533702422145,2.5912101409172945,477458598.710737
2004-01-01,0.0,0.022,0.02,36.86533702422145,2.5912101409172945,477458598.710737,0.0,0.021,0.02,35.934206228373704,2.660139957252188,417806667.07798,0.0,0.021,0.03,35.003075432525954,2.7328372529855485,392621385.894576,0.0,0.021,0.03,34.071944636678204,2.135041911206796,371095510.047761,0.00357,0.021,0.04743,33.35970103806228,2.181620421550342,224446663.800548,0.0,0.022,0.03,37.7964678200692,2.525762331254345,532062927.382438
2005-01-01,0.0,0.022,0.03,37.7964678200692,2.525762331254345,532062927.382438,0.0,0.022,0.02,36.86533702422145,2.5912101409172945,477458598.710737,0.0,0.021,0.02,35.934206228373704,2.660139957252188,417806667.07798,0.0,0.021,0.03,35.003075432525954,2.7328372529855485,392621385.894576,0.0,0.021,0.03,34.071944636678204,2.135041911206796,371095510.047761,0.0,0.022,0.03,38.72759861591695,2.463539186466892,587029054.444652
2006-01-01,0.0,0.022,0.03,38.72759861591695,2.463539186466892,587029054.444652,0.0,0.022,0.03,37.7964678200692,2.525762331254345,532062927.382438,0.0,0.022,0.02,36.86533702422145,2.5912101409172945,477458598.710737,0.0,0.021,0.02,35.934206228373704,2.660139957252188,417806667.07798,0.0,0.021,0.03,35.003075432525954,2.7328372529855485,392621385.894576,0.0,0.023,0.03,39.65872941176471,2.40430811391714,592365688.05204
2007-01-01,0.0,0.023,0.03,39.65872941176471,2.40430811391714,592365688.05204,0.0,0.022,0.03,38.72759861591695,2.463539186466892,587029054.444652,0.0,0.022,0.03,37.7964678200692,2.525762331254345,532062927.382438,0.0,0.022,0.02,36.86533702422145,2.5912101409172945,477458598.710737,0.0,0.021,0.02,35.934206228373704,2.660139957252188,417806667.07798,0.0,0.023,0.03,40.58986020761245,2.347858364750153,696910810.918663
2008-01-01,0.0,0.023,0.03,40.58986020761245,2.347858364750153,696910810.918663,0.0,0.023,0.03,39.65872941176471,2.40430811391714,592365688.05204,0.0,0.022,0.03,38.72759861591695,2.463539186466892,587029054.444652,0.0,0.022,0.03,37.7964678200692,2.525762331254345,532062927.382438,0.0,0.022,0.02,36.86533702422145,2.5912101409172945,477458598.710737,0.0,0.0272,0.03,41.52099100346021,2.2939985284135664,868154708.520179
2009-01-01,0.0,0.0272,0.03,41.52099100346021,2.2939985284135664,868154708.520179,0.0,0.023,0.03,40.58986020761245,2.347858364750153,696910810.918663,0.0,0.023,0.03,39.65872941176471,2.40430811391714,592365688.05204,0.0,0.022,0.03,38.72759861591695,2.463539186466892,587029054.444652,0.0,0.022,0.03,37.7964678200692,2.525762331254345,532062927.382438,0.0,0.0272,0.03,42.45212179930795,2.2425543642976873,830126469.986608
2010-01-01,0.0,0.0272,0.03,42.45212179930795,2.2425543642976873,830126469.986608,0.0,0.0272,0.03,41.52099100346021,2.2939985284135664,868154708.520179,0.0,0.023,0.03,40.58986020761245,2.347858364750153,696910810.918663,0.0,0.023,0.03,39.65872941176471,2.40430811391714,592365688.05204,0.0,0.022,0.03,38.72759861591695,2.463539186466892,587029054.444652,0.0,0.0272,0.03,43.38325259515571,2.1933669187365155,849878424.225986
