,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.03514,0.186,27.457869411893903,2.937205384666673,3284620543.22982
1993-01-01,0.03549,0.186,28.2643634307748,2.937205384666673,3279096606.21358
1994-01-01,0.03563,0.186,29.070857449655698,2.853395304147442,3383092827.5866
1995-01-01,0.03654,0.186,29.877351468536588,2.774235401475737,3693710532.91191
1996-01-01,0.03689,0.186,30.68384548741748,2.69934910304952,3868968301.91851
1997-01-01,0.0434,0.186,31.49033950629838,2.6283994267003257,3783700461.64359
1998-01-01,0.04501,0.186,32.29683352517927,2.561083911844089,3588375476.76248
1999-01-01,0.05075,0.195,33.103327544060164,2.497130309236464,3461282543.12577
2000-01-01,0.0,0.347,33.90982156294106,2.4362929007890832,2995361140.63217
2001-01-01,0.0,0.347,34.69636048597355,2.3195018044331905,2829435956.51563
2002-01-01,0.0,0.347,35.482899409006045,2.2669205415664893,2950198648.95191
2003-01-01,0.0,0.347,36.26943833203855,2.216670385264137,3446441698.00738
2004-01-01,0.0,0.337,37.05597725507104,2.1685996784176975,3635458132.65317
2005-01-01,0.0,0.337,37.84251617810353,2.122569640029819,2937071767.25576
2006-01-01,0.0,0.331,38.629055101136025,2.0784530270944317,4220019242.74824
2007-01-01,0.0,0.339,39.41559402416852,2.036132959952629,6281917655.90249
2008-01-01,0.0,0.314,40.202132947201015,1.9955018882887248,6964179193.84418
2009-01-01,0.0,0.318,40.98867187023351,1.956460678505502,6716904568.76482
2010-01-01,0.0,0.33,41.775210793266005,1.9189178061748504,6853467857.61127
2011-01-01,0.0,0.2582,42.87769719796467,2.6390923798196195,6785137172.77058
2012-01-01,0.0,0.2676,43.98018360266334,2.5712351099652793,7638045254.42864
2013-01-01,0.0,0.3936,45.082670007362005,2.506779904920411,8376613843.27265
2014-01-01,0.0,0.2842,46.18515641206067,2.4454771745298807,8778473614.54728
2015-01-01,0.0,0.6093,47.28764281675934,2.3871011605165116,8794202443.67366
2016-01-01,0.0,0.6074,48.57225541676666,2.716592588438429,8595955581.21787
2017-01-01,0.263,0.624,49.85686801677398,2.6447456248117436,10324668266.5921
2018-01-01,0.2871,0.629,51.1414806167813,2.5766010804672344,11857030336.5252
2019-01-01,0.3029,0.635,52.42609321678862,2.5118799544215684,13513809258.2131
2020-01-01,0.3,0.992,53.710705816795944,2.450330591477193,15681050917.1563
2021-01-01,0.297085577,0.992,55.04112959972667,2.477017873249935,15681050917.1563
