,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.138,0.015,0.114,0.527,3.5087710321023033,0.158481761982569,705406001.424501,0.114,0.02,0.114,0.445,3.503219068795966,0.1587333253534426,621626785.915493,0.112,0.015,0.114,0.258,3.497667105489629,0.1589856886238313,540874934.201012,0.058,0.012,0.114,0.18,3.492115142183291,0.1592388556149875,454101382.488479,0.06,0.02,0.114,0.179,3.4865631788769544,0.1592388556149875,373573141.486811,0.157,0.014,0.302,0.602,3.5143229954086403,0.1582309947141434,749138009.56454
1998-01-01,0.157,0.014,0.302,0.602,3.5143229954086403,0.1582309947141434,749138009.56454,0.138,0.015,0.114,0.527,3.5087710321023033,0.158481761982569,705406001.424501,0.114,0.02,0.114,0.445,3.503219068795966,0.1587333253534426,621626785.915493,0.112,0.015,0.114,0.258,3.497667105489629,0.1589856886238313,540874934.201012,0.058,0.012,0.114,0.18,3.492115142183291,0.1592388556149875,454101382.488479,0.165,0.0,0.302,0.639,3.519874958714978,0.1579810197750938,717530683.169567
1999-01-01,0.165,0.0,0.302,0.639,3.519874958714978,0.1579810197750938,717530683.169567,0.157,0.014,0.302,0.602,3.5143229954086403,0.1582309947141434,749138009.56454,0.138,0.015,0.114,0.527,3.5087710321023033,0.158481761982569,705406001.424501,0.114,0.02,0.114,0.445,3.503219068795966,0.1587333253534426,621626785.915493,0.112,0.015,0.114,0.258,3.497667105489629,0.1589856886238313,540874934.201012,0.173,0.0,0.301,0.671,3.525426922021315,0.157731833416153,694754988.258295
2000-01-01,0.173,0.0,0.301,0.671,3.525426922021315,0.157731833416153,694754988.258295,0.165,0.0,0.302,0.639,3.519874958714978,0.1579810197750938,717530683.169567,0.157,0.014,0.302,0.602,3.5143229954086403,0.1582309947141434,749138009.56454,0.138,0.015,0.114,0.527,3.5087710321023033,0.158481761982569,705406001.424501,0.114,0.02,0.114,0.445,3.503219068795966,0.1587333253534426,621626785.915493,0.307259722,0.0,0.27649,0.569740278,3.530978885327652,0.157483431911672,712667896.727512
2001-01-01,0.307259722,0.0,0.27649,0.569740278,3.530978885327652,0.157483431911672,712667896.727512,0.173,0.0,0.301,0.671,3.525426922021315,0.157731833416153,694754988.258295,0.165,0.0,0.302,0.639,3.519874958714978,0.1579810197750938,717530683.169567,0.157,0.014,0.302,0.602,3.5143229954086403,0.1582309947141434,749138009.56454,0.138,0.015,0.114,0.527,3.5087710321023033,0.158481761982569,705406001.424501,0.315865556,0.0,0.27649,0.594134444,3.5258065116365613,-0.14648554576702,712167575.624277
2002-01-01,0.315865556,0.0,0.27649,0.594134444,3.5258065116365613,-0.14648554576702,712167575.624277,0.307259722,0.0,0.27649,0.569740278,3.530978885327652,0.157483431911672,712667896.727512,0.173,0.0,0.301,0.671,3.525426922021315,0.157731833416153,694754988.258295,0.165,0.0,0.302,0.639,3.519874958714978,0.1579810197750938,717530683.169567,0.157,0.014,0.302,0.602,3.5143229954086403,0.1582309947141434,749138009.56454,0.3151525,0.0,0.27649,0.5988475,3.520634137945471,-0.1467004407082341,726131434.715338
2003-01-01,0.3151525,0.0,0.27649,0.5988475,3.520634137945471,-0.1467004407082341,726131434.715338,0.315865556,0.0,0.27649,0.594134444,3.5258065116365613,-0.14648554576702,712167575.624277,0.307259722,0.0,0.27649,0.569740278,3.530978885327652,0.157483431911672,712667896.727512,0.173,0.0,0.301,0.671,3.525426922021315,0.157731833416153,694754988.258295,0.165,0.0,0.302,0.639,3.519874958714978,0.1579810197750938,717530683.169567,0.298286389,0.0,0.27349,0.523713611,3.5154617642543813,-0.146915967079395,743064076.794567
2004-01-01,0.298286389,0.0,0.27349,0.523713611,3.5154617642543813,-0.146915967079395,743064076.794567,0.3151525,0.0,0.27649,0.5988475,3.520634137945471,-0.1467004407082341,726131434.715338,0.315865556,0.0,0.27649,0.594134444,3.5258065116365613,-0.14648554576702,712167575.624277,0.307259722,0.0,0.27649,0.569740278,3.530978885327652,0.157483431911672,712667896.727512,0.173,0.0,0.301,0.671,3.525426922021315,0.157731833416153,694754988.258295,0.301435278,0.0,0.26218,0.556564722,3.510289390563291,-0.1471321276676578,787814379.183843
2005-01-01,0.301435278,0.0,0.26218,0.556564722,3.510289390563291,-0.1471321276676578,787814379.183843,0.298286389,0.0,0.27349,0.523713611,3.5154617642543813,-0.146915967079395,743064076.794567,0.3151525,0.0,0.27649,0.5988475,3.520634137945471,-0.1467004407082341,726131434.715338,0.315865556,0.0,0.27649,0.594134444,3.5258065116365613,-0.14648554576702,712167575.624277,0.307259722,0.0,0.27649,0.569740278,3.530978885327652,0.157483431911672,712667896.727512,0.237661111,0.0,0.27664,0.412538889,3.5051170168722003,-0.1473489252765125,824880550.343965
2006-01-01,0.237661111,0.0,0.27664,0.412538889,3.5051170168722003,-0.1473489252765125,824880550.343965,0.301435278,0.0,0.26218,0.556564722,3.510289390563291,-0.1471321276676578,787814379.183843,0.298286389,0.0,0.27349,0.523713611,3.5154617642543813,-0.146915967079395,743064076.794567,0.3151525,0.0,0.27649,0.5988475,3.520634137945471,-0.1467004407082341,726131434.715338,0.315865556,0.0,0.27649,0.594134444,3.5258065116365613,-0.14648554576702,712167575.624277,0.230676389,0.0,0.28714,0.438623611,3.49994464318111,-0.147566362726059,2379818382.99241
