,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
1997-01-01,0.338,0.155,0.286,280.5862126126126,2907514522.92503,0.261,0.145,0.269,275.4154234234234,2813313278.81082,0.139,0.145,0.277,270.24463423423424,2167564194.7342,0.151,0.145,0.335,265.07384504504506,1878248741.04949,0.128,0.145,0.416,259.9030558558558,2257121668.19352,0.267,0.155,0.286,285.7570018018018,3338938830.01743
1998-01-01,0.267,0.155,0.286,285.7570018018018,3338938830.01743,0.338,0.155,0.286,280.5862126126126,2907514522.92503,0.261,0.145,0.269,275.4154234234234,2813313278.81082,0.139,0.145,0.277,270.24463423423424,2167564194.7342,0.151,0.145,0.335,265.07384504504506,1878248741.04949,0.361,0.241,0.278,290.927790990991,3723909226.86781
1999-01-01,0.361,0.241,0.278,290.927790990991,3723909226.86781,0.267,0.155,0.286,285.7570018018018,3338938830.01743,0.338,0.155,0.286,280.5862126126126,2907514522.92503,0.261,0.145,0.269,275.4154234234234,2813313278.81082,0.139,0.145,0.277,270.24463423423424,2167564194.7342,0.272,0.2396,0.268,296.0985801801802,4153736347.44223
2000-01-01,0.272,0.2396,0.268,296.0985801801802,4153736347.44223,0.361,0.241,0.278,290.927790990991,3723909226.86781,0.267,0.155,0.286,285.7570018018018,3338938830.01743,0.338,0.155,0.286,280.5862126126126,2907514522.92503,0.261,0.145,0.269,275.4154234234234,2813313278.81082,0.244,0.26286,0.28416,301.2693693693694,6813577558.17628
2001-01-01,0.244,0.26286,0.28416,301.2693693693694,6813577558.17628,0.272,0.2396,0.268,296.0985801801802,4153736347.44223,0.361,0.241,0.278,290.927790990991,3723909226.86781,0.267,0.155,0.286,285.7570018018018,3338938830.01743,0.338,0.155,0.286,280.5862126126126,2907514522.92503,0.291,0.244,0.28134,306.61227027027024,6331961555.40914
2002-01-01,0.291,0.244,0.28134,306.61227027027024,6331961555.40914,0.244,0.26286,0.28416,301.2693693693694,6813577558.17628,0.272,0.2396,0.268,296.0985801801802,4153736347.44223,0.361,0.241,0.278,290.927790990991,3723909226.86781,0.267,0.155,0.286,285.7570018018018,3338938830.01743,0.279,0.244,0.24778,311.9551711711712,6058134466.75258
2003-01-01,0.279,0.244,0.24778,311.9551711711712,6058134466.75258,0.291,0.244,0.28134,306.61227027027024,6331961555.40914,0.244,0.26286,0.28416,301.2693693693694,6813577558.17628,0.272,0.2396,0.268,296.0985801801802,4153736347.44223,0.361,0.241,0.278,290.927790990991,3723909226.86781,0.279,0.244,0.2362,317.29807207207205,4826827577.08641
2004-01-01,0.279,0.244,0.2362,317.29807207207205,4826827577.08641,0.279,0.244,0.24778,311.9551711711712,6058134466.75258,0.291,0.244,0.28134,306.61227027027024,6331961555.40914,0.244,0.26286,0.28416,301.2693693693694,6813577558.17628,0.272,0.2396,0.268,296.0985801801802,4153736347.44223,0.291,0.244,0.23578,322.640972972973,6036959914.72398
2005-01-01,0.291,0.244,0.23578,322.640972972973,6036959914.72398,0.279,0.244,0.2362,317.29807207207205,4826827577.08641,0.279,0.244,0.24778,311.9551711711712,6058134466.75258,0.291,0.244,0.28134,306.61227027027024,6331961555.40914,0.244,0.26286,0.28416,301.2693693693694,6813577558.17628,0.213,0.244,0.32254,327.98387387387385,7184064657.2953
2006-01-01,0.213,0.244,0.32254,327.98387387387385,7184064657.2953,0.291,0.244,0.23578,322.640972972973,6036959914.72398,0.279,0.244,0.2362,317.29807207207205,4826827577.08641,0.279,0.244,0.24778,311.9551711711712,6058134466.75258,0.291,0.244,0.28134,306.61227027027024,6331961555.40914,0.219,0.244,0.33006,333.3267747747748,7518107786.51149
2007-01-01,0.219,0.244,0.33006,333.3267747747748,7518107786.51149,0.213,0.244,0.32254,327.98387387387385,7184064657.2953,0.291,0.244,0.23578,322.640972972973,6036959914.72398,0.279,0.244,0.2362,317.29807207207205,4826827577.08641,0.279,0.244,0.24778,311.9551711711712,6058134466.75258,0.226,0.244,0.22116,338.66967567567565,9522763153.81366
2008-01-01,0.226,0.244,0.22116,338.66967567567565,9522763153.81366,0.219,0.244,0.33006,333.3267747747748,7518107786.51149,0.213,0.244,0.32254,327.98387387387385,7184064657.2953,0.291,0.244,0.23578,322.640972972973,6036959914.72398,0.279,0.244,0.2362,317.29807207207205,4826827577.08641,0.257,0.244,0.2087,344.0125765765766,10485225353.1801
