,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Economics: GDP
1992-01-01,0.624,0.005,0.002,-0.003,4943700431.07368
1993-01-01,0.769,0.0,0.016,0.016,4926728932.95069
1994-01-01,0.701,0.0,0.017,0.017,4642280682.14252
1995-01-01,0.69,0.03,0.005,-0.025,5347445005.21376
1996-01-01,0.645,0.16,0.005,-0.155,5215028986.48649
1997-01-01,0.788,0.006,0.12,0.114,5737099650.19011
1998-01-01,0.702,0.016,0.06,0.044,6366340265.87888
1999-01-01,0.727,0.006,0.15,0.144,6414520529.61672
2000-01-01,0.717,0.005,0.281,0.276,7103826902.2067
2001-01-01,0.847,0.0,0.308,0.308,7565854723.75973
2002-01-01,0.988,0.0,0.415,0.415,7775251509.62716
2003-01-01,1.096,0.0,0.331,0.331,8140278400.9927
2004-01-01,1.3,0.01451,0.357,0.34249,8772169959.31672
2005-01-01,1.381,0.003,0.058,0.055,9672023050.30829
2006-01-01,1.528,0.0,0.019,0.019,10841724916.9457
2007-01-01,1.369,0.0,0.012,0.012,12275500115.7231
2008-01-01,1.31,0.012,0.0,-0.012,13789443623.162
2009-01-01,1.777,0.052,0.001,-0.051,14486159608.067
2010-01-01,1.919,0.013,0.022,0.009,15729649158.5883
2011-01-01,1.931,0.001,0.195,0.194,17588098574.7369
2012-01-01,2.276,0.001,0.188,0.187,18400538859.3598
2013-01-01,2.477,0.008,0.115,0.107,18372173380.7373
2014-01-01,2.582,0.004,0.827,0.823,19618567249.5003
2015-01-01,2.85,0.002,0.1517,0.1497,20833948799.5352
2016-01-01,3.043,0.016,0.3136,0.2976,21566622849.6057
2017-01-01,2.770905,0.025,0.4461,0.4211,22975415842.4648
2018-01-01,2.897577,0.008,0.3723,0.3643,23900438563.7271
2019-01-01,3.172059,0.54,0.2595,-0.2805,24915522849.1544
2020-01-01,3.505434,0.458,0.292,-0.166,23662231633.9139
2021-01-01,3.645272997,0.458,0.292,-0.166,23662231633.9139
