,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Economics: GDP
1997-01-01,0.645,0.16,0.005,-0.155,5215028986.48649,0.69,0.03,0.005,-0.025,5347445005.21376,0.701,0.0,0.017,0.017,4642280682.14252,0.769,0.0,0.016,0.016,4926728932.95069,0.624,0.005,0.002,-0.003,4943700431.07368,0.788,0.006,0.12,0.114,5737099650.19011
1998-01-01,0.788,0.006,0.12,0.114,5737099650.19011,0.645,0.16,0.005,-0.155,5215028986.48649,0.69,0.03,0.005,-0.025,5347445005.21376,0.701,0.0,0.017,0.017,4642280682.14252,0.769,0.0,0.016,0.016,4926728932.95069,0.702,0.016,0.06,0.044,6366340265.87888
1999-01-01,0.702,0.016,0.06,0.044,6366340265.87888,0.788,0.006,0.12,0.114,5737099650.19011,0.645,0.16,0.005,-0.155,5215028986.48649,0.69,0.03,0.005,-0.025,5347445005.21376,0.701,0.0,0.017,0.017,4642280682.14252,0.727,0.006,0.15,0.144,6414520529.61672
2000-01-01,0.727,0.006,0.15,0.144,6414520529.61672,0.702,0.016,0.06,0.044,6366340265.87888,0.788,0.006,0.12,0.114,5737099650.19011,0.645,0.16,0.005,-0.155,5215028986.48649,0.69,0.03,0.005,-0.025,5347445005.21376,0.717,0.005,0.281,0.276,7103826902.2067
2001-01-01,0.717,0.005,0.281,0.276,7103826902.2067,0.727,0.006,0.15,0.144,6414520529.61672,0.702,0.016,0.06,0.044,6366340265.87888,0.788,0.006,0.12,0.114,5737099650.19011,0.645,0.16,0.005,-0.155,5215028986.48649,0.847,0.0,0.308,0.308,7565854723.75973
2002-01-01,0.847,0.0,0.308,0.308,7565854723.75973,0.717,0.005,0.281,0.276,7103826902.2067,0.727,0.006,0.15,0.144,6414520529.61672,0.702,0.016,0.06,0.044,6366340265.87888,0.788,0.006,0.12,0.114,5737099650.19011,0.988,0.0,0.415,0.415,7775251509.62716
2003-01-01,0.988,0.0,0.415,0.415,7775251509.62716,0.847,0.0,0.308,0.308,7565854723.75973,0.717,0.005,0.281,0.276,7103826902.2067,0.727,0.006,0.15,0.144,6414520529.61672,0.702,0.016,0.06,0.044,6366340265.87888,1.096,0.0,0.331,0.331,8140278400.9927
2004-01-01,1.096,0.0,0.331,0.331,8140278400.9927,0.988,0.0,0.415,0.415,7775251509.62716,0.847,0.0,0.308,0.308,7565854723.75973,0.717,0.005,0.281,0.276,7103826902.2067,0.727,0.006,0.15,0.144,6414520529.61672,1.3,0.01451,0.357,0.34249,8772169959.31672
2005-01-01,1.3,0.01451,0.357,0.34249,8772169959.31672,1.096,0.0,0.331,0.331,8140278400.9927,0.988,0.0,0.415,0.415,7775251509.62716,0.847,0.0,0.308,0.308,7565854723.75973,0.717,0.005,0.281,0.276,7103826902.2067,1.381,0.003,0.058,0.055,9672023050.30829
2006-01-01,1.381,0.003,0.058,0.055,9672023050.30829,1.3,0.01451,0.357,0.34249,8772169959.31672,1.096,0.0,0.331,0.331,8140278400.9927,0.988,0.0,0.415,0.415,7775251509.62716,0.847,0.0,0.308,0.308,7565854723.75973,1.528,0.0,0.019,0.019,10841724916.9457
