,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Generation_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Generation_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Generation_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Generation_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Generation_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1997-01-01,4.054,0.531,7.6,26.735,1.4202663549345995,159717233621.659,4.123,1.483,5.875,26.241,1.440728537620363,144652912433.103,4.054,1.758,3.753,25.138,1.4617889481562456,135812069768.646,4.169,4.5,0.345,33.793,1.4834742102098255,120353947980.764,3.797,4.963,0.0,32.813,1.4834742102098255,104272278634.731,4.017,0.559,7.876,27.208,1.400377267758488,177352785419.977
1998-01-01,4.017,0.559,7.876,27.208,1.400377267758488,177352785419.977,4.054,0.531,7.6,26.735,1.4202663549345995,159717233621.659,4.123,1.483,5.875,26.241,1.440728537620363,144652912433.103,4.054,1.758,3.753,25.138,1.4617889481562456,135812069768.646,4.169,4.5,0.345,33.793,1.4834742102098255,120353947980.764,3.718,0.61,7.02,29.532,1.381037532099736,168886163221.567
1999-01-01,3.718,0.61,7.02,29.532,1.381037532099736,168886163221.567,4.017,0.559,7.876,27.208,1.400377267758488,177352785419.977,4.054,0.531,7.6,26.735,1.4202663549345995,159717233621.659,4.123,1.483,5.875,26.241,1.440728537620363,144652912433.103,4.054,1.758,3.753,25.138,1.4617889481562456,135812069768.646,3.766,0.633,9.0,27.728,1.3622246977522594,165768095391.557
2000-01-01,3.766,0.633,9.0,27.728,1.3622246977522594,165768095391.557,3.718,0.61,7.02,29.532,1.381037532099736,168886163221.567,4.017,0.559,7.876,27.208,1.400377267758488,177352785419.977,4.054,0.531,7.6,26.735,1.4202663549345995,159717233621.659,4.123,1.483,5.875,26.241,1.440728537620363,144652912433.103,1.524,1.181,10.204,29.451,1.3439175213588748,171668164082.555
2001-01-01,1.524,1.181,10.204,29.451,1.3439175213588748,171668164082.555,3.766,0.633,9.0,27.728,1.3622246977522594,165768095391.557,3.718,0.61,7.02,29.532,1.381037532099736,168886163221.567,4.017,0.559,7.876,27.208,1.400377267758488,177352785419.977,4.054,0.531,7.6,26.735,1.4202663549345995,159717233621.659,1.483,1.581,10.4,30.486,0.596094749892104,169403241524.337
2002-01-01,1.483,1.581,10.4,30.486,0.596094749892104,169403241524.337,1.524,1.181,10.204,29.451,1.3439175213588748,171668164082.555,3.766,0.633,9.0,27.728,1.3622246977522594,165768095391.557,3.718,0.61,7.02,29.532,1.381037532099736,168886163221.567,4.017,0.559,7.876,27.208,1.400377267758488,177352785419.977,1.592,2.175,10.182,32.255,0.5925625158453215,166349228737.386
2003-01-01,1.592,2.175,10.182,32.255,0.5925625158453215,166349228737.386,1.483,1.581,10.4,30.486,0.596094749892104,169403241524.337,1.524,1.181,10.204,29.451,1.3439175213588748,171668164082.555,3.766,0.633,9.0,27.728,1.3622246977522594,165768095391.557,3.718,0.61,7.02,29.532,1.381037532099736,168886163221.567,1.671,3.008,10.397,33.378,0.5890718965947357,161384522525.299
2004-01-01,1.671,3.008,10.397,33.378,0.5890718965947357,161384522525.299,1.592,2.175,10.182,32.255,0.5925625158453215,166349228737.386,1.483,1.581,10.4,30.486,0.596094749892104,169403241524.337,1.524,1.181,10.204,29.451,1.3439175213588748,171668164082.555,3.766,0.633,9.0,27.728,1.3622246977522594,165768095391.557,1.752,3.087,9.837,34.904,0.5856221610238995,169099768875.193
2005-01-01,1.752,3.087,9.837,34.904,0.5856221610238995,169099768875.193,1.671,3.008,10.397,33.378,0.5890718965947357,161384522525.299,1.592,2.175,10.182,32.255,0.5925625158453215,166349228737.386,1.483,1.581,10.4,30.486,0.596094749892104,169403241524.337,1.524,1.181,10.204,29.451,1.3439175213588748,171668164082.555,1.845,4.498,11.001,36.141,0.582212595043055,181570082162.19
2006-01-01,1.845,4.498,11.001,36.141,0.582212595043055,181570082162.19,1.752,3.087,9.837,34.904,0.5856221610238995,169099768875.193,1.671,3.008,10.397,33.378,0.5890718965947357,161384522525.299,1.592,2.175,10.182,32.255,0.5925625158453215,166349228737.386,1.483,1.581,10.4,30.486,0.596094749892104,169403241524.337,1.748,4.528,10.897,36.297,0.5788425010962107,193536265094.364
2007-01-01,1.748,4.528,10.897,36.297,0.5788425010962107,193536265094.364,1.845,4.498,11.001,36.141,0.582212595043055,181570082162.19,1.752,3.087,9.837,34.904,0.5856221610238995,169099768875.193,1.671,3.008,10.397,33.378,0.5890718965947357,161384522525.299,1.592,2.175,10.182,32.255,0.5925625158453215,166349228737.386,1.888,4.035,10.959,36.612,0.5755111976854396,211597405593.868
2008-01-01,1.888,4.035,10.959,36.612,0.5755111976854396,211597405593.868,1.748,4.528,10.897,36.297,0.5788425010962107,193536265094.364,1.845,4.498,11.001,36.141,0.582212595043055,181570082162.19,1.752,3.087,9.837,34.904,0.5856221610238995,169099768875.193,1.671,3.008,10.397,33.378,0.5890718965947357,161384522525.299,1.808,3.552503,10.801,35.7116,0.5722180189114437,219279678430.164
2009-01-01,1.808,3.552503,10.801,35.7116,0.5722180189114437,219279678430.164,1.888,4.035,10.959,36.612,0.5755111976854396,211597405593.868,1.748,4.528,10.897,36.297,0.5788425010962107,193536265094.364,1.845,4.498,11.001,36.141,0.582212595043055,181570082162.19,1.752,3.087,9.837,34.904,0.5856221610238995,169099768875.193,1.917,3.731,10.963,36.406,0.5689623140297367,214046415026.187
