,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.343,1.023,1.0158366486418442,0.0048985983749389,7080981668.54633
1993-01-01,0.313,1.025,1.0158366486418442,0.0048751138544138,6218581472.47468
1994-01-01,0.24,1.032,1.005621180147391,0.0048523144348626,6389460285.59828
1995-01-01,0.328,1.03,0.9956091239257144,0.0048301705681711,7123633356.36565
1996-01-01,0.455,1.03,0.9857944642960283,0.0048086543813394,7426081278.19549
1997-01-01,0.446,1.07,0.9761714204709856,0.0047877395594361,7569666973.65322
1998-01-01,0.438,1.104,0.9667344352027066,0.0047674012382309,8503693098.62271
1999-01-01,0.386,1.163,0.957478164080968,0.0047476159055846,8982047589.4895
2000-01-01,0.316,1.383,0.9483974654406764,0.0047283613107758,9025660361.75842
2001-01-01,0.353,1.46,1.3099814539795698,0.0047269579325003,8234846804.60582
2002-01-01,0.395,1.506,1.2930428326794772,0.0047255911846845,9318395054.85934
2003-01-01,0.49,1.507,1.2765366668028373,0.0047242596516323,11429333037.8443
2004-01-01,0.382,1.509,1.2604466037406372,0.0047229619896716,13825302535.7699
2005-01-01,0.381,1.539,1.244757105084756,0.0047216969226317,16852963067.0496
2006-01-01,0.413,1.726,1.229453396577156,0.0047204632376567,17465318552.2941
2007-01-01,0.495,2.364,1.2145214217058558,0.0047192597813274,21652505596.7528
2008-01-01,0.576,2.575,1.199947798642041,0.0047180854560643,18074622987.0185
2009-01-01,0.508,2.572,1.185719780240995,0.0047169392167889,13154414219.207
2010-01-01,0.698999,2.579,1.171825216854876,0.0047158200678215,13751161917.7398
2011-01-01,0.503,2.669,0.7996029315214016,0.0046940524711941,15221622925.9319
2012-01-01,0.485999,2.657,0.7932600012964303,0.0046728228493512,14751508133.5443
2013-01-01,0.374,2.766,0.7870169109385342,0.004652111502084,16125060515.3117
2014-01-01,0.498,2.767,0.7808713215849734,0.0046318996794592,17867662177.8911
2015-01-01,0.575999,2.775,0.7748209668611452,0.0046121695252034,17517210519.0912
2016-01-01,0.489,2.776,2.151211260798643,0.0046593591617453,20793168030.9524
2017-01-01,0.591001,2.827282,2.105908715371433,0.0047055179510926,24728285177.4603
2018-01-01,0.5541739,2.977882,2.0624748771805588,0.0047506793062399,26267063757.5495
2019-01-01,0.531,2.979882,2.020796457917048,0.0047948752115897,24857740445.0401
2020-01-01,0.54,2.966882,1.980769145191504,0.004838136298496,21718075725.2054
2021-01-01,0.554,2.966882,0.8495400483815103,0.0048387081649146,21718075725.2054
