,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.455,1.03,0.9857944642960283,0.0048086543813394,7426081278.19549,0.328,1.03,0.9956091239257144,0.0048301705681711,7123633356.36565,0.24,1.032,1.005621180147391,0.0048523144348626,6389460285.59828,0.313,1.025,1.0158366486418442,0.0048751138544138,6218581472.47468,0.343,1.023,1.0158366486418442,0.0048985983749389,7080981668.54633,0.446,1.07,0.9761714204709856,0.0047877395594361,7569666973.65322
1998-01-01,0.446,1.07,0.9761714204709856,0.0047877395594361,7569666973.65322,0.455,1.03,0.9857944642960283,0.0048086543813394,7426081278.19549,0.328,1.03,0.9956091239257144,0.0048301705681711,7123633356.36565,0.24,1.032,1.005621180147391,0.0048523144348626,6389460285.59828,0.313,1.025,1.0158366486418442,0.0048751138544138,6218581472.47468,0.438,1.104,0.9667344352027066,0.0047674012382309,8503693098.62271
1999-01-01,0.438,1.104,0.9667344352027066,0.0047674012382309,8503693098.62271,0.446,1.07,0.9761714204709856,0.0047877395594361,7569666973.65322,0.455,1.03,0.9857944642960283,0.0048086543813394,7426081278.19549,0.328,1.03,0.9956091239257144,0.0048301705681711,7123633356.36565,0.24,1.032,1.005621180147391,0.0048523144348626,6389460285.59828,0.386,1.163,0.957478164080968,0.0047476159055846,8982047589.4895
2000-01-01,0.386,1.163,0.957478164080968,0.0047476159055846,8982047589.4895,0.438,1.104,0.9667344352027066,0.0047674012382309,8503693098.62271,0.446,1.07,0.9761714204709856,0.0047877395594361,7569666973.65322,0.455,1.03,0.9857944642960283,0.0048086543813394,7426081278.19549,0.328,1.03,0.9956091239257144,0.0048301705681711,7123633356.36565,0.316,1.383,0.9483974654406764,0.0047283613107758,9025660361.75842
2001-01-01,0.316,1.383,0.9483974654406764,0.0047283613107758,9025660361.75842,0.386,1.163,0.957478164080968,0.0047476159055846,8982047589.4895,0.438,1.104,0.9667344352027066,0.0047674012382309,8503693098.62271,0.446,1.07,0.9761714204709856,0.0047877395594361,7569666973.65322,0.455,1.03,0.9857944642960283,0.0048086543813394,7426081278.19549,0.353,1.46,1.3099814539795698,0.0047269579325003,8234846804.60582
2002-01-01,0.353,1.46,1.3099814539795698,0.0047269579325003,8234846804.60582,0.316,1.383,0.9483974654406764,0.0047283613107758,9025660361.75842,0.386,1.163,0.957478164080968,0.0047476159055846,8982047589.4895,0.438,1.104,0.9667344352027066,0.0047674012382309,8503693098.62271,0.446,1.07,0.9761714204709856,0.0047877395594361,7569666973.65322,0.395,1.506,1.2930428326794772,0.0047255911846845,9318395054.85934
2003-01-01,0.395,1.506,1.2930428326794772,0.0047255911846845,9318395054.85934,0.353,1.46,1.3099814539795698,0.0047269579325003,8234846804.60582,0.316,1.383,0.9483974654406764,0.0047283613107758,9025660361.75842,0.386,1.163,0.957478164080968,0.0047476159055846,8982047589.4895,0.438,1.104,0.9667344352027066,0.0047674012382309,8503693098.62271,0.49,1.507,1.2765366668028373,0.0047242596516323,11429333037.8443
2004-01-01,0.49,1.507,1.2765366668028373,0.0047242596516323,11429333037.8443,0.395,1.506,1.2930428326794772,0.0047255911846845,9318395054.85934,0.353,1.46,1.3099814539795698,0.0047269579325003,8234846804.60582,0.316,1.383,0.9483974654406764,0.0047283613107758,9025660361.75842,0.386,1.163,0.957478164080968,0.0047476159055846,8982047589.4895,0.382,1.509,1.2604466037406372,0.0047229619896716,13825302535.7699
2005-01-01,0.382,1.509,1.2604466037406372,0.0047229619896716,13825302535.7699,0.49,1.507,1.2765366668028373,0.0047242596516323,11429333037.8443,0.395,1.506,1.2930428326794772,0.0047255911846845,9318395054.85934,0.353,1.46,1.3099814539795698,0.0047269579325003,8234846804.60582,0.316,1.383,0.9483974654406764,0.0047283613107758,9025660361.75842,0.381,1.539,1.244757105084756,0.0047216969226317,16852963067.0496
2006-01-01,0.381,1.539,1.244757105084756,0.0047216969226317,16852963067.0496,0.382,1.509,1.2604466037406372,0.0047229619896716,13825302535.7699,0.49,1.507,1.2765366668028373,0.0047242596516323,11429333037.8443,0.395,1.506,1.2930428326794772,0.0047255911846845,9318395054.85934,0.353,1.46,1.3099814539795698,0.0047269579325003,8234846804.60582,0.413,1.726,1.229453396577156,0.0047204632376567,17465318552.2941
