,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Economics: GDP
1997-01-01,91.105,0.13,1.65,1.52,392897054348.071,79.363,0.05,1.675,1.625,360281952716.797,69.568,0.12,1.55,1.43,327275583539.559,65.011,0.101,1.44,1.339,279296022987.919,61.565,0.146,1.425,1.279,288208430383.964,97.919,0.321,1.575,1.254,415867753863.874
1998-01-01,97.919,0.321,1.575,1.254,415867753863.874,91.105,0.13,1.65,1.52,392897054348.071,79.363,0.05,1.675,1.625,360281952716.797,69.568,0.12,1.55,1.43,327275583539.559,65.011,0.101,1.44,1.339,279296022987.919,111.484,0.27,1.49,1.22,421351477504.743
1999-01-01,111.484,0.27,1.49,1.22,421351477504.743,97.919,0.321,1.575,1.254,415867753863.874,91.105,0.13,1.65,1.52,392897054348.071,79.363,0.05,1.675,1.625,360281952716.797,69.568,0.12,1.55,1.43,327275583539.559,140.163,0.187,1.35,1.163,458820417337.807
2000-01-01,140.163,0.187,1.35,1.163,458820417337.807,111.484,0.27,1.49,1.22,421351477504.743,97.919,0.321,1.575,1.254,415867753863.874,91.105,0.13,1.65,1.52,392897054348.071,79.363,0.05,1.675,1.625,360281952716.797,155.073,0.195,1.54,1.345,468394937262.37
2001-01-01,155.073,0.195,1.54,1.345,468394937262.37,140.163,0.187,1.35,1.163,458820417337.807,111.484,0.27,1.49,1.22,421351477504.743,97.919,0.321,1.575,1.254,415867753863.874,91.105,0.13,1.65,1.52,392897054348.071,166.111,0.232,1.5,1.268,485441014538.638
2002-01-01,166.111,0.232,1.5,1.268,485441014538.638,155.073,0.195,1.54,1.345,468394937262.37,140.163,0.187,1.35,1.163,458820417337.807,111.484,0.27,1.49,1.22,421351477504.743,97.919,0.321,1.575,1.254,415867753863.874,162.882,0.175,1.52,1.345,514937948870.08
2003-01-01,162.882,0.175,1.52,1.345,514937948870.08,166.111,0.232,1.5,1.268,485441014538.638,155.073,0.195,1.54,1.345,468394937262.37,140.163,0.187,1.35,1.163,458820417337.807,111.484,0.27,1.49,1.22,421351477504.743,174.035,0.058,1.748,1.69,607699285433.872
2004-01-01,174.035,0.058,1.748,1.69,607699285433.872,162.882,0.175,1.52,1.345,514937948870.08,166.111,0.232,1.5,1.268,485441014538.638,155.073,0.195,1.54,1.345,468394937262.37,140.163,0.187,1.35,1.163,458820417337.807,175.535,0.04,1.735,1.695,709148514804.659
2005-01-01,175.535,0.04,1.735,1.695,709148514804.659,174.035,0.058,1.748,1.69,607699285433.872,162.882,0.175,1.52,1.345,514937948870.08,166.111,0.232,1.5,1.268,485441014538.638,155.073,0.195,1.54,1.345,468394937262.37,180.099,0.209,1.763,1.554,820381595512.902
2006-01-01,180.099,0.209,1.763,1.554,820381595512.902,175.535,0.04,1.735,1.695,709148514804.659,174.035,0.058,1.748,1.69,607699285433.872,162.882,0.175,1.52,1.345,514937948870.08,166.111,0.232,1.5,1.268,485441014538.638,183.043,0.216,2.957,2.741,940259888792.141
2007-01-01,183.043,0.216,2.957,2.741,940259888792.141,180.099,0.209,1.763,1.554,820381595512.902,175.535,0.04,1.735,1.695,709148514804.659,174.035,0.058,1.748,1.69,607699285433.872,162.882,0.175,1.52,1.345,514937948870.08,187.513,0.29,5.23,4.94,1216735441524.86
2008-01-01,187.513,0.29,5.23,4.94,1216735441524.86,183.043,0.216,2.957,2.741,940259888792.141,180.099,0.209,1.763,1.554,820381595512.902,175.535,0.04,1.735,1.695,709148514804.659,174.035,0.058,1.748,1.69,607699285433.872,180.321,0.388,5.899,5.511,1198895582137.51
2009-01-01,180.321,0.388,5.899,5.511,1198895582137.51,187.513,0.29,5.23,4.94,1216735441524.86,183.043,0.216,2.957,2.741,940259888792.141,180.099,0.209,1.763,1.554,820381595512.902,175.535,0.04,1.735,1.695,709148514804.659,192.211,0.058,5.359,5.301,1341886602798.69
