,Electricity: Distribution Losses,Electricity: Imports,Population: Percentage,Economics: GDP
2022-01-01,24.117252944778087,1.3161731482089243,3.5862678690791356,1052792672337.8381
2023-01-01,24.774781844644018,1.3242213141480248,3.5893723607301076,1123993636305.9521
2024-01-01,24.799361003167498,1.2280117585301478,3.5925418934104334,1072666448251.9473
2025-01-01,24.77827940750359,1.1346435838310929,3.596292773941379,1062305201864.6808
2026-01-01,23.48694111809936,1.3282616020081586,3.586342658033428,955739960936.3806
2027-01-01,24.34037709626749,1.4061964321269573,3.5846147207298404,1049966538930.2979
2028-01-01,25.27742639185537,1.4322713067631065,3.5860623506981266,1123383584086.6138
2029-01-01,25.116016216659197,1.3494684136449495,3.5891086658440607,1092249068161.6115
2030-01-01,24.70305157032699,1.4658617990081957,3.583675759402108,1064498719957.9604
2031-01-01,23.859181345783,1.471949040298587,3.5818834613619193,964549089081.7535
