,Electricity: Distribution Losses,Electricity: Imports,Population: Percentage,Economics: GDP
1992-01-01,4.964,0.0,3.548084700294371,128026966579.964
1993-01-01,4.481,0.0,3.554731171208439,158006700301.533
1994-01-01,6.471,0.0,3.561183748289709,176892143931.505
1995-01-01,6.874,0.0,3.567450794096906,202132028723.115
1996-01-01,7.197,0.0,3.573540197106264,227369679374.973
1997-01-01,8.795,0.0,3.5794594048373587,215748998609.635
1998-01-01,8.783,0.0,3.5852154542396693,95445547872.715
1999-01-01,9.72,0.0,3.590814999600552,140001351215.462
2000-01-01,10.849,0.0,3.596264338207346,165021012077.81
2001-01-01,13.145,0.0,3.598347721174773,160446947784.909
2002-01-01,17.572,0.0,3.6003767244521403,195660611165.183
2003-01-01,19.569,0.0,3.6023534497087213,234772463823.808
2004-01-01,14.242,0.0,3.604279891690681,256836875295.452
2005-01-01,14.237,0.0,3.6061579449353434,285868618224.017
2006-01-01,14.736,0.0,3.6079894099858234,364570514304.85
2007-01-01,15.239,0.0,3.609775999148805,432216737774.861
2008-01-01,15.094,0.0,3.611519341834196,510228634992.258
2009-01-01,15.048,0.00126,3.613220989511692,539580085612.401
2010-01-01,15.954,0.00222,3.6148824203158703,755094160363.071
2011-01-01,16.672,0.00254,3.61376158792429,892969107923.094
2012-01-01,17.847,0.00299,3.612668456320012,917869910105.749
2013-01-01,20.701,0.00303,3.61160201112224,912524136718.018
2014-01-01,21.423,0.00899,3.610561286880673,890814755233.225
2015-01-01,22.057,0.01275,3.609545364160339,860854235065.079
2016-01-01,22.706,0.6927,3.604862295859528,931877364177.742
2017-01-01,21.48505,1.11947,3.6002815281520975,1015618742565.81
2018-01-01,22.863814,1.49589,3.595799745154593,1042271531011.99
2019-01-01,26.126675,1.68312,3.59141377275606,1119091259074.62
2020-01-01,25.263376,1.553,3.5871205711212126,1058423838345.14
2021-01-01,26.01533143,0.97273,3.5811608365969736,1058423838345.14
