,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Population: Percentage,Economics: GDP
1997-01-01,7.197,0.0,3.573540197106264,227369679374.973,6.874,0.0,3.567450794096906,202132028723.115,6.471,0.0,3.561183748289709,176892143931.505,4.481,0.0,3.554731171208439,158006700301.533,4.964,0.0,3.548084700294371,128026966579.964,8.795,0.0,3.5794594048373587,215748998609.635
1998-01-01,8.795,0.0,3.5794594048373587,215748998609.635,7.197,0.0,3.573540197106264,227369679374.973,6.874,0.0,3.567450794096906,202132028723.115,6.471,0.0,3.561183748289709,176892143931.505,4.481,0.0,3.554731171208439,158006700301.533,8.783,0.0,3.5852154542396693,95445547872.715
1999-01-01,8.783,0.0,3.5852154542396693,95445547872.715,8.795,0.0,3.5794594048373587,215748998609.635,7.197,0.0,3.573540197106264,227369679374.973,6.874,0.0,3.567450794096906,202132028723.115,6.471,0.0,3.561183748289709,176892143931.505,9.72,0.0,3.590814999600552,140001351215.462
2000-01-01,9.72,0.0,3.590814999600552,140001351215.462,8.783,0.0,3.5852154542396693,95445547872.715,8.795,0.0,3.5794594048373587,215748998609.635,7.197,0.0,3.573540197106264,227369679374.973,6.874,0.0,3.567450794096906,202132028723.115,10.849,0.0,3.596264338207346,165021012077.81
2001-01-01,10.849,0.0,3.596264338207346,165021012077.81,9.72,0.0,3.590814999600552,140001351215.462,8.783,0.0,3.5852154542396693,95445547872.715,8.795,0.0,3.5794594048373587,215748998609.635,7.197,0.0,3.573540197106264,227369679374.973,13.145,0.0,3.598347721174773,160446947784.909
2002-01-01,13.145,0.0,3.598347721174773,160446947784.909,10.849,0.0,3.596264338207346,165021012077.81,9.72,0.0,3.590814999600552,140001351215.462,8.783,0.0,3.5852154542396693,95445547872.715,8.795,0.0,3.5794594048373587,215748998609.635,17.572,0.0,3.6003767244521403,195660611165.183
2003-01-01,17.572,0.0,3.6003767244521403,195660611165.183,13.145,0.0,3.598347721174773,160446947784.909,10.849,0.0,3.596264338207346,165021012077.81,9.72,0.0,3.590814999600552,140001351215.462,8.783,0.0,3.5852154542396693,95445547872.715,19.569,0.0,3.6023534497087213,234772463823.808
2004-01-01,19.569,0.0,3.6023534497087213,234772463823.808,17.572,0.0,3.6003767244521403,195660611165.183,13.145,0.0,3.598347721174773,160446947784.909,10.849,0.0,3.596264338207346,165021012077.81,9.72,0.0,3.590814999600552,140001351215.462,14.242,0.0,3.604279891690681,256836875295.452
2005-01-01,14.242,0.0,3.604279891690681,256836875295.452,19.569,0.0,3.6023534497087213,234772463823.808,17.572,0.0,3.6003767244521403,195660611165.183,13.145,0.0,3.598347721174773,160446947784.909,10.849,0.0,3.596264338207346,165021012077.81,14.237,0.0,3.6061579449353434,285868618224.017
2006-01-01,14.237,0.0,3.6061579449353434,285868618224.017,14.242,0.0,3.604279891690681,256836875295.452,19.569,0.0,3.6023534497087213,234772463823.808,17.572,0.0,3.6003767244521403,195660611165.183,13.145,0.0,3.598347721174773,160446947784.909,14.736,0.0,3.6079894099858234,364570514304.85
2007-01-01,14.736,0.0,3.6079894099858234,364570514304.85,14.237,0.0,3.6061579449353434,285868618224.017,14.242,0.0,3.604279891690681,256836875295.452,19.569,0.0,3.6023534497087213,234772463823.808,17.572,0.0,3.6003767244521403,195660611165.183,15.239,0.0,3.609775999148805,432216737774.861
2008-01-01,15.239,0.0,3.609775999148805,432216737774.861,14.736,0.0,3.6079894099858234,364570514304.85,14.237,0.0,3.6061579449353434,285868618224.017,14.242,0.0,3.604279891690681,256836875295.452,19.569,0.0,3.6023534497087213,234772463823.808,15.094,0.0,3.611519341834196,510228634992.258
2009-01-01,15.094,0.0,3.611519341834196,510228634992.258,15.239,0.0,3.609775999148805,432216737774.861,14.736,0.0,3.6079894099858234,364570514304.85,14.237,0.0,3.6061579449353434,285868618224.017,14.242,0.0,3.604279891690681,256836875295.452,15.048,0.00126,3.613220989511692,539580085612.401
2010-01-01,15.048,0.00126,3.613220989511692,539580085612.401,15.094,0.0,3.611519341834196,510228634992.258,15.239,0.0,3.609775999148805,432216737774.861,14.736,0.0,3.6079894099858234,364570514304.85,14.237,0.0,3.6061579449353434,285868618224.017,15.954,0.00222,3.6148824203158703,755094160363.071
2011-01-01,15.954,0.00222,3.6148824203158703,755094160363.071,15.048,0.00126,3.613220989511692,539580085612.401,15.094,0.0,3.611519341834196,510228634992.258,15.239,0.0,3.609775999148805,432216737774.861,14.736,0.0,3.6079894099858234,364570514304.85,16.672,0.00254,3.61376158792429,892969107923.094
2012-01-01,16.672,0.00254,3.61376158792429,892969107923.094,15.954,0.00222,3.6148824203158703,755094160363.071,15.048,0.00126,3.613220989511692,539580085612.401,15.094,0.0,3.611519341834196,510228634992.258,15.239,0.0,3.609775999148805,432216737774.861,17.847,0.00299,3.612668456320012,917869910105.749
2013-01-01,17.847,0.00299,3.612668456320012,917869910105.749,16.672,0.00254,3.61376158792429,892969107923.094,15.954,0.00222,3.6148824203158703,755094160363.071,15.048,0.00126,3.613220989511692,539580085612.401,15.094,0.0,3.611519341834196,510228634992.258,20.701,0.00303,3.61160201112224,912524136718.018
