,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,5.808,0.0,19.784,1.6886241312523258,63743623232.012
1993-01-01,9.703,0.193,22.688,1.6886241312523258,63743623232.012
1994-01-01,11.741,0.197,25.07,1.66058312390259,71841461172.5964
1995-01-01,12.216,0.157,26.571,1.633458192816672,96419225743.6737
1996-01-01,11.202,0.384,27.35,1.6072051683193862,120403931885.441
1997-01-01,13.838,0.522,29.447,1.581782675408638,113919163421.155
1998-01-01,15.169,0.617,30.57,1.5571519161688967,110276913362.508
1999-01-01,16.862,0.864,31.395,1.5332764722018273,113848450088.351
2000-01-01,19.205,0.86,33.126,1.5101221249583268,109591707802.216
2001-01-01,20.634,1.049,35.037,1.499666569445017,126878750295.944
2002-01-01,23.794,0.791,36.44,1.477508862966521,128626917503.72
2003-01-01,25.785,0.919,39.63,1.4559963872996735,153544751395.43
2004-01-01,30.777,1.837,41.918,1.4351013632960172,190043433964.841
2005-01-01,32.338,2.761,40.0651,1.4147975838818498,226452138291.542
2006-01-01,35.733,2.775,45.0193,1.3950603044014829,266298911661.144
2007-01-01,38.714,2.52,49.0691,1.3758661420125653,349881601458.56
2008-01-01,37.621,3.875,55.624,1.3571929832739087,412336172446.849
2009-01-01,34.547,6.152,60.7546,1.3390198991579163,416397025729.361
2010-01-01,33.062,6.707,66.4946,1.3213270668004982,486807615326.147
2011-01-01,34.906,8.668,65.1194,1.7027087177642737,580764902917.439
2012-01-01,36.794,11.029,68.853,1.6742019354562814,598868460912.847
2013-01-01,38.049,11.586,70.33926,1.6466339578638256,460293149324.326
2014-01-01,34.61,9.66,72.6336,1.6199591602280048,432687036177.818
2015-01-01,41.56,6.822,73.9156,1.5941348270704914,384951479697.42
2016-01-01,33.513,6.688,74.232,1.344735408699375,417983583565.54
2017-01-01,33.722,8.172,76.454478,1.3268922191925971,445345256459.105
2018-01-01,32.853,6.295,78.761,1.3095163486532797,294356680624.658
2019-01-01,34.175,6.365,80.487,1.2925896755311768,258245497664.394
2020-01-01,34.527,6.365,80.573,1.2760950032689704,203471303952.344
2021-01-01,35.28733037,6.365,80.619,0.7219465077823806,203471303952.344
