,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,1.635,0.185,0.05,4.178,-0.135,0.7818123370282357,0.0648915344848149,75790786290.3226,1.513,0.035,0.02,4.054,-0.015,0.7879728056351185,0.0653138177806436,69139823232.3232,1.484,0.0,0.0,3.904,0.0,0.7942311309609793,0.0657484201143215,57097656065.96,1.429,0.0,0.0,3.927,0.0,0.8005896632981356,0.0661958885299085,52417477613.676,1.406,0.0,0.0,3.927,0.0,0.8005896632981356,0.0666568029477765,55918538121.3989,1.656,0.076,0.064,4.233,-0.012,0.7757474477773308,0.0644810537619033,82856648758.3572
1998-01-01,1.656,0.076,0.064,4.233,-0.012,0.7757474477773308,0.0644810537619033,82856648758.3572,1.635,0.185,0.05,4.178,-0.135,0.7818123370282357,0.0648915344848149,75790786290.3226,1.513,0.035,0.02,4.054,-0.015,0.7879728056351185,0.0653138177806436,69139823232.3232,1.484,0.0,0.0,3.904,0.0,0.7942311309609793,0.0657484201143215,57097656065.96,1.429,0.0,0.0,3.927,0.0,0.8005896632981356,0.0661958885299085,52417477613.676,1.918,0.073,0.152,4.385,0.079,0.7697759306417604,0.0640818876188799,90199410115.5097
1999-01-01,1.918,0.073,0.152,4.385,0.079,0.7697759306417604,0.0640818876188799,90199410115.5097,1.656,0.076,0.064,4.233,-0.012,0.7757474477773308,0.0644810537619033,82856648758.3572,1.635,0.185,0.05,4.178,-0.135,0.7818123370282357,0.0648915344848149,75790786290.3226,1.513,0.035,0.02,4.054,-0.015,0.7879728056351185,0.0653138177806436,69139823232.3232,1.484,0.0,0.0,3.904,0.0,0.7942311309609793,0.0657484201143215,57097656065.96,1.847,0.049,0.29,4.267,0.241,0.7638956458249918,0.0636935745992781,98860565736.2029
2000-01-01,1.847,0.049,0.29,4.267,0.241,0.7638956458249918,0.0636935745992781,98860565736.2029,1.918,0.073,0.152,4.385,0.079,0.7697759306417604,0.0640818876188799,90199410115.5097,1.656,0.076,0.064,4.233,-0.012,0.7757474477773308,0.0644810537619033,82856648758.3572,1.635,0.185,0.05,4.178,-0.135,0.7818123370282357,0.0648915344848149,75790786290.3226,1.513,0.035,0.02,4.054,-0.015,0.7879728056351185,0.0653138177806436,69139823232.3232,2.02,0.071,0.169,4.726,0.098,0.7581045184179943,0.0633156780035975,99958806891.4686
2001-01-01,2.02,0.071,0.169,4.726,0.098,0.7581045184179943,0.0633156780035975,99958806891.4686,1.847,0.049,0.29,4.267,0.241,0.7638956458249918,0.0636935745992781,98860565736.2029,1.918,0.073,0.152,4.385,0.079,0.7697759306417604,0.0640818876188799,90199410115.5097,1.656,0.076,0.064,4.233,-0.012,0.7757474477773308,0.0644810537619033,82856648758.3572,1.635,0.185,0.05,4.178,-0.135,0.7818123370282357,0.0648915344848149,75790786290.3226,1.907,0.288,0.038,4.735,-0.25,2.004895262606296,0.0637310571396854,109252057270.694
2002-01-01,1.907,0.288,0.038,4.735,-0.25,2.004895262606296,0.0637310571396854,109252057270.694,2.02,0.071,0.169,4.726,0.098,0.7581045184179943,0.0633156780035975,99958806891.4686,1.847,0.049,0.29,4.267,0.241,0.7638956458249918,0.0636935745992781,98860565736.2029,1.918,0.073,0.152,4.385,0.079,0.7697759306417604,0.0640818876188799,90199410115.5097,1.656,0.076,0.064,4.233,-0.012,0.7757474477773308,0.0644810537619033,82856648758.3572,1.966,0.062,0.565,5.445,0.503,1.9654892615151436,0.0641355942035132,127985972143.798
2003-01-01,1.966,0.062,0.565,5.445,0.503,1.9654892615151436,0.0641355942035132,127985972143.798,1.907,0.288,0.038,4.735,-0.25,2.004895262606296,0.0637310571396854,109252057270.694,2.02,0.071,0.169,4.726,0.098,0.7581045184179943,0.0633156780035975,99958806891.4686,1.847,0.049,0.29,4.267,0.241,0.7638956458249918,0.0636935745992781,98860565736.2029,1.918,0.073,0.152,4.385,0.079,0.7697759306417604,0.0640818876188799,90199410115.5097,2.036,0.01,1.176,5.71,1.166,1.9276024425030427,0.0645297082200908,164307961625.282
2004-01-01,2.036,0.01,1.176,5.71,1.166,1.9276024425030427,0.0645297082200908,164307961625.282,1.966,0.062,0.565,5.445,0.503,1.9654892615151436,0.0641355942035132,127985972143.798,1.907,0.288,0.038,4.735,-0.25,2.004895262606296,0.0637310571396854,109252057270.694,2.02,0.071,0.169,4.726,0.098,0.7581045184179943,0.0633156780035975,99958806891.4686,1.847,0.049,0.29,4.267,0.241,0.7638956458249918,0.0636935745992781,98860565736.2029,2.036,0.0,1.574,5.833,1.574,1.891148615597424,0.0649137968963927,194015335237.149
2005-01-01,2.036,0.0,1.574,5.833,1.574,1.891148615597424,0.0649137968963927,194015335237.149,2.036,0.01,1.176,5.71,1.166,1.9276024425030427,0.0645297082200908,164307961625.282,1.966,0.062,0.565,5.445,0.503,1.9654892615151436,0.0641355942035132,127985972143.798,1.907,0.288,0.038,4.735,-0.25,2.004895262606296,0.0637310571396854,109252057270.694,2.02,0.071,0.169,4.726,0.098,0.7581045184179943,0.0633156780035975,99958806891.4686,2.049,0.001,2.045,6.146,2.044,1.856047989734732,0.0652882379600338,211797991543.34
2006-01-01,2.049,0.001,2.045,6.146,2.044,1.856047989734732,0.0652882379600338,211797991543.34,2.036,0.0,1.574,5.833,1.574,1.891148615597424,0.0649137968963927,194015335237.149,2.036,0.01,1.176,5.71,1.166,1.9276024425030427,0.0645297082200908,164307961625.282,1.966,0.062,0.565,5.445,0.503,1.9654892615151436,0.0641355942035132,127985972143.798,1.907,0.288,0.038,4.735,-0.25,2.004895262606296,0.0637310571396854,109252057270.694,2.116,0.009,1.787,6.887,1.778,1.822226589747315,0.0656533903983219,231986253920.462
