,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
1997-01-01,16.927,0.76,38.145,67.41,246.033,0.0369030147808879,1312426527795.21,17.552,1.235,38.7,65.16,243.676,0.0369166381333148,1174662070605.02,17.066,1.09,38.7,63.413,236.957,0.0369302715480239,1099216688280.5,17.65,0.677,40.109,62.808,229.536,0.0369439150361541,1064958075550.63,16.728,0.647,35.9,60.962,229.821,0.0369439150361541,1320161644933.23,17.727,0.995,39.84,69.331,253.48497,0.0368894014796073,1241879604365.62
1998-01-01,17.727,0.995,39.84,69.331,253.48497,0.0368894014796073,1241879604365.62,16.927,0.76,38.145,67.41,246.033,0.0369030147808879,1312426527795.21,17.552,1.235,38.7,65.16,243.676,0.0369166381333148,1174662070605.02,17.066,1.09,38.7,63.413,236.957,0.0369302715480239,1099216688280.5,17.65,0.677,40.109,62.808,229.536,0.0369439150361541,1064958075550.63,18.518,0.901,41.633,71.193,260.883,0.0368757982183406,1270052525928.4
1999-01-01,18.518,0.901,41.633,71.193,260.883,0.0368757982183406,1270052525928.4,17.727,0.995,39.84,69.331,253.48497,0.0368894014796073,1241879604365.62,16.927,0.76,38.145,67.41,246.033,0.0369030147808879,1312426527795.21,17.552,1.235,38.7,65.16,243.676,0.0369166381333148,1174662070605.02,17.066,1.09,38.7,63.413,236.957,0.0369302715480239,1099216688280.5,18.571,0.528,42.538,72.363,267.354,0.0368622049860242,1252023758789.69
2000-01-01,18.571,0.528,42.538,72.363,267.354,0.0368622049860242,1252023758789.69,18.518,0.901,41.633,71.193,260.883,0.0368757982183406,1270052525928.4,17.727,0.995,39.84,69.331,253.48497,0.0368894014796073,1241879604365.62,16.927,0.76,38.145,67.41,246.033,0.0369030147808879,1312426527795.21,17.552,1.235,38.7,65.16,243.676,0.0369166381333148,1174662070605.02,19.203,0.484,44.831,76.037,278.36228,0.0368486217715323,1143829832319.88
2001-01-01,19.203,0.484,44.831,76.037,278.36228,0.0368486217715323,1143829832319.88,18.571,0.528,42.538,72.363,267.354,0.0368622049860242,1252023758789.69,18.518,0.901,41.633,71.193,260.883,0.0368757982183406,1270052525928.4,17.727,0.995,39.84,69.331,253.48497,0.0368894014796073,1241879604365.62,16.927,0.76,38.145,67.41,246.033,0.0369030147808879,1312426527795.21,19.356,0.549,48.926,76.74,284.27174,0.5013574932604514,1167012796420.58
2002-01-01,19.356,0.549,48.926,76.74,284.27174,0.5013574932604514,1167012796420.58,19.203,0.484,44.831,76.037,278.36228,0.0368486217715323,1143829832319.88,18.571,0.528,42.538,72.363,267.354,0.0368622049860242,1252023758789.69,18.518,0.901,41.633,71.193,260.883,0.0368757982183406,1270052525928.4,17.727,0.995,39.84,69.331,253.48497,0.0368894014796073,1241879604365.62,19.782,0.922,51.519,77.307,290.61424,0.4988564391223126,1270712309429.7
2003-01-01,19.782,0.922,51.519,77.307,290.61424,0.4988564391223126,1270712309429.7,19.356,0.549,48.926,76.74,284.27174,0.5013574932604514,1167012796420.58,19.203,0.484,44.831,76.037,278.36228,0.0368486217715323,1143829832319.88,18.571,0.528,42.538,72.363,267.354,0.0368622049860242,1252023758789.69,18.518,0.901,41.633,71.193,260.883,0.0368757982183406,1270052525928.4,20.889,0.518,51.486,79.213,294.97176,0.4963802144599371,1574145823927.77
2004-01-01,20.889,0.518,51.486,79.213,294.97176,0.4963802144599371,1574145823927.77,19.782,0.922,51.519,77.307,290.61424,0.4988564391223126,1270712309429.7,19.356,0.549,48.926,76.74,284.27174,0.5013574932604514,1167012796420.58,19.203,0.484,44.831,76.037,278.36228,0.0368486217715323,1143829832319.88,18.571,0.528,42.538,72.363,267.354,0.0368622049860242,1252023758789.69,20.868,0.791,46.426,82.506,302.0686,0.4939284513538411,1803226967966.23
2005-01-01,20.868,0.791,46.426,82.506,302.0686,0.4939284513538411,1803226967966.23,20.889,0.518,51.486,79.213,294.97176,0.4963802144599371,1574145823927.77,19.782,0.922,51.519,77.307,290.61424,0.4988564391223126,1270712309429.7,19.356,0.549,48.926,76.74,284.27174,0.5013574932604514,1167012796420.58,19.203,0.484,44.831,76.037,278.36228,0.0368486217715323,1143829832319.88,20.626,1.109,50.264,86.406,306.6837,0.491500789117747,1857524312896.41
2006-01-01,20.626,1.109,50.264,86.406,306.6837,0.491500789117747,1857524312896.41,20.868,0.791,46.426,82.506,302.0686,0.4939284513538411,1803226967966.23,20.889,0.518,51.486,79.213,294.97176,0.4963802144599371,1574145823927.77,19.782,0.922,51.519,77.307,290.61424,0.4988564391223126,1270712309429.7,19.356,0.549,48.926,76.74,284.27174,0.5013574932604514,1167012796420.58,19.926,1.611,46.596,90.36,313.76748,0.4890968741218877,1947919708944.93
