,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
2022-01-01,1.0670134507640219,1.2248514780431976,3.497008921947237,14107917598.709332
2023-01-01,1.1149389877368447,1.1451238634059884,3.163224750602602,15145740862.794579
2024-01-01,1.1637204543869464,1.0862965061324832,3.0138863379249017,15492623591.678375
2025-01-01,1.1490435739775138,1.0985531961019588,3.182478386921975,15024671254.27702
2026-01-01,1.1044305522984712,1.1296061873722258,3.5104005467196036,14322550637.789928
2027-01-01,1.0604196828977983,1.1972315105479583,3.568975682480259,14279647799.044865
2028-01-01,1.112133017170573,1.1222137947530126,3.1764482421419507,15107976365.350735
2029-01-01,1.1620795988429993,1.0812191052722848,3.0685215170678593,15349641103.418312
2030-01-01,1.1497249154298697,1.0974660344794802,3.284987861688588,14905946519.314539
2031-01-01,1.0973857872360255,1.1471427008120605,3.5443169386416162,14329467609.049921
