,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,45.68198380146803,290.2113965492279,954.8491116519397,335.3479579516388,-0.08323145392922922,4972707858105.805
2023-01-01,45.74132243210528,291.29845224039,958.9384868132779,335.58283210915306,-0.08896768801726299,5043168402946.651
2024-01-01,45.945985156359924,289.2122966067076,960.3573336921163,335.868829057679,-0.0702588539017594,5014522590308.193
2025-01-01,45.73972313460948,291.28180569747326,957.2087995327295,335.4553382589838,-0.10211885207485948,4941420146079.261
2026-01-01,45.92489341633087,288.8775043091184,959.360420144071,335.823114483038,-0.06945952634943574,4994127279498.045
2027-01-01,45.984149184567194,288.43239429564403,958.5912583739228,335.79288750132315,-0.06446782036278645,4975904088215.394
2028-01-01,45.973509143777434,289.380556672614,960.2180438478374,335.9024206520607,-0.06869699465845285,5026213407378.108
2029-01-01,45.984306881921356,288.899364586137,960.1358034169168,335.9195759672456,-0.0658731875754283,5011348442630.863
2030-01-01,46.02517945667039,288.41107746358864,958.5571585021193,335.83559852242337,-0.06364069932914453,4971163809331.318
2031-01-01,45.976330793327506,288.63236256434095,959.7596276391109,335.8949533588086,-0.0655519352927892,4997564145228.689
