,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,44.499,233.864,910.51003,332.22248829148253,0.2489151451053678,4923391533851.63,45.537,224.747,890.385,331.3975895007012,0.2495362786955734,5545563663889.7,44.465,219.607,866.555,330.5726907099198,0.2501605199478167,4998797547740.97,42.643,212.095,813.417,329.7477919191385,0.250787892243018,4454143876947.21,42.884,204.507,805.674,328.9228931283571,0.250787892243018,3908809463463.86,47.542,240.046,937.534,333.0473870822639,0.2482970960284961,4492448605638.94
1998-01-01,47.542,240.046,937.534,333.0473870822639,0.2482970960284961,4492448605638.94,44.499,233.864,910.51003,332.22248829148253,0.2489151451053678,4923391533851.63,45.537,224.747,890.385,331.3975895007012,0.2495362786955734,5545563663889.7,44.465,219.607,866.555,330.5726907099198,0.2501605199478167,4998797547740.97,42.643,212.095,813.417,329.7477919191385,0.250787892243018,4454143876947.21,47.963,247.681,943.324,333.87228587304526,0.2476821085455952,4098362709531.24
1999-01-01,47.963,247.681,943.324,333.87228587304526,0.2476821085455952,4098362709531.24,47.542,240.046,937.534,333.0473870822639,0.2482970960284961,4492448605638.94,44.499,233.864,910.51003,332.22248829148253,0.2489151451053678,4923391533851.63,45.537,224.747,890.385,331.3975895007012,0.2495362786955734,5545563663889.7,44.465,219.607,866.555,330.5726907099198,0.2501605199478167,4998797547740.97,47.43,250.975,949.515,334.69718466382665,0.2470701599638098,4635982224063.88
2000-01-01,47.43,250.975,949.515,334.69718466382665,0.2470701599638098,4635982224063.88,47.963,247.681,943.324,333.87228587304526,0.2476821085455952,4098362709531.24,47.542,240.046,937.534,333.0473870822639,0.2482970960284961,4492448605638.94,44.499,233.864,910.51003,332.22248829148253,0.2489151451053678,4923391533851.63,45.537,224.747,890.385,331.3975895007012,0.2495362786955734,5545563663889.7,46.949,259.32,936.235,335.522083454608,0.246461227814001,4968359075956.59
2001-01-01,46.949,259.32,936.235,335.522083454608,0.246461227814001,4968359075956.59,47.43,250.975,949.515,334.69718466382665,0.2470701599638098,4635982224063.88,47.963,247.681,943.324,333.87228587304526,0.2476821085455952,4098362709531.24,47.542,240.046,937.534,333.0473870822639,0.2482970960284961,4492448605638.94,44.499,233.864,910.51003,332.22248829148253,0.2489151451053678,4923391533851.63,45.35,262.524,919.667,335.86647791919137,0.1026443508687799,4374711694090.87
2002-01-01,45.35,262.524,919.667,335.86647791919137,0.1026443508687799,4374711694090.87,46.949,259.32,936.235,335.522083454608,0.246461227814001,4968359075956.59,47.43,250.975,949.515,334.69718466382665,0.2470701599638098,4635982224063.88,47.963,247.681,943.324,333.87228587304526,0.2476821085455952,4098362709531.24,47.542,240.046,937.534,333.0473870822639,0.2482970960284961,4492448605638.94,49.608,267.1955,932.99,336.21087238377476,0.102539100274916,4182846045873.61
2003-01-01,49.608,267.1955,932.99,336.21087238377476,0.102539100274916,4182846045873.61,45.35,262.524,919.667,335.86647791919137,0.1026443508687799,4374711694090.87,46.949,259.32,936.235,335.522083454608,0.246461227814001,4968359075956.59,47.43,250.975,949.515,334.69718466382665,0.2470701599638098,4635982224063.88,47.963,247.681,943.324,333.87228587304526,0.2476821085455952,4098362709531.24,49.786,269.739,923.699,336.55526684835814,0.1024340653059762,4519561645253.53
2004-01-01,49.786,269.739,923.699,336.55526684835814,0.1024340653059762,4519561645253.53,49.608,267.1955,932.99,336.21087238377476,0.102539100274916,4182846045873.61,45.35,262.524,919.667,335.86647791919137,0.1026443508687799,4374711694090.87,46.949,259.32,936.235,335.522083454608,0.246461227814001,4968359075956.59,47.43,250.975,949.515,334.69718466382665,0.2470701599638098,4635982224063.88,48.862,274.6935,953.059,336.89966131294153,0.1023292453000185,4893116005656.56
2005-01-01,48.862,274.6935,953.059,336.89966131294153,0.1023292453000185,4893116005656.56,49.786,269.739,923.699,336.55526684835814,0.1024340653059762,4519561645253.53,49.608,267.1955,932.99,336.21087238377476,0.102539100274916,4182846045873.61,45.35,262.524,919.667,335.86647791919137,0.1026443508687799,4374711694090.87,46.949,259.32,936.235,335.522083454608,0.246461227814001,4968359075956.59,48.19,276.939,962.937,337.2440557775249,0.1022246395978074,4831467035389.8
2006-01-01,48.19,276.939,962.937,337.2440557775249,0.1022246395978074,4831467035389.8,48.862,274.6935,953.059,336.89966131294153,0.1023292453000185,4893116005656.56,49.786,269.739,923.699,336.55526684835814,0.1024340653059762,4519561645253.53,49.608,267.1955,932.99,336.21087238377476,0.102539100274916,4182846045873.61,45.35,262.524,919.667,335.86647791919137,0.1026443508687799,4374711694090.87,48.009,278.9705,980.61,337.5884502421083,0.1021202475428004,4601663122649.92
