,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.594,0.002,0.296,1.26,3.691299311296174,6928359238.36389,0.528,0.0,0.604,1.126,3.8327786429467743,6727446632.42009,0.436,0.0,0.145,1.066,3.985535392268724,6237739516.24445,0.424,0.0,0.14,1.006,4.150973927263677,5605841535.57512,0.386,0.0,0.16,1.048,4.150973927263677,5311329067.37276,0.637,0.003,0.45,1.276,3.5598930053083464,7246188575.45839
1998-01-01,0.637,0.003,0.45,1.276,3.5598930053083464,7246188575.45839,0.594,0.002,0.296,1.26,3.691299311296174,6928359238.36389,0.528,0.0,0.604,1.126,3.8327786429467743,6727446632.42009,0.436,0.0,0.145,1.066,3.985535392268724,6237739516.24445,0.424,0.0,0.14,1.006,4.150973927263677,5605841535.57512,0.695,0.004,0.407,1.65,3.4375209378845626,7912327362.48237
1999-01-01,0.695,0.004,0.407,1.65,3.4375209378845626,7912327362.48237,0.637,0.003,0.45,1.276,3.5598930053083464,7246188575.45839,0.594,0.002,0.296,1.26,3.691299311296174,6928359238.36389,0.528,0.0,0.604,1.126,3.8327786429467743,6727446632.42009,0.436,0.0,0.145,1.066,3.985535392268724,6237739516.24445,0.783,0.007,0.65,1.654,3.3232824092418594,8149106064.88011
2000-01-01,0.783,0.007,0.65,1.654,3.3232824092418594,8149106064.88011,0.695,0.004,0.407,1.65,3.4375209378845626,7912327362.48237,0.637,0.003,0.45,1.276,3.5598930053083464,7246188575.45839,0.594,0.002,0.296,1.26,3.691299311296174,6928359238.36389,0.528,0.0,0.604,1.126,3.8327786429467743,6727446632.42009,0.809,0.005,0.425,1.662,3.2163925997618183,8460424400.56418
2001-01-01,0.809,0.005,0.425,1.662,3.2163925997618183,8460424400.56418,0.783,0.007,0.65,1.654,3.3232824092418594,8149106064.88011,0.695,0.004,0.407,1.65,3.4375209378845626,7912327362.48237,0.637,0.003,0.45,1.276,3.5598930053083464,7246188575.45839,0.594,0.002,0.296,1.26,3.691299311296174,6928359238.36389,0.906,0.002,0.3,1.662,3.7085037026020142,8975689844.8519
2002-01-01,0.906,0.002,0.3,1.662,3.7085037026020142,8975689844.8519,0.809,0.005,0.425,1.662,3.2163925997618183,8460424400.56418,0.783,0.007,0.65,1.654,3.3232824092418594,8149106064.88011,0.695,0.004,0.407,1.65,3.4375209378845626,7912327362.48237,0.637,0.003,0.45,1.276,3.5598930053083464,7246188575.45839,1.001,0.0,0.322,1.7901,3.5758916291345075,9582453032.44006
2003-01-01,1.001,0.0,0.322,1.7901,3.5758916291345075,9582453032.44006,0.906,0.002,0.3,1.662,3.7085037026020142,8975689844.8519,0.809,0.005,0.425,1.662,3.2163925997618183,8460424400.56418,0.783,0.007,0.65,1.654,3.3232824092418594,8149106064.88011,0.695,0.004,0.407,1.65,3.4375209378845626,7912327362.48237,1.126,0.003,0.972,1.7902,3.452436250260263,10195660789.8449
2004-01-01,1.126,0.003,0.972,1.7902,3.452436250260263,10195660789.8449,1.001,0.0,0.322,1.7901,3.5758916291345075,9582453032.44006,0.906,0.002,0.3,1.662,3.7085037026020142,8975689844.8519,0.809,0.005,0.425,1.662,3.2163925997618183,8460424400.56418,0.783,0.007,0.65,1.654,3.3232824092418594,8149106064.88011,1.095,0.0,0.788,1.9073,3.337220828621675,11411390409.0268
2005-01-01,1.095,0.0,0.788,1.9073,3.337220828621675,11411390409.0268,1.126,0.003,0.972,1.7902,3.452436250260263,10195660789.8449,1.001,0.0,0.322,1.7901,3.5758916291345075,9582453032.44006,0.906,0.002,0.3,1.662,3.7085037026020142,8975689844.8519,0.809,0.005,0.425,1.662,3.2163925997618183,8460424400.56418,1.291,0.004,0.741,1.9068,3.2294470490514393,12588665303.244
2006-01-01,1.291,0.004,0.741,1.9068,3.2294470490514393,12588665303.244,1.095,0.0,0.788,1.9073,3.337220828621675,11411390409.0268,1.126,0.003,0.972,1.7902,3.452436250260263,10195660789.8449,1.001,0.0,0.322,1.7901,3.5758916291345075,9582453032.44006,0.906,0.002,0.3,1.662,3.7085037026020142,8975689844.8519,1.52,0.013,0.472,2.1019,3.1284164948756397,15056929760.2257
2007-01-01,1.52,0.013,0.472,2.1019,3.1284164948756397,15056929760.2257,1.291,0.004,0.741,1.9068,3.2294470490514393,12588665303.244,1.095,0.0,0.788,1.9073,3.337220828621675,11411390409.0268,1.126,0.003,0.972,1.7902,3.452436250260263,10195660789.8449,1.001,0.0,0.322,1.7901,3.5758916291345075,9582453032.44006,1.869,0.176,0.208,2.198,3.033515495732519,17110587447.1086
2008-01-01,1.869,0.176,0.208,2.198,3.033515495732519,17110587447.1086,1.52,0.013,0.472,2.1019,3.1284164948756397,15056929760.2257,1.291,0.004,0.741,1.9068,3.2294470490514393,12588665303.244,1.095,0.0,0.788,1.9073,3.337220828621675,11411390409.0268,1.126,0.003,0.972,1.7902,3.452436250260263,10195660789.8449,1.948,0.323,0.547,2.5361,2.9442026520566285,22657662392.5602
2009-01-01,1.948,0.323,0.547,2.5361,2.9442026520566285,22657662392.5602,1.869,0.176,0.208,2.198,3.033515495732519,17110587447.1086,1.52,0.013,0.472,2.1019,3.1284164948756397,15056929760.2257,1.291,0.004,0.741,1.9068,3.2294470490514393,12588665303.244,1.095,0.0,0.788,1.9073,3.337220828621675,11411390409.0268,2.024,0.139,0.383,2.6172,2.8599985003602284,24537876056.338
2010-01-01,2.024,0.139,0.383,2.6172,2.8599985003602284,24537876056.338,1.948,0.323,0.547,2.5361,2.9442026520566285,22657662392.5602,1.869,0.176,0.208,2.198,3.033515495732519,17110587447.1086,1.52,0.013,0.472,2.1019,3.1284164948756397,15056929760.2257,1.291,0.004,0.741,1.9068,3.2294470490514393,12588665303.244,1.989,0.058,0.67,3.1804,2.780476902641824,27133804225.3521
2011-01-01,1.989,0.058,0.67,3.1804,2.780476902641824,27133804225.3521,2.024,0.139,0.383,2.6172,2.8599985003602284,24537876056.338,1.948,0.323,0.547,2.5361,2.9442026520566285,22657662392.5602,1.869,0.176,0.208,2.198,3.033515495732519,17110587447.1086,1.52,0.013,0.472,2.1019,3.1284164948756397,15056929760.2257,2.148,0.086,1.738,3.5164,7.395448272160691,29524149154.9296
2012-01-01,2.148,0.086,1.738,3.5164,7.395448272160691,29524149154.9296,1.989,0.058,0.67,3.1804,2.780476902641824,27133804225.3521,2.024,0.139,0.383,2.6172,2.8599985003602284,24537876056.338,1.948,0.323,0.547,2.5361,2.9442026520566285,22657662392.5602,1.869,0.176,0.208,2.198,3.033515495732519,17110587447.1086,1.761,0.104,0.784,3.5155,6.886184089868705,31634561690.1408
2013-01-01,1.761,0.104,0.784,3.5155,6.886184089868705,31634561690.1408,2.148,0.086,1.738,3.5164,7.395448272160691,29524149154.9296,1.989,0.058,0.67,3.1804,2.780476902641824,27133804225.3521,2.024,0.139,0.383,2.6172,2.8599985003602284,24537876056.338,1.948,0.323,0.547,2.5361,2.9442026520566285,22657662392.5602,1.788,0.059,0.381,3.3895,6.442538994636461,34454440140.8451
