,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
1997-01-01,8.976,1.731,6.854,19.055,52.1,-1.015680368974485,21035368250.8881,10.143,2.5,8.0,19.056,58.533,-1.0054680276018184,20374302652.3819,9.563,5.5,11.6,19.117,59.78,-0.9954590055729,21250792886.1054,9.274,12.0,27.0,18.626,79.286,-0.9856472908529192,23409260879.9427,8.851,15.447,28.62,18.862,82.879,-0.9856472908529192,24917355371.9008,8.037,0.001,3.5,19.055,44.952,-1.0261022884842173,22165932062.966
1998-01-01,8.037,0.001,3.5,19.055,44.952,-1.0261022884842173,22165932062.966,8.976,1.731,6.854,19.055,52.1,-1.015680368974485,21035368250.8881,10.143,2.5,8.0,19.056,58.533,-1.0054680276018184,20374302652.3819,9.563,5.5,11.6,19.117,59.78,-0.9954590055729,21250792886.1054,9.274,12.0,27.0,18.626,79.286,-0.9856472908529192,23409260879.9427,8.514,0.133,4.0,19.055,41.957,-1.0367403044740635,22135254836.0031
1999-01-01,8.514,0.133,4.0,19.055,41.957,-1.0367403044740635,22135254836.0031,8.037,0.001,3.5,19.055,44.952,-1.0261022884842173,22165932062.966,8.976,1.731,6.854,19.055,52.1,-1.015680368974485,21035368250.8881,10.143,2.5,8.0,19.056,58.533,-1.0054680276018184,20374302652.3819,9.563,5.5,11.6,19.117,59.78,-0.9954590055729,21250792886.1054,8.118,0.085,3.07,16.306,39.823,-1.047601208432036,16870821839.7584
2000-01-01,8.118,0.085,3.07,16.306,39.823,-1.047601208432036,16870821839.7584,8.514,0.133,4.0,19.055,41.957,-1.0367403044740635,22135254836.0031,8.037,0.001,3.5,19.055,44.952,-1.0261022884842173,22165932062.966,8.976,1.731,6.854,19.055,52.1,-1.015680368974485,21035368250.8881,10.143,2.5,8.0,19.056,58.533,-1.0054680276018184,20374302652.3819,7.167,0.085,3.1,18.096,44.46942,-1.0586920794499275,18291994909.0044
2001-01-01,7.167,0.085,3.1,18.096,44.46942,-1.0586920794499275,18291994909.0044,8.118,0.085,3.07,16.306,39.823,-1.047601208432036,16870821839.7584,8.514,0.133,4.0,19.055,41.957,-1.0367403044740635,22135254836.0031,8.037,0.001,3.5,19.055,44.952,-1.0261022884842173,22165932062.966,8.976,1.731,6.854,19.055,52.1,-1.015680368974485,21035368250.8881,6.472,1.637,3.435,18.445,49.17544,0.9133374196398574,22152694161.8882
2002-01-01,6.472,1.637,3.435,18.445,49.17544,0.9133374196398574,22152694161.8882,7.167,0.085,3.1,18.096,44.46942,-1.0586920794499275,18291994909.0044,8.118,0.085,3.07,16.306,39.823,-1.047601208432036,16870821839.7584,8.514,0.133,4.0,19.055,41.957,-1.0367403044740635,22135254836.0031,8.037,0.001,3.5,19.055,44.952,-1.0261022884842173,22165932062.966,5.859,2.0,2.389,18.552,49.81588,0.9050710669114216,24636593223.3467
2003-01-01,5.859,2.0,2.389,18.552,49.81588,0.9050710669114216,24636593223.3467,6.472,1.637,3.435,18.445,49.17544,0.9133374196398574,22152694161.8882,7.167,0.085,3.1,18.096,44.46942,-1.0586920794499275,18291994909.0044,8.118,0.085,3.07,16.306,39.823,-1.047601208432036,16870821839.7584,8.514,0.133,4.0,19.055,41.957,-1.0367403044740635,22135254836.0031,6.208,4.975,3.506,18.65,52.78854,0.8969530047813411,30833699702.7594
2004-01-01,6.208,4.975,3.506,18.65,52.78854,0.8969530047813411,30833699702.7594,5.859,2.0,2.389,18.552,49.81588,0.9050710669114216,24636593223.3467,6.472,1.637,3.435,18.445,49.17544,0.9133374196398574,22152694161.8882,7.167,0.085,3.1,18.096,44.46942,-1.0586920794499275,18291994909.0044,8.118,0.085,3.07,16.306,39.823,-1.047601208432036,16870821839.7584,6.838,7.403,5.234,18.763,54.32372,0.8889792784315776,43151647002.6096
2005-01-01,6.838,7.403,5.234,18.763,54.32372,0.8889792784315776,43151647002.6096,6.208,4.975,3.506,18.65,52.78854,0.8969530047813411,30833699702.7594,5.859,2.0,2.389,18.552,49.81588,0.9050710669114216,24636593223.3467,6.472,1.637,3.435,18.445,49.17544,0.9133374196398574,22152694161.8882,7.167,0.085,3.1,18.096,44.46942,-1.0586920794499275,18291994909.0044,6.946,3.648,3.518,18.857,57.09254,0.8811460724349175,57123671733.8952
2006-01-01,6.946,3.648,3.518,18.857,57.09254,0.8811460724349175,57123671733.8952,6.838,7.403,5.234,18.763,54.32372,0.8889792784315776,43151647002.6096,6.208,4.975,3.506,18.65,52.78854,0.8969530047813411,30833699702.7594,5.859,2.0,2.389,18.552,49.81588,0.9050710669114216,24636593223.3467,6.472,1.637,3.435,18.445,49.17544,0.9133374196398574,22152694161.8882,6.651,3.73,3.955,18.8575,61.32066,0.8734497046675451,81003884545.4099
