,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.764,0.0,0.15,2.8471710278146096,12045858436.2399,0.75,0.0,0.17,2.9306105215214555,9046326059.98857,0.569,0.0,0.264,3.0190882391108547,7148145375.78545,0.566,0.0,0.273,3.113074711603629,5751789915.05363,0.51,0.0,0.112,3.113074711603629,8209129171.73649,0.948,0.0,0.144,2.7683513307766177,13115773737.5664
1998-01-01,0.948,0.0,0.144,2.7683513307766177,13115773737.5664,0.764,0.0,0.15,2.8471710278146096,12045858436.2399,0.75,0.0,0.17,2.9306105215214555,9046326059.98857,0.569,0.0,0.264,3.0190882391108547,7148145375.78545,0.566,0.0,0.273,3.113074711603629,5751789915.05363,0.945,0.0,0.146,2.6937780891961993,14093998843.7334
1999-01-01,0.945,0.0,0.146,2.6937780891961993,14093998843.7334,0.948,0.0,0.144,2.7683513307766177,13115773737.5664,0.764,0.0,0.15,2.8471710278146096,12045858436.2399,0.75,0.0,0.17,2.9306105215214555,9046326059.98857,0.569,0.0,0.264,3.0190882391108547,7148145375.78545,0.959,0.0,0.1,2.623117134571157,12896013576.7324
2000-01-01,0.959,0.0,0.1,2.623117134571157,12896013576.7324,0.945,0.0,0.146,2.6937780891961993,14093998843.7334,0.948,0.0,0.144,2.7683513307766177,13115773737.5664,0.764,0.0,0.15,2.8471710278146096,12045858436.2399,0.75,0.0,0.17,2.9306105215214555,9046326059.98857,0.867,0.0,0.198,2.556068464702184,12705357103.0056
2001-01-01,0.867,0.0,0.198,2.556068464702184,12705357103.0056,0.959,0.0,0.1,2.623117134571157,12896013576.7324,0.945,0.0,0.146,2.6937780891961993,14093998843.7334,0.948,0.0,0.144,2.7683513307766177,13115773737.5664,0.764,0.0,0.15,2.8471710278146096,12045858436.2399,0.945,0.0,0.172,3.457288090610254,12986007425.8781
2002-01-01,0.945,0.0,0.172,3.457288090610254,12986007425.8781,0.867,0.0,0.198,2.556068464702184,12705357103.0056,0.959,0.0,0.1,2.623117134571157,12896013576.7324,0.945,0.0,0.146,2.6937780891961993,14093998843.7334,0.948,0.0,0.144,2.7683513307766177,13115773737.5664,1.053,0.0,0.222,3.341754026630095,13147743910.7241
2003-01-01,1.053,0.0,0.222,3.341754026630095,13147743910.7241,0.945,0.0,0.172,3.457288090610254,12986007425.8781,0.867,0.0,0.198,2.556068464702184,12705357103.0056,0.959,0.0,0.1,2.623117134571157,12896013576.7324,0.945,0.0,0.146,2.6937780891961993,14093998843.7334,0.941,0.0,0.189,3.233691994204937,14904517649.8476
2004-01-01,0.941,0.0,0.189,3.233691994204937,14904517649.8476,1.053,0.0,0.222,3.341754026630095,13147743910.7241,0.945,0.0,0.172,3.457288090610254,12986007425.8781,0.867,0.0,0.198,2.556068464702184,12705357103.0056,0.959,0.0,0.1,2.623117134571157,12896013576.7324,0.96,0.015,0.162,3.132399831623236,16095337093.8366
2005-01-01,0.96,0.015,0.162,3.132399831623236,16095337093.8366,0.941,0.0,0.189,3.233691994204937,14904517649.8476,1.053,0.0,0.222,3.341754026630095,13147743910.7241,0.945,0.0,0.172,3.457288090610254,12986007425.8781,0.867,0.0,0.198,2.556068464702184,12705357103.0056,1.024,0.0244,0.028,3.0372606830998574,18737897744.7948
2006-01-01,1.024,0.0244,0.028,3.0372606830998574,18737897744.7948,0.96,0.015,0.162,3.132399831623236,16095337093.8366,0.941,0.0,0.189,3.233691994204937,14904517649.8476,1.053,0.0,0.222,3.341754026630095,13147743910.7241,0.945,0.0,0.172,3.457288090610254,12986007425.8781,1.096,0.047,0.011,2.9477304258322814,25825524820.8064
