,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.00049,0.002,1.7597258824315245,47737955.346651
1993-01-01,0.00049,0.002,1.7597258824315245,46919624.6430029
1994-01-01,0.00049,0.002,1.7292950302014485,54832577.8622606
1995-01-01,0.00049,0.002,1.699898765334071,56338028.1690141
1996-01-01,0.00049,0.002,1.6714852089051504,66515376.7900462
1997-01-01,0.0007,0.002,1.6440058935607536,67537479.5903221
1998-01-01,0.0007,0.002,1.6174154876209188,65334841.0604347
1999-01-01,0.00084,0.002,1.5916715455314212,69032258.0645161
2000-01-01,0.00091,0.0045,1.5667342817743328,67254174.3970315
2001-01-01,0.00077,0.0046,2.1580393128138096,63101272.3699183
2002-01-01,0.00091,0.0046,2.1124517730863888,72196457.6768445
2003-01-01,0.0,0.0036,2.06875041819645,90231856.8000519
2004-01-01,0.0,0.005,2.0268205593978315,102367039.270481
2005-01-01,0.003,0.005,1.9865566213717736,112133944.253532
2006-01-01,0.003,0.005,1.9478612546425371,110234939.759036
2007-01-01,0.003,0.007,1.9106445497441469,132671742.950381
2008-01-01,0.003,0.007,1.8748233397851948,141042610.300285
2009-01-01,0.003,0.007,1.840320580024048,132419902.010457
2010-01-01,0.0034,0.0054,1.807064794712569,156120439.254831
2011-01-01,0.0035,0.0054,1.6134080281494458,181705153.610056
2012-01-01,0.0045,0.0055,1.5877904889308556,190243432.813514
2013-01-01,0.0048,0.0065,1.5629737405341544,185114059.61905
2014-01-01,0.0042,0.0068,1.5389208123495293,179703165.412383
2015-01-01,0.0045,0.01,1.515596975068842,171117816.66613
2016-01-01,0.0045,0.011,1.6718791503508763,178328984.096884
2017-01-01,0.0045,0.011,1.6443869871614412,187276124.790591
2018-01-01,0.0046,0.011,1.617784351800118,200157020.642498
2019-01-01,0.0047,0.011,1.5920287596503255,188391770.636764
2020-01-01,0.0047,0.011,1.5670803891679317,197508774.344505
2021-01-01,0.0047,0.011,1.885531736555356,197508774.344505
