,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,6.320073501978996,16.608301452823685,2.461459895077044,117247214180.83328
2023-01-01,6.46502061229773,17.015619398604773,2.6590550623134037,124144689194.37413
2024-01-01,6.387558421871946,16.482246479036814,2.8562882366211215,123291694732.00787
2025-01-01,6.294101965566281,16.307256422241075,2.733961566319884,118876596219.607
2026-01-01,6.076042760408635,15.715315913744703,2.7166278698280153,111564865548.25363
2027-01-01,6.175805345863076,15.871845045337508,2.8448670145134356,115565840292.39635
2028-01-01,6.29118258736091,15.993475625391534,3.0176171421973588,120321211935.72159
2029-01-01,6.253935692366319,15.894392556668336,3.0773431623744876,119254946863.46375
2030-01-01,6.19228461917378,15.821042967772645,2.9866375025552427,116801608276.45438
2031-01-01,6.028646967682324,15.433669628165152,2.934470599967813,111124276785.319
