,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,2.802,6.988,1.4403024622427785,31493319973.2799,2.61,6.988,1.4613503269843269,27191353887.3995,1.85,6.988,1.4830224808575905,24848483838.3838,1.09,6.988,1.5053471170178936,23941391390.7285,1.013,6.968,1.5053471170178936,19858555214.7239,2.94,6.992,1.4198522946822594,30355093966.3699
1998-01-01,2.94,6.992,1.4198522946822594,30355093966.3699,2.802,6.988,1.4403024622427785,31493319973.2799,2.61,6.988,1.4613503269843269,27191353887.3995,1.85,6.988,1.4830224808575905,24848483838.3838,1.09,6.988,1.5053471170178936,23941391390.7285,3.298,7.59,1.3999747214744205,25939960629.9213
1999-01-01,3.298,7.59,1.3999747214744205,25939960629.9213,2.94,6.992,1.4198522946822594,30355093966.3699,2.802,6.988,1.4403024622427785,31493319973.2799,2.61,6.988,1.4613503269843269,27191353887.3995,1.85,6.988,1.4830224808575905,24848483838.3838,3.473,8.465,1.3806460261157711,30123850197.1091
2000-01-01,3.473,8.465,1.3806460261157711,30123850197.1091,3.298,7.59,1.3999747214744205,25939960629.9213,2.94,6.992,1.4198522946822594,30355093966.3699,2.802,6.988,1.4403024622427785,31493319973.2799,2.61,6.988,1.4613503269843269,27191353887.3995,3.556,9.365,1.3618437840296609,37712842242.5033
2001-01-01,3.556,9.365,1.3618437840296609,37712842242.5033,3.473,8.465,1.3806460261157711,30123850197.1091,3.298,7.59,1.3999747214744205,25939960629.9213,2.94,6.992,1.4198522946822594,30355093966.3699,2.802,6.988,1.4403024622427785,31493319973.2799,3.773,9.392,5.211920403162746,34887512226.9319
2002-01-01,3.773,9.392,5.211920403162746,34887512226.9319,3.556,9.365,1.3618437840296609,37712842242.5033,3.473,8.465,1.3806460261157711,30123850197.1091,3.298,7.59,1.3999747214744205,25939960629.9213,2.94,6.992,1.4198522946822594,30355093966.3699,4.0,9.281,4.953735644393838,38137545245.1464
2003-01-01,4.0,9.281,4.953735644393838,38137545245.1464,3.773,9.392,5.211920403162746,34887512226.9319,3.556,9.365,1.3618437840296609,37712842242.5033,3.473,8.465,1.3806460261157711,30123850197.1091,3.298,7.59,1.3999747214744205,25939960629.9213,4.378,9.856,4.7199231299190485,47876510067.1141
2004-01-01,4.378,9.856,4.7199231299190485,47876510067.1141,4.0,9.281,4.953735644393838,38137545245.1464,3.773,9.392,5.211920403162746,34887512226.9319,3.556,9.365,1.3618437840296609,37712842242.5033,3.473,8.465,1.3806460261157711,30123850197.1091,4.538,9.856,4.507187351602,59439090600.6108
2005-01-01,4.538,9.856,4.507187351602,59439090600.6108,4.378,9.856,4.7199231299190485,47876510067.1141,4.0,9.281,4.953735644393838,38137545245.1464,3.773,9.392,5.211920403162746,34887512226.9319,3.556,9.365,1.3618437840296609,37712842242.5033,4.967,10.858,4.312801316179436,80798630136.9863
2006-01-01,4.967,10.858,4.312801316179436,80798630136.9863,4.538,9.856,4.507187351602,59439090600.6108,4.378,9.856,4.7199231299190485,47876510067.1141,4.0,9.281,4.953735644393838,38137545245.1464,3.773,9.392,5.211920403162746,34887512226.9319,5.437,10.858,4.13448901933621,101548931771.192
