,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.08603,0.05,2.2911771997484736,1873671550.34636,0.07511,0.043,2.3449030845785357,1763536304.53964,0.06223,0.025,2.4012091110917058,1543606345.11684,0.06349,0.025,2.4602857158598197,1327748654.65969,0.06286,0.041,2.4602857158598197,1127806944.61513,0.08428,0.045,2.239858082065466,1747011857.33107
1998-01-01,0.08428,0.045,2.239858082065466,1747011857.33107,0.08603,0.05,2.2911771997484736,1873671550.34636,0.07511,0.043,2.3449030845785357,1763536304.53964,0.06223,0.025,2.4012091110917058,1543606345.11684,0.06349,0.025,2.4602857158598197,1327748654.65969,0.13769,0.13,2.1907875500644636,1280177838.71905
1999-01-01,0.13769,0.13,2.1907875500644636,1280177838.71905,0.08428,0.045,2.239858082065466,1747011857.33107,0.08603,0.05,2.2911771997484736,1873671550.34636,0.07511,0.043,2.3449030845785357,1763536304.53964,0.06223,0.025,2.4012091110917058,1543606345.11684,0.17983,0.16,2.1438209867901943,1454430642.49183
2000-01-01,0.17983,0.16,2.1438209867901943,1454430642.49183,0.13769,0.13,2.1907875500644636,1280177838.71905,0.08428,0.045,2.239858082065466,1747011857.33107,0.08603,0.05,2.2911771997484736,1873671550.34636,0.07511,0.043,2.3449030845785357,1763536304.53964,0.18585,0.1,2.098825916319936,1731198022.45494
2001-01-01,0.18585,0.1,2.098825916319936,1731198022.45494,0.17983,0.16,2.1438209867901943,1454430642.49183,0.13769,0.13,2.1907875500644636,1280177838.71905,0.08428,0.045,2.239858082065466,1747011857.33107,0.08603,0.05,2.2911771997484736,1873671550.34636,0.25572,0.182,1.6435079351254769,1768619058.34647
2002-01-01,0.25572,0.182,1.6435079351254769,1768619058.34647,0.18585,0.1,2.098825916319936,1731198022.45494,0.17983,0.16,2.1438209867901943,1454430642.49183,0.13769,0.13,2.1907875500644636,1280177838.71905,0.08428,0.045,2.239858082065466,1747011857.33107,0.23983,0.201,1.6169335046705142,1758176653.07746
2003-01-01,0.23983,0.201,1.6169335046705142,1758176653.07746,0.25572,0.182,1.6435079351254769,1768619058.34647,0.18585,0.1,2.098825916319936,1731198022.45494,0.17983,0.16,2.1438209867901943,1454430642.49183,0.13769,0.13,2.1907875500644636,1280177838.71905,0.23917,0.229,1.591204781431627,2023324407.30316
2004-01-01,0.23917,0.229,1.591204781431627,2023324407.30316,0.23983,0.201,1.6169335046705142,1758176653.07746,0.25572,0.182,1.6435079351254769,1768619058.34647,0.18585,0.1,2.098825916319936,1731198022.45494,0.17983,0.16,2.1438209867901943,1454430642.49183,0.29776,0.278,1.5662820269284377,2366398119.8821
2005-01-01,0.29776,0.278,1.5662820269284377,2366398119.8821,0.23917,0.229,1.591204781431627,2023324407.30316,0.23983,0.201,1.6169335046705142,1758176653.07746,0.25572,0.182,1.6435079351254769,1768619058.34647,0.18585,0.1,2.098825916319936,1731198022.45494,0.322,0.3,1.5421279539534256,2735558726.25625
2006-01-01,0.322,0.3,1.5421279539534256,2735558726.25625,0.29776,0.278,1.5662820269284377,2366398119.8821,0.23917,0.229,1.591204781431627,2023324407.30316,0.23983,0.201,1.6169335046705142,1758176653.07746,0.25572,0.182,1.6435079351254769,1768619058.34647,0.33,0.63,1.5187075404336008,3455031447.60194
2007-01-01,0.33,0.63,1.5187075404336008,3455031447.60194,0.322,0.3,1.5421279539534256,2735558726.25625,0.29776,0.278,1.5662820269284377,2366398119.8821,0.23917,0.229,1.591204781431627,2023324407.30316,0.23983,0.201,1.6169335046705142,1758176653.07746,0.32,0.79,1.4959878599998124,4223152219.2439
2008-01-01,0.32,0.79,1.4959878599998124,4223152219.2439,0.33,0.63,1.5187075404336008,3455031447.60194,0.322,0.3,1.5421279539534256,2735558726.25625,0.29776,0.278,1.5662820269284377,2366398119.8821,0.23917,0.229,1.591204781431627,2023324407.30316,0.33,0.85,1.4739379275398827,5446434031.69042
2009-01-01,0.33,0.85,1.4739379275398827,5446434031.69042,0.32,0.79,1.4959878599998124,4223152219.2439,0.33,0.63,1.5187075404336008,3455031447.60194,0.322,0.3,1.5421279539534256,2735558726.25625,0.29776,0.278,1.5662820269284377,2366398119.8821,0.362,1.18,1.4525285582120473,5836138127.06562
2010-01-01,0.362,1.18,1.4525285582120473,5836138127.06562,0.33,0.85,1.4739379275398827,5446434031.69042,0.32,0.79,1.4959878599998124,4223152219.2439,0.33,0.63,1.5187075404336008,3455031447.60194,0.322,0.3,1.5421279539534256,2735558726.25625,0.571,1.21,1.4317322385696938,7131773632.71369
2011-01-01,0.571,1.21,1.4317322385696938,7131773632.71369,0.362,1.18,1.4525285582120473,5836138127.06562,0.33,0.85,1.4739379275398827,5446434031.69042,0.32,0.79,1.4959878599998124,4223152219.2439,0.33,0.63,1.5187075404336008,3455031447.60194,0.649,0.904,1.467563902939837,8750107401.57872
2012-01-01,0.649,0.904,1.467563902939837,8750107401.57872,0.571,1.21,1.4317322385696938,7131773632.71369,0.362,1.18,1.4525285582120473,5836138127.06562,0.33,0.85,1.4739379275398827,5446434031.69042,0.32,0.79,1.4959878599998124,4223152219.2439,0.948,1.329,1.4463379689923914,10192848926.2582
2013-01-01,0.948,1.329,1.4463379689923914,10192848926.2582,0.649,0.904,1.467563902939837,8750107401.57872,0.571,1.21,1.4317322385696938,7131773632.71369,0.362,1.18,1.4525285582120473,5836138127.06562,0.33,0.85,1.4739379275398827,5446434031.69042,0.907,1.272,1.4257172786606234,11983252611.2727
