,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,1.013,0.002,4.05,6.768,4.048,-1.1287409808629365,5789128636.62293
1993-01-01,1.176,0.17,2.672,5.158,2.502,-1.1287409808629365,5789128636.62293
1994-01-01,1.284,0.85,2.7,4.905,1.85,-1.1416269925767613,5789128636.62293
1995-01-01,1.272,0.391,2.65,4.874,2.259,-1.154810622354706,5789128636.62293
1996-01-01,1.456,0.211,3.438,4.8,3.227,-1.1683023014328673,5975248851.45482
1997-01-01,1.326,0.001,1.824,4.876,1.823,-1.182112954283295,6527926445.6811
1998-01-01,1.194,0.384,1.9,4.704,1.516,-1.1962540281157688,7166275467.65161
1999-01-01,1.11,0.642,2.45,4.699,1.808,-1.2107375245228007,7533788133.55753
2000-01-01,0.992,0.322,2.2,4.91522,1.878,-1.2255760334513544,7958852838.93395
2001-01-01,0.99,0.457,2.3,5.01854,1.843,-1.2162856892076588,8362398701.58943
2002-01-01,0.993,0.49,2.7,5.0766,2.21,-1.2312613447404832,9557031605.27512
2003-01-01,0.902,0.038,2.671,5.58478,2.633,-1.246610376424927,11771975156.8073
2004-01-01,0.885,0.636,2.733,5.78042,2.097,-1.2623469241680874,14435700533.368
2005-01-01,0.836,0.707,2.855,6.09548,2.148,-1.2784858509839068,17003459863.0989
2006-01-01,0.818,0.302,2.81,6.4277,2.508,-1.2950427898158905,21570076498.6205
2007-01-01,0.798,1.964,4.964,6.82942,3.0,-1.3120341940457996,31054350977.9784
2008-01-01,0.798,2.123,4.643,6.84128,2.52,-1.3294773920313592,35854274228.9139
2009-01-01,0.741,2.605,4.259,6.32622,1.654,-1.347390646052979,26410909090.9091
2010-01-01,0.7247,3.1,3.973,6.228351,0.873,-1.3657932160910151,23956163076.5575
2011-01-01,0.615869,2.764002,4.009,6.211933,1.244998,-1.0428116657863558,27474380566.265
2012-01-01,0.559096,3.244001,4.935,6.902188,1.690999,-1.053800823710158,28169902669.3784
2013-01-01,0.574888,3.649998,5.005,6.632849,1.355002,-1.0650240559848374,30204783461.8488
2014-01-01,0.464999,3.023,5.340001,6.665335,2.317001,-1.0764889219637634,31345148670.5896
2015-01-01,0.45057,3.425002,5.245999,6.554824,1.820997,-1.088203310044839,27252128626.6281
2016-01-01,0.475581,3.795,4.828001,6.591053,1.033001,-0.9528628909789676,28064533352.2849
2017-01-01,0.474293,4.137078,4.072913,6.633562,-0.064165,-0.9620297151346648,30408509601.8003
2018-01-01,0.4482328,4.264801,5.1736821,6.7783863,0.9088811,-0.971374627698414,34412210812.2783
2019-01-01,0.4413554,3.4926831,4.6107608,6.7294613,1.1180777,-0.9809028692930808,34308783825.3019
2020-01-01,0.3811101,2.54773,4.1733651,6.7635351,1.6256351,-0.9906198882002368,33707320816.3036
2021-01-01,0.3941375,2.8949656,4.6674083,6.9167337,1.7724427,-1.2229764919464516,33707320816.3036
