,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Consumption_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Consumption_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Consumption_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Consumption_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Consumption_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,1.456,0.211,3.438,4.8,3.227,-1.1683023014328673,5975248851.45482,1.272,0.391,2.65,4.874,2.259,-1.154810622354706,5789128636.62293,1.284,0.85,2.7,4.905,1.85,-1.1416269925767613,5789128636.62293,1.176,0.17,2.672,5.158,2.502,-1.1287409808629365,5789128636.62293,1.013,0.002,4.05,6.768,4.048,-1.1287409808629365,5789128636.62293,1.326,0.001,1.824,4.876,1.823,-1.182112954283295,6527926445.6811
1998-01-01,1.326,0.001,1.824,4.876,1.823,-1.182112954283295,6527926445.6811,1.456,0.211,3.438,4.8,3.227,-1.1683023014328673,5975248851.45482,1.272,0.391,2.65,4.874,2.259,-1.154810622354706,5789128636.62293,1.284,0.85,2.7,4.905,1.85,-1.1416269925767613,5789128636.62293,1.176,0.17,2.672,5.158,2.502,-1.1287409808629365,5789128636.62293,1.194,0.384,1.9,4.704,1.516,-1.1962540281157688,7166275467.65161
1999-01-01,1.194,0.384,1.9,4.704,1.516,-1.1962540281157688,7166275467.65161,1.326,0.001,1.824,4.876,1.823,-1.182112954283295,6527926445.6811,1.456,0.211,3.438,4.8,3.227,-1.1683023014328673,5975248851.45482,1.272,0.391,2.65,4.874,2.259,-1.154810622354706,5789128636.62293,1.284,0.85,2.7,4.905,1.85,-1.1416269925767613,5789128636.62293,1.11,0.642,2.45,4.699,1.808,-1.2107375245228007,7533788133.55753
2000-01-01,1.11,0.642,2.45,4.699,1.808,-1.2107375245228007,7533788133.55753,1.194,0.384,1.9,4.704,1.516,-1.1962540281157688,7166275467.65161,1.326,0.001,1.824,4.876,1.823,-1.182112954283295,6527926445.6811,1.456,0.211,3.438,4.8,3.227,-1.1683023014328673,5975248851.45482,1.272,0.391,2.65,4.874,2.259,-1.154810622354706,5789128636.62293,0.992,0.322,2.2,4.91522,1.878,-1.2255760334513544,7958852838.93395
2001-01-01,0.992,0.322,2.2,4.91522,1.878,-1.2255760334513544,7958852838.93395,1.11,0.642,2.45,4.699,1.808,-1.2107375245228007,7533788133.55753,1.194,0.384,1.9,4.704,1.516,-1.1962540281157688,7166275467.65161,1.326,0.001,1.824,4.876,1.823,-1.182112954283295,6527926445.6811,1.456,0.211,3.438,4.8,3.227,-1.1683023014328673,5975248851.45482,0.99,0.457,2.3,5.01854,1.843,-1.2162856892076588,8362398701.58943
2002-01-01,0.99,0.457,2.3,5.01854,1.843,-1.2162856892076588,8362398701.58943,0.992,0.322,2.2,4.91522,1.878,-1.2255760334513544,7958852838.93395,1.11,0.642,2.45,4.699,1.808,-1.2107375245228007,7533788133.55753,1.194,0.384,1.9,4.704,1.516,-1.1962540281157688,7166275467.65161,1.326,0.001,1.824,4.876,1.823,-1.182112954283295,6527926445.6811,0.993,0.49,2.7,5.0766,2.21,-1.2312613447404832,9557031605.27512
2003-01-01,0.993,0.49,2.7,5.0766,2.21,-1.2312613447404832,9557031605.27512,0.99,0.457,2.3,5.01854,1.843,-1.2162856892076588,8362398701.58943,0.992,0.322,2.2,4.91522,1.878,-1.2255760334513544,7958852838.93395,1.11,0.642,2.45,4.699,1.808,-1.2107375245228007,7533788133.55753,1.194,0.384,1.9,4.704,1.516,-1.1962540281157688,7166275467.65161,0.902,0.038,2.671,5.58478,2.633,-1.246610376424927,11771975156.8073
2004-01-01,0.902,0.038,2.671,5.58478,2.633,-1.246610376424927,11771975156.8073,0.993,0.49,2.7,5.0766,2.21,-1.2312613447404832,9557031605.27512,0.99,0.457,2.3,5.01854,1.843,-1.2162856892076588,8362398701.58943,0.992,0.322,2.2,4.91522,1.878,-1.2255760334513544,7958852838.93395,1.11,0.642,2.45,4.699,1.808,-1.2107375245228007,7533788133.55753,0.885,0.636,2.733,5.78042,2.097,-1.2623469241680874,14435700533.368
2005-01-01,0.885,0.636,2.733,5.78042,2.097,-1.2623469241680874,14435700533.368,0.902,0.038,2.671,5.58478,2.633,-1.246610376424927,11771975156.8073,0.993,0.49,2.7,5.0766,2.21,-1.2312613447404832,9557031605.27512,0.99,0.457,2.3,5.01854,1.843,-1.2162856892076588,8362398701.58943,0.992,0.322,2.2,4.91522,1.878,-1.2255760334513544,7958852838.93395,0.836,0.707,2.855,6.09548,2.148,-1.2784858509839068,17003459863.0989
2006-01-01,0.836,0.707,2.855,6.09548,2.148,-1.2784858509839068,17003459863.0989,0.885,0.636,2.733,5.78042,2.097,-1.2623469241680874,14435700533.368,0.902,0.038,2.671,5.58478,2.633,-1.246610376424927,11771975156.8073,0.993,0.49,2.7,5.0766,2.21,-1.2312613447404832,9557031605.27512,0.99,0.457,2.3,5.01854,1.843,-1.2162856892076588,8362398701.58943,0.818,0.302,2.81,6.4277,2.508,-1.2950427898158905,21570076498.6205
