,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.918,0.685,1.262,1.8370244803674187,0.0715367896249156,13690217333.2697,1.086,0.31,1.22,1.8714026043352912,0.0712562454119356,11718795528.4939,0.829,0.1,1.22,1.9070919731886,0.0709675170372514,9599127049.9375,0.52,0.09,1.22,1.944169065379684,0.0706702410717462,7941744492.1211,0.4,0.11,1.22,1.944169065379684,0.0703640322449013,5843579160.90122,1.123,0.608,1.309,1.8038866411710175,0.0718094927900424,15751867489.4446
1998-01-01,1.123,0.608,1.309,1.8038866411710175,0.0718094927900424,15751867489.4446,0.918,0.685,1.262,1.8370244803674187,0.0715367896249156,13690217333.2697,1.086,0.31,1.22,1.8714026043352912,0.0712562454119356,11718795528.4939,0.829,0.1,1.22,1.9070919731886,0.0709675170372514,9599127049.9375,0.52,0.09,1.22,1.944169065379684,0.0706702410717462,7941744492.1211,1.35,1.054,1.344,1.7719231560669222,0.0720746791058377,17247179005.5219
1999-01-01,1.35,1.054,1.344,1.7719231560669222,0.0720746791058377,17247179005.5219,1.123,0.608,1.309,1.8038866411710175,0.0718094927900424,15751867489.4446,0.918,0.685,1.262,1.8370244803674187,0.0715367896249156,13690217333.2697,1.086,0.31,1.22,1.8714026043352912,0.0712562454119356,11718795528.4939,0.829,0.1,1.22,1.9070919731886,0.0709675170372514,9599127049.9375,1.43,1.25,2.2925,1.7410726859800736,0.0723326551412389,17391056369.2265
2000-01-01,1.43,1.25,2.2925,1.7410726859800736,0.0723326551412389,17391056369.2265,1.35,1.054,1.344,1.7719231560669222,0.0720746791058377,17247179005.5219,1.123,0.608,1.309,1.8038866411710175,0.0718094927900424,15751867489.4446,0.918,0.685,1.262,1.8370244803674187,0.0715367896249156,13690217333.2697,1.086,0.31,1.22,1.8714026043352912,0.0712562454119356,11718795528.4939,1.385,1.4,2.2925,1.7112780905641116,0.0725837110178749,17260364842.4544
2001-01-01,1.385,1.4,2.2925,1.7112780905641116,0.0725837110178749,17260364842.4544,1.43,1.25,2.2925,1.7410726859800736,0.0723326551412389,17391056369.2265,1.35,1.054,1.344,1.7719231560669222,0.0720746791058377,17247179005.5219,1.123,0.608,1.309,1.8038866411710175,0.0718094927900424,15751867489.4446,0.918,0.685,1.262,1.8370244803674187,0.0715367896249156,13690217333.2697,1.416,1.1,2.294,1.5626335160376583,0.0727431274437601,17649751243.7811
2002-01-01,1.416,1.1,2.294,1.5626335160376583,0.0727431274437601,17649751243.7811,1.385,1.4,2.2925,1.7112780905641116,0.0725837110178749,17260364842.4544,1.43,1.25,2.2925,1.7410726859800736,0.0723326551412389,17391056369.2265,1.35,1.054,1.344,1.7719231560669222,0.0720746791058377,17247179005.5219,1.123,0.608,1.309,1.8038866411710175,0.0718094927900424,15751867489.4446,1.529,0.9,2.531,1.538590977744689,0.0728983828411806,19152238805.9701
2003-01-01,1.529,0.9,2.531,1.538590977744689,0.0728983828411806,19152238805.9701,1.416,1.1,2.294,1.5626335160376583,0.0727431274437601,17649751243.7811,1.385,1.4,2.2925,1.7112780905641116,0.0725837110178749,17260364842.4544,1.43,1.25,2.2925,1.7410726859800736,0.0723326551412389,17391056369.2265,1.35,1.054,1.344,1.7719231560669222,0.0720746791058377,17247179005.5219,1.582,0.532,2.663,1.5152770615872928,0.0730496380257953,20082918739.6352
2004-01-01,1.582,0.532,2.663,1.5152770615872928,0.0730496380257953,20082918739.6352,1.529,0.9,2.531,1.538590977744689,0.0728983828411806,19152238805.9701,1.416,1.1,2.294,1.5626335160376583,0.0727431274437601,17649751243.7811,1.385,1.4,2.2925,1.7112780905641116,0.0725837110178749,17260364842.4544,1.43,1.25,2.2925,1.7410726859800736,0.0723326551412389,17391056369.2265,1.561,0.216,2.663,1.4926591400307003,0.0731970456317133,21159827992.0602
2005-01-01,1.561,0.216,2.663,1.4926591400307003,0.0731970456317133,21159827992.0602,1.582,0.532,2.663,1.5152770615872928,0.0730496380257953,20082918739.6352,1.529,0.9,2.531,1.538590977744689,0.0728983828411806,19152238805.9701,1.416,1.1,2.294,1.5626335160376583,0.0727431274437601,17649751243.7811,1.385,1.4,2.2925,1.7112780905641116,0.0725837110178749,17260364842.4544,1.587,0.455,2.32,1.4707065049613686,0.0733407506252585,21497336498.9462
2006-01-01,1.587,0.455,2.32,1.4707065049613686,0.0733407506252585,21497336498.9462,1.561,0.216,2.663,1.4926591400307003,0.0731970456317133,21159827992.0602,1.582,0.532,2.663,1.5152770615872928,0.0730496380257953,20082918739.6352,1.529,0.9,2.531,1.538590977744689,0.0728983828411806,19152238805.9701,1.416,1.1,2.294,1.5626335160376583,0.0727431274437601,17649751243.7811,1.532,0.929,2.314,1.4493902285872613,0.0734808907804993,22022709851.5526
2007-01-01,1.532,0.929,2.314,1.4493902285872613,0.0734808907804993,22022709851.5526,1.587,0.455,2.32,1.4707065049613686,0.0733407506252585,21497336498.9462,1.561,0.216,2.663,1.4926591400307003,0.0731970456317133,21159827992.0602,1.582,0.532,2.663,1.5152770615872928,0.0730496380257953,20082918739.6352,1.529,0.9,2.531,1.538590977744689,0.0728983828411806,19152238805.9701,1.582,0.972,2.314,1.4286830362621932,0.0736175971198235,24827355014.6449
2008-01-01,1.582,0.972,2.314,1.4286830362621932,0.0736175971198235,24827355014.6449,1.532,0.929,2.314,1.4493902285872613,0.0734808907804993,22022709851.5526,1.587,0.455,2.32,1.4707065049613686,0.0733407506252585,21497336498.9462,1.561,0.216,2.663,1.4926591400307003,0.0731970456317133,21159827992.0602,1.582,0.532,2.663,1.5152770615872928,0.0730496380257953,20082918739.6352,1.678,0.561,2.314,1.4085591900581402,0.0737509943225191,29118916105.6182
