,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.0,0.0,0.241,0.0,0.241,0.0,60.58058309998353,1.085597030784738,831033941.093969
1993-01-01,0.0,0.0,0.281,0.0,0.281,0.0,61.23824411134903,1.085597030784738,835592802.276831
1994-01-01,0.0,0.0,0.31,0.0,0.31,0.0,61.895905122714545,1.0739383875371895,878250450.602681
1995-01-01,0.0,0.0,0.324,0.0,0.324,0.0,62.55356613408005,1.0625274968701628,1001889856.91048
1996-01-01,0.0,0.0,0.335,0.0,0.335,0.0,63.21122714544556,1.051356544494762,946123275.88212
1997-01-01,0.0,0.0,0.318,0.075,0.318,0.0,63.868888156811074,1.0404180413271644,997996028.645833
1998-01-01,0.0,0.0,0.209,0.0757,0.209,0.0,64.52654916817657,1.0297048067453607,928458205.958432
1999-01-01,0.01365,0.0,0.055,0.0757,0.23635,0.195,65.18421017954208,1.0192099528698448,912771290.61298
2000-01-01,0.0,0.0126,0.012,0.0757,0.2874,0.288,65.8418711909076,1.0089268697957088,887295267.875155
2001-01-01,0.0,0.0232,0.04,0.0757,0.3018,0.285,65.92132103442596,0.1206676573452791,825706961.238689
2002-01-01,0.0,0.0353,0.016,0.076,0.2947,0.314,66.00077087794432,0.1205222259985863,775780697.676625
2003-01-01,0.0,0.0403,0.038,0.076,0.3227,0.325,66.0802207214627,0.1203771447841106,1157832934.55127
2004-01-01,0.0,0.0061,0.025,0.0757,0.3159,0.297,66.15967056498106,0.1202324124388999,1511236655.52047
2005-01-01,0.0,0.0223,0.013,0.076,0.4497,0.459,66.23912040849942,0.1200880277061385,1682350934.85132
2006-01-01,0.0,0.0112,0.04,0.076,0.5538,0.525,66.31857025201779,0.1199439893349941,1800105589.60349
2007-01-01,0.0,0.0085,0.05,0.08,0.5955,0.554,66.39802009553615,0.1198002960806398,1682016947.22798
2008-01-01,0.0,0.0038,0.05,0.08,0.6302,0.584,66.47746993905453,0.1196569467042187,1766825412.77296
2009-01-01,0.0,0.0017,0.124,0.08,0.7703,0.648,66.55691978257289,0.1195139399727498,1740830510.87482
2010-01-01,0.0,0.0055,0.201,0.08,0.8895,0.694,66.63636962609125,0.1193712746592089,2234731973.55119
2011-01-01,0.0,0.0392,0.26,0.08,0.7108,0.49,67.26739581617527,0.946969640790472,2579421686.24912
2012-01-01,0.0,0.021,0.31,0.08,0.775,0.486,67.89842200625927,0.9380862488098128,2477702252.80078
2013-01-01,0.0,0.0022,0.285,0.0804,0.7978,0.515,68.52944819634327,0.9293679756295782,2367113170.00373
2014-01-01,0.0,0.00292,0.271,0.0804,0.78908,0.521,69.16047438642728,0.9208102599572467,2441053175.70743
2015-01-01,0.0,0.0044,0.261,0.0804,0.78979,0.53319,69.79150057651128,0.9124087069706948,2359759799.04224
2016-01-01,0.0,0.0026,0.373,0.0809,0.893428,0.523028,70.68478998517541,1.279940109161052,2114323793.98266
2017-01-01,0.116,0.0008,0.387,0.0809,0.809874,0.539674,71.57807939383957,1.2637646781598957,2306843528.52853
2018-01-01,0.115,0.0029,0.4,0.0809,0.821774,0.539674,72.4713688025037,1.247992983646634,2514146887.91664
2019-01-01,0.1299,0.00093,0.5417,0.0809,0.91187,0.501,73.36465821116785,1.2326100961312176,2366213068.57507
2020-01-01,0.13,0.0,0.5417,0.0739,0.9127,0.501,74.257947619832,1.2176018132503954,1875227642.47384
2021-01-01,0.129993997,0.0,0.5310181,0.0739,0.902244103,0.50122,75.10994893757207,1.1473537110154828,1875227642.47384
