,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,1.778,8.0,3.5,4.949,8.37,56.26525267993875,-0.5042594364837836,8382519637.46224,2.008,7.0,5.27,4.949,8.419,56.5504134762634,-0.5017294185451544,7867140395.33705,1.981,6.0,7.2,4.949,8.381,56.835574272588055,-0.499224661553508,7867140395.33705,2.204,8.46,5.736,4.947,9.021,57.12073506891271,-0.4967447890615308,7867140395.33705,1.686,10.641,5.338,5.577,10.656,57.40589586523737,-0.4967447890615308,7867140395.33705,1.585,7.55,4.525,4.949,8.302,55.98009188361409,-0.5068150994482762,10118631851.5322
1998-01-01,1.585,7.55,4.525,4.949,8.302,55.98009188361409,-0.5068150994482762,10118631851.5322,1.778,8.0,3.5,4.949,8.37,56.26525267993875,-0.5042594364837836,8382519637.46224,2.008,7.0,5.27,4.949,8.419,56.5504134762634,-0.5017294185451544,7867140395.33705,1.981,6.0,7.2,4.949,8.381,56.835574272588055,-0.499224661553508,7867140395.33705,2.204,8.46,5.736,4.947,9.021,57.12073506891271,-0.4967447890615308,7867140395.33705,1.519,6.466,0.45,4.949,8.569,55.69493108728943,-0.509396799343455,11239547690.9797
1999-01-01,1.519,6.466,0.45,4.949,8.569,55.69493108728943,-0.509396799343455,11239547690.9797,1.585,7.55,4.525,4.949,8.302,55.98009188361409,-0.5068150994482762,10118631851.5322,1.778,8.0,3.5,4.949,8.37,56.26525267993875,-0.5042594364837836,8382519637.46224,2.008,7.0,5.27,4.949,8.419,56.5504134762634,-0.5017294185451544,7867140395.33705,1.981,6.0,7.2,4.949,8.381,56.835574272588055,-0.499224661553508,7867140395.33705,1.33,3.31,0.62,4.948,8.234,55.40977029096478,-0.5120049361004311,10971583944.7561
2000-01-01,1.33,3.31,0.62,4.948,8.234,55.40977029096478,-0.5120049361004311,10971583944.7561,1.519,6.466,0.45,4.949,8.569,55.69493108728943,-0.509396799343455,11239547690.9797,1.585,7.55,4.525,4.949,8.302,55.98009188361409,-0.5068150994482762,10118631851.5322,1.778,8.0,3.5,4.949,8.37,56.26525267993875,-0.5042594364837836,8382519637.46224,2.008,7.0,5.27,4.949,8.419,56.5504134762634,-0.5017294185451544,7867140395.33705,1.281,1.0,0.2,4.943,8.26574,55.124609494640126,-0.514639917883136,11524776866.6379
2001-01-01,1.281,1.0,0.2,4.943,8.26574,55.124609494640126,-0.514639917883136,11524776866.6379,1.33,3.31,0.62,4.948,8.234,55.40977029096478,-0.5120049361004311,10971583944.7561,1.519,6.466,0.45,4.949,8.569,55.69493108728943,-0.509396799343455,11239547690.9797,1.585,7.55,4.525,4.949,8.302,55.98009188361409,-0.5068150994482762,10118631851.5322,1.778,8.0,3.5,4.949,8.37,56.26525267993875,-0.5042594364837836,8382519637.46224,1.416,4.2,0.2,4.951,8.00776,54.41922205206738,-1.279623473144648,12237388001.7264
2002-01-01,1.416,4.2,0.2,4.951,8.00776,54.41922205206738,-1.279623473144648,12237388001.7264,1.281,1.0,0.2,4.943,8.26574,55.124609494640126,-0.514639917883136,11524776866.6379,1.33,3.31,0.62,4.948,8.234,55.40977029096478,-0.5120049361004311,10971583944.7561,1.519,6.466,0.45,4.949,8.569,55.69493108728943,-0.509396799343455,11239547690.9797,1.585,7.55,4.525,4.949,8.302,55.98009188361409,-0.5068150994482762,10118631851.5322,1.426,11.018,4.53,5.703,8.21864,53.71383460949464,-1.296210081610213,14259781159.0119
2003-01-01,1.426,11.018,4.53,5.703,8.21864,53.71383460949464,-1.296210081610213,14259781159.0119,1.416,4.2,0.2,4.951,8.00776,54.41922205206738,-1.279623473144648,12237388001.7264,1.281,1.0,0.2,4.943,8.26574,55.124609494640126,-0.514639917883136,11524776866.6379,1.33,3.31,0.62,4.948,8.234,55.40977029096478,-0.5120049361004311,10971583944.7561,1.519,6.466,0.45,4.949,8.569,55.69493108728943,-0.509396799343455,11239547690.9797,1.413,11.674,4.144,5.712,8.5413,53.0084471669219,-1.3132323314858845,18781721376.1985
2004-01-01,1.413,11.674,4.144,5.712,8.5413,53.0084471669219,-1.3132323314858845,18781721376.1985,1.426,11.018,4.53,5.703,8.21864,53.71383460949464,-1.296210081610213,14259781159.0119,1.416,4.2,0.2,4.951,8.00776,54.41922205206738,-1.279623473144648,12237388001.7264,1.281,1.0,0.2,4.943,8.26574,55.124609494640126,-0.514639917883136,11524776866.6379,1.33,3.31,0.62,4.948,8.234,55.40977029096478,-0.5120049361004311,10971583944.7561,1.283,11.488,4.293,5.716,8.96488,52.303059724349154,-1.3307076141119605,22627507451.5648
2005-01-01,1.283,11.488,4.293,5.716,8.96488,52.303059724349154,-1.3307076141119605,22627507451.5648,1.413,11.674,4.144,5.712,8.5413,53.0084471669219,-1.3132323314858845,18781721376.1985,1.426,11.018,4.53,5.703,8.21864,53.71383460949464,-1.296210081610213,14259781159.0119,1.416,4.2,0.2,4.951,8.00776,54.41922205206738,-1.279623473144648,12237388001.7264,1.281,1.0,0.2,4.943,8.26574,55.124609494640126,-0.514639917883136,11524776866.6379,1.229,8.607,5.641,4.538,8.874113,51.59767228177642,-1.3486542590248356,26097677571.8373
2006-01-01,1.229,8.607,5.641,4.538,8.874113,51.59767228177642,-1.3486542590248356,26097677571.8373,1.283,11.488,4.293,5.716,8.96488,52.303059724349154,-1.3307076141119605,22627507451.5648,1.413,11.674,4.144,5.712,8.5413,53.0084471669219,-1.3132323314858845,18781721376.1985,1.426,11.018,4.53,5.703,8.21864,53.71383460949464,-1.296210081610213,14259781159.0119,1.416,4.2,0.2,4.951,8.00776,54.41922205206738,-1.279623473144648,12237388001.7264,1.089,6.24,5.812,4.579,9.32336,50.89228483920368,-1.3670915980872094,30183575103.5262
