,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,0.1436960534645844,1.2477637607461007,6.836931700456319,1.9260525277643863,5.589167939710219,246.81476358243344,1.757765987471295,72527385209.46562
2023-01-01,0.1268475160489472,1.1316750325854366,6.764256409630696,1.860444647607812,5.63258137704526,247.6234323098575,1.736698806731614,73624753531.76678
2024-01-01,0.12810444940902793,1.3608643779902125,6.735800348787718,1.8978368499448166,5.3749359707975035,244.93313982590377,2.0596147168891057,76417892066.54892
2025-01-01,0.1463078275027624,1.1850930733395955,6.876853168443159,1.7679717358425875,5.69176009510356,240.83582478615256,2.104684671740025,76778714081.3583
2026-01-01,0.15277302584930658,1.1887782411162369,7.208018159535676,1.7199351554741893,6.019239918419441,241.05103016942766,1.8949063119628882,72168912241.73236
2027-01-01,0.1591001798926842,1.396352283966287,7.020113257669895,1.8756538852155695,5.623760973703608,253.2878849544013,1.7773690039096661,77411914824.79642
2028-01-01,0.1516021409563556,1.1333856221791492,6.732654456028026,1.9285472358518496,5.599268833848873,255.6876532348278,1.8653985331697913,81162093071.21681
2029-01-01,0.14817039428523263,1.22591285142947,6.731865997132292,1.966919041250273,5.505953145702819,254.54559601841441,2.0427825994191284,82796692873.96973
2030-01-01,0.1641464785996547,1.0273512408138863,6.774789826677551,1.8443590420259564,5.747438585863661,252.60181690704735,2.0305172013328727,82428000960.44644
2031-01-01,0.16550356961729734,1.163862977269829,7.078926753377175,1.8207955320464124,5.9150637761073455,254.3067143101773,1.947350924063957,80528677422.303
