,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.1,0.81,5.71,1.259,4.9,160.0477958236659,1.330917682199053,20895314657.9805,0.136,0.743,5.746,1.245,5.003,157.94566898685227,1.3488700319643503,20853093869.7318,0.096,0.555,5.04,1.234,4.485,155.84354215003867,1.3673133114657865,17701798890.7644,0.097,0.394,4.445,1.234,4.051,153.74141531322505,1.3862679375078992,15925521222.0149,0.106,0.533,4.492,1.234,3.959,151.63928847641145,1.3862679375078992,15518702634.8808,0.098,0.846,6.032,1.264,5.186,162.14992266047952,1.3134369180127057,19563836265.2233
1998-01-01,0.098,0.846,6.032,1.264,5.186,162.14992266047952,1.3134369180127057,19563836265.2233,0.1,0.81,5.71,1.259,4.9,160.0477958236659,1.330917682199053,20895314657.9805,0.136,0.743,5.746,1.245,5.003,157.94566898685227,1.3488700319643503,20853093869.7318,0.096,0.555,5.04,1.234,4.485,155.84354215003867,1.3673133114657865,17701798890.7644,0.097,0.394,4.445,1.234,4.051,153.74141531322505,1.3862679375078992,15925521222.0149,0.143,0.924,6.338,1.189,5.414,164.25204949729311,1.2964093983659668,20150053345.1878
1999-01-01,0.143,0.924,6.338,1.189,5.414,164.25204949729311,1.2964093983659668,20150053345.1878,0.098,0.846,6.032,1.264,5.186,162.14992266047952,1.3134369180127057,19563836265.2233,0.1,0.81,5.71,1.259,4.9,160.0477958236659,1.330917682199053,20895314657.9805,0.136,0.743,5.746,1.245,5.003,157.94566898685227,1.3488700319643503,20853093869.7318,0.096,0.555,5.04,1.234,4.485,155.84354215003867,1.3673133114657865,17701798890.7644,0.126,0.655,6.212,1.202,5.557,166.35417633410674,1.2798177211470767,21891923076.9231
2000-01-01,0.126,0.655,6.212,1.202,5.557,166.35417633410674,1.2798177211470767,21891923076.9231,0.143,0.924,6.338,1.189,5.414,164.25204949729311,1.2964093983659668,20150053345.1878,0.098,0.846,6.032,1.264,5.186,162.14992266047952,1.3134369180127057,19563836265.2233,0.1,0.81,5.71,1.259,4.9,160.0477958236659,1.330917682199053,20895314657.9805,0.136,0.743,5.746,1.245,5.003,157.94566898685227,1.3488700319643503,20853093869.7318,0.041,0.735,6.457,1.231,5.722,168.45630317092034,1.263645363848082,21177470978.4411
2001-01-01,0.041,0.735,6.457,1.231,5.722,168.45630317092034,1.263645363848082,21177470978.4411,0.126,0.655,6.212,1.202,5.557,166.35417633410674,1.2798177211470767,21891923076.9231,0.143,0.924,6.338,1.189,5.414,164.25204949729311,1.2964093983659668,20150053345.1878,0.098,0.846,6.032,1.264,5.186,162.14992266047952,1.3134369180127057,19563836265.2233,0.1,0.81,5.71,1.259,4.9,160.0477958236659,1.330917682199053,20895314657.9805,0.041,0.744,6.39,1.248,5.646,171.21894818252127,1.6399772282773402,21369028187.9195
2002-01-01,0.041,0.744,6.39,1.248,5.646,171.21894818252127,1.6399772282773402,21369028187.9195,0.041,0.735,6.457,1.231,5.722,168.45630317092034,1.263645363848082,21177470978.4411,0.126,0.655,6.212,1.202,5.557,166.35417633410674,1.2798177211470767,21891923076.9231,0.143,0.924,6.338,1.189,5.414,164.25204949729311,1.2964093983659668,20150053345.1878,0.098,0.846,6.032,1.264,5.186,162.14992266047952,1.3134369180127057,19563836265.2233,0.041,2.939,6.377,1.638,3.438,173.9815931941222,1.6135159343789,23537637869.377
2003-01-01,0.041,2.939,6.377,1.638,3.438,173.9815931941222,1.6135159343789,23537637869.377,0.041,0.744,6.39,1.248,5.646,171.21894818252127,1.6399772282773402,21369028187.9195,0.041,0.735,6.457,1.231,5.722,168.45630317092034,1.263645363848082,21177470978.4411,0.126,0.655,6.212,1.202,5.557,166.35417633410674,1.2798177211470767,21891923076.9231,0.143,0.924,6.338,1.189,5.414,164.25204949729311,1.2964093983659668,20150053345.1878,0.041,2.777,6.481,1.665,3.704,176.74423820572312,1.5878949956036177,29601904063.2054
2004-01-01,0.041,2.777,6.481,1.665,3.704,176.74423820572312,1.5878949956036177,29601904063.2054,0.041,2.939,6.377,1.638,3.438,173.9815931941222,1.6135159343789,23537637869.377,0.041,0.744,6.39,1.248,5.646,171.21894818252127,1.6399772282773402,21369028187.9195,0.041,0.735,6.457,1.231,5.722,168.45630317092034,1.263645363848082,21177470978.4411,0.126,0.655,6.212,1.202,5.557,166.35417633410674,1.2798177211470767,21891923076.9231,0.039,3.132,6.506,1.694,3.374,179.50688321732406,1.5630750058088605,35000480506.5806
2005-01-01,0.039,3.132,6.506,1.694,3.374,179.50688321732406,1.5630750058088605,35000480506.5806,0.041,2.777,6.481,1.665,3.704,176.74423820572312,1.5878949956036177,29601904063.2054,0.041,2.939,6.377,1.638,3.438,173.9815931941222,1.6135159343789,23537637869.377,0.041,0.744,6.39,1.248,5.646,171.21894818252127,1.6399772282773402,21369028187.9195,0.041,0.735,6.457,1.231,5.722,168.45630317092034,1.263645363848082,21177470978.4411,0.116,3.131,6.392,1.695,3.261,182.26952822892497,1.5390189847239863,37658234050.4912
2006-01-01,0.116,3.131,6.392,1.695,3.261,182.26952822892497,1.5390189847239863,37658234050.4912,0.039,3.132,6.506,1.694,3.374,179.50688321732406,1.5630750058088605,35000480506.5806,0.041,2.777,6.481,1.665,3.704,176.74423820572312,1.5878949956036177,29601904063.2054,0.041,2.939,6.377,1.638,3.438,173.9815931941222,1.6135159343789,23537637869.377,0.041,0.744,6.39,1.248,5.646,171.21894818252127,1.6399772282773402,21369028187.9195,0.114,3.267,6.824,1.698,3.557,185.0321732405259,1.5156921941067047,42874225316.7733
