,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1992-01-01,0.0406,3.3990904957982613,3714967007.18602
1993-01-01,0.04067,3.3990904957982613,4063298919.2868
1994-01-01,0.04088,3.2873504781324954,3522226902.75861
1995-01-01,0.04263,3.182723211424111,3838101052.21232
1996-01-01,0.04648,3.0845505064860785,4931861239.07864
1997-01-01,0.04865,2.992252952872893,4262965281.5836
1998-01-01,0.0525,2.9053184750139147,4401967499.25594
1999-01-01,0.05439,2.8232928269099693,4277903780.29131
2000-01-01,0.033,2.745771652793328,4629247090.97816
2001-01-01,0.038,3.400638525209396,5438332738.10373
2002-01-01,0.039,3.28879838046678,5351701534.15801
2003-01-01,0.045,3.1840803959713364,6372498719.84613
2004-01-01,0.046,3.085825239467495,5064732715.72615
2005-01-01,0.047,2.993452525892041,5859269849.14523
2006-01-01,0.045,2.9064493445731436,6395712392.23682
2007-01-01,0.053,2.8243607306293845,8524620739.24074
2008-01-01,0.05,2.746781706747904,10725137930.8518
2009-01-01,0.062,2.6733506014694868,9616879571.44509
2010-01-01,0.069,2.603743411322183,9982711338.11125
2011-01-01,0.077,2.871337159777765,11551819617.6416
2012-01-01,0.084,2.7911926091891464,11578974887.9668
2013-01-01,0.094,2.7154005497350435,12423555269.3948
2014-01-01,0.097,2.643615791986574,12522957228.1618
2015-01-01,0.103,2.575528708326117,11323020828.5844
2016-01-01,0.108,2.715606574116878,11848613735.1908
2017-01-01,0.110485,2.643811066974878,13176313593.5418
2018-01-01,0.104321,2.575714053767739,13760033096.5122
2019-01-01,0.131024,2.51103692285058,14104664514.87
2020-01-01,0.113898,2.449528361263555,13056079982.3887
2021-01-01,0.137314403,2.456206031940916,13056079982.3887
