,Electricity: Distribution Losses_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1997-01-01,0.04648,3.0845505064860785,4931861239.07864,0.04263,3.182723211424111,3838101052.21232,0.04088,3.2873504781324954,3522226902.75861,0.04067,3.3990904957982613,4063298919.2868,0.0406,3.3990904957982613,3714967007.18602,0.04865,2.992252952872893,4262965281.5836
1998-01-01,0.04865,2.992252952872893,4262965281.5836,0.04648,3.0845505064860785,4931861239.07864,0.04263,3.182723211424111,3838101052.21232,0.04088,3.2873504781324954,3522226902.75861,0.04067,3.3990904957982613,4063298919.2868,0.0525,2.9053184750139147,4401967499.25594
1999-01-01,0.0525,2.9053184750139147,4401967499.25594,0.04865,2.992252952872893,4262965281.5836,0.04648,3.0845505064860785,4931861239.07864,0.04263,3.182723211424111,3838101052.21232,0.04088,3.2873504781324954,3522226902.75861,0.05439,2.8232928269099693,4277903780.29131
2000-01-01,0.05439,2.8232928269099693,4277903780.29131,0.0525,2.9053184750139147,4401967499.25594,0.04865,2.992252952872893,4262965281.5836,0.04648,3.0845505064860785,4931861239.07864,0.04263,3.182723211424111,3838101052.21232,0.033,2.745771652793328,4629247090.97816
2001-01-01,0.033,2.745771652793328,4629247090.97816,0.05439,2.8232928269099693,4277903780.29131,0.0525,2.9053184750139147,4401967499.25594,0.04865,2.992252952872893,4262965281.5836,0.04648,3.0845505064860785,4931861239.07864,0.038,3.400638525209396,5438332738.10373
2002-01-01,0.038,3.400638525209396,5438332738.10373,0.033,2.745771652793328,4629247090.97816,0.05439,2.8232928269099693,4277903780.29131,0.0525,2.9053184750139147,4401967499.25594,0.04865,2.992252952872893,4262965281.5836,0.039,3.28879838046678,5351701534.15801
2003-01-01,0.039,3.28879838046678,5351701534.15801,0.038,3.400638525209396,5438332738.10373,0.033,2.745771652793328,4629247090.97816,0.05439,2.8232928269099693,4277903780.29131,0.0525,2.9053184750139147,4401967499.25594,0.045,3.1840803959713364,6372498719.84613
2004-01-01,0.045,3.1840803959713364,6372498719.84613,0.039,3.28879838046678,5351701534.15801,0.038,3.400638525209396,5438332738.10373,0.033,2.745771652793328,4629247090.97816,0.05439,2.8232928269099693,4277903780.29131,0.046,3.085825239467495,5064732715.72615
2005-01-01,0.046,3.085825239467495,5064732715.72615,0.045,3.1840803959713364,6372498719.84613,0.039,3.28879838046678,5351701534.15801,0.038,3.400638525209396,5438332738.10373,0.033,2.745771652793328,4629247090.97816,0.047,2.993452525892041,5859269849.14523
2006-01-01,0.047,2.993452525892041,5859269849.14523,0.046,3.085825239467495,5064732715.72615,0.045,3.1840803959713364,6372498719.84613,0.039,3.28879838046678,5351701534.15801,0.038,3.400638525209396,5438332738.10373,0.045,2.9064493445731436,6395712392.23682
2007-01-01,0.045,2.9064493445731436,6395712392.23682,0.047,2.993452525892041,5859269849.14523,0.046,3.085825239467495,5064732715.72615,0.045,3.1840803959713364,6372498719.84613,0.039,3.28879838046678,5351701534.15801,0.053,2.8243607306293845,8524620739.24074
2008-01-01,0.053,2.8243607306293845,8524620739.24074,0.045,2.9064493445731436,6395712392.23682,0.047,2.993452525892041,5859269849.14523,0.046,3.085825239467495,5064732715.72615,0.045,3.1840803959713364,6372498719.84613,0.05,2.746781706747904,10725137930.8518
2009-01-01,0.05,2.746781706747904,10725137930.8518,0.053,2.8243607306293845,8524620739.24074,0.045,2.9064493445731436,6395712392.23682,0.047,2.993452525892041,5859269849.14523,0.046,3.085825239467495,5064732715.72615,0.062,2.6733506014694868,9616879571.44509
2010-01-01,0.062,2.6733506014694868,9616879571.44509,0.05,2.746781706747904,10725137930.8518,0.053,2.8243607306293845,8524620739.24074,0.045,2.9064493445731436,6395712392.23682,0.047,2.993452525892041,5859269849.14523,0.069,2.603743411322183,9982711338.11125
2011-01-01,0.069,2.603743411322183,9982711338.11125,0.062,2.6733506014694868,9616879571.44509,0.05,2.746781706747904,10725137930.8518,0.053,2.8243607306293845,8524620739.24074,0.045,2.9064493445731436,6395712392.23682,0.077,2.871337159777765,11551819617.6416
2012-01-01,0.077,2.871337159777765,11551819617.6416,0.069,2.603743411322183,9982711338.11125,0.062,2.6733506014694868,9616879571.44509,0.05,2.746781706747904,10725137930.8518,0.053,2.8243607306293845,8524620739.24074,0.084,2.7911926091891464,11578974887.9668
2013-01-01,0.084,2.7911926091891464,11578974887.9668,0.077,2.871337159777765,11551819617.6416,0.069,2.603743411322183,9982711338.11125,0.062,2.6733506014694868,9616879571.44509,0.05,2.746781706747904,10725137930.8518,0.094,2.7154005497350435,12423555269.3948
