,Electricity: Distribution Losses,Electricity: Exports,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
1992-01-01,0.05481,0.0,0.72819,1.7106588563827927,1799517081.56412
1993-01-01,0.06671,0.0,0.88629,1.7106588563827927,2070636935.58644
1994-01-01,0.07,0.0,0.93,1.6818874989280048,1181802596.03498
1995-01-01,0.07126,0.0,0.94674,1.654067937070619,1397457932.30697
1996-01-01,0.07119,0.0,0.94581,1.6271537092785868,2281034131.36493
1997-01-01,0.07315,0.0,0.97185,1.601101329604634,2663234933.89767
1998-01-01,0.08288,0.0,1.10112,1.5758700532295171,1750584265.28754
1999-01-01,0.08099,0.0,1.07601,1.551421663829924,1775921718.10534
2000-01-01,0.116,0.0033,1.1217,1.5277202804364918,1743506531.32652
2001-01-01,0.118,0.006,1.145,3.107057402153831,1716502862.2954
2002-01-01,0.123,0.0065,1.2025,3.0134284504262525,3495748397.63025
2003-01-01,0.126,0.0067,1.2183,2.925277311662743,3208837077.25069
2004-01-01,0.139,0.0075,1.3425,2.8421369250284956,3476094498.87517
2005-01-01,0.146,0.01,1.364,2.7635918603095555,3655909664.1423
2006-01-01,0.149,0.0109,1.3941,2.689271375475286,3998020176.67364
2007-01-01,0.152,0.0169,1.4161,2.618843565110298,4432937045.79897
2008-01-01,0.169,0.0199,1.5411,2.5520104048421444,5321012192.33619
2009-01-01,0.184,0.0163,1.5137,2.4885035356865584,6191127665.1963
2010-01-01,0.1726,0.02066,1.75774,2.428080662549688,6959655570.89098
2011-01-01,0.18455,0.01908,1.80537,3.017334331085221,8004000737.30717
2012-01-01,0.433,0.0211,1.6319,2.9289578794456808,6028487928.83351
2013-01-01,0.37568,0.02382,1.694759,2.845611128091074,5518880768.57955
2014-01-01,0.31479,0.02362,1.86529,2.766876580223683,6047813437.31804
2015-01-01,0.39417,0.02185,1.788581,2.6923817014753344,6373212640.84604
2016-01-01,0.2477,0.02443,1.920596,2.8787146210194283,5433040159.88747
2017-01-01,0.45941,0.02043,1.607135,2.7981634798062203,8943543677.18899
2018-01-01,0.3886,0.0193,1.227574,2.721997538755518,9880675785.93057
2019-01-01,0.434,0.0199,1.242478,2.649868191794624,11025357837.607
2020-01-01,0.46,0.0191,1.2309,2.5814628293954716,12182348212.7073
2021-01-01,0.46,0.0,0.964462345,2.6532816302740647,12182348212.7073
