,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
1992-01-01,1.741,0.175,0.159,59167550162.956
1993-01-01,4.181,0.104,0.128,66894837030.4184
1994-01-01,3.091,0.05,0.101,74478356957.7808
1995-01-01,3.911,0.04,0.151,88705342902.7113
1996-01-01,5.174,0.14,0.128,100855393910.486
1997-01-01,3.959,0.075,0.081,100005323301.867
1998-01-01,4.857,0.026,0.001,72167498980.8398
1999-01-01,5.219,0.075,0.001,79148421052.6316
2000-01-01,5.54,0.025,0.001,93789736842.1053
2001-01-01,5.687,0.09,0.002,92783947368.4211
2002-01-01,5.94,0.07,0.004,100845526315.789
2003-01-01,6.278,0.1,0.0,110202368421.053
2004-01-01,6.583,0.05,0.098,124749473684.211
2005-01-01,6.614,2.233,0.002,143534102611.497
2006-01-01,7.187,2.324,0.004,162691238209.476
2007-01-01,7.801,2.265,0.003,193547824063.3
2008-01-01,7.824,0.583,0.105,230813897715.69
2009-01-01,6.583,0.1,0.014,202257625195.063
2010-01-01,7.698,0.151,0.0,255016609232.871
2011-01-01,12.099,0.012,0.372,297951960784.314
2012-01-01,8.36,0.012,0.105,314443149443.149
2013-01-01,5.308,0.028,0.216,323277158906.979
2014-01-01,12.769,0.012,0.023,338061963396.376
2015-01-01,10.354,0.003,0.013,301354803994.367
2016-01-01,10.805,0.694,0.033,301255380276.258
2017-01-01,11.345894,1.124,0.007,319112136545.438
2018-01-01,11.760791,1.51,0.02,358791603677.728
2019-01-01,12.301257,1.699,0.041,365276282438.141
2020-01-01,12.591791,1.699,0.041,337006066373.26
2021-01-01,12.591791,1.69078992,0.042267859,337006066373.26
