,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.01897,0.0,0.0,2.4395084944545533,2830692638.55831
1993-01-01,0.02044,0.0,0.0,2.4395084944545533,2818306753.77878
1994-01-01,0.01925,0.0,0.0,2.381413704836951,2081864106.44813
1995-01-01,0.02135,0.0,0.0,2.326021509824534,2706416623.0592
1996-01-01,0.02282,0.0,0.0,2.273147607523476,2780435256.96413
1997-01-01,0.02653,0.0,0.0,2.2226240813930493,2697102921.51387
1998-01-01,0.02709,0.0,0.0,2.174297618913913,2920367497.07602
1999-01-01,0.02744,0.0,0.0,2.128027957699824,3440743431.84883
2000-01-01,0.122,0.0,0.0,2.083686525878309,2961476518.21292
2001-01-01,0.134,0.0,0.0,3.817102453301203,3468327017.34025
2002-01-01,0.158,0.0,-0.1981,3.676756876371313,3908139486.81726
2003-01-01,0.167,0.0,-0.2,3.546365634059752,4714051055.35437
2004-01-01,0.18,0.0,-0.2,3.424905946571665,5454228770.812
2005-01-01,0.189,0.0,-0.4005,3.311490511135625,6247496491.29462
2006-01-01,0.199,0.0,-0.359,3.205345789468297,6905876385.35306
2007-01-01,0.222,0.0,-0.263,3.105794341319275,8156532185.6131
2008-01-01,0.218,0.0,-0.333,3.0122403509524576,9838404004.93274
2009-01-01,0.235,0.0,-0.2457,2.924157692998477,10232036863.4247
2010-01-01,0.267,0.0,-0.27235,2.8410800326592285,10689167195.3375
2011-01-01,0.275,0.181,-0.07921,3.3275753563565216,12995113407.2335
2012-01-01,0.257,0.142,-0.102,3.2204136648715305,12442036265.1484
2013-01-01,0.318,0.349,-0.1113,3.119938731622733,13242691429.5942
2014-01-01,0.339,0.512,0.0334,3.025543624247676,14364937996.8661
2015-01-01,0.288,0.317,-0.1687,2.936692705337588,13104764333.9941
2016-01-01,0.307,0.113,-0.416,3.435266354539343,14026048690.7312
2017-01-01,0.318,0.117,-0.418,3.3211751423005476,15365714371.3316
2018-01-01,0.356,0.198,-0.352,3.2144186685124634,17070866299.0945
2019-01-01,0.36,0.2,-0.356,3.1143116533320785,17280251193.9527
2020-01-01,0.36,0.2,-0.35,3.020251605618375,17465392915.9153
2021-01-01,0.36,0.2,-0.35,3.2264121251184976,17465392915.9153
