,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.02282,0.0,0.0,2.273147607523476,2780435256.96413,0.02135,0.0,0.0,2.326021509824534,2706416623.0592,0.01925,0.0,0.0,2.381413704836951,2081864106.44813,0.02044,0.0,0.0,2.4395084944545533,2818306753.77878,0.01897,0.0,0.0,2.4395084944545533,2830692638.55831,0.02653,0.0,0.0,2.2226240813930493,2697102921.51387
1998-01-01,0.02653,0.0,0.0,2.2226240813930493,2697102921.51387,0.02282,0.0,0.0,2.273147607523476,2780435256.96413,0.02135,0.0,0.0,2.326021509824534,2706416623.0592,0.01925,0.0,0.0,2.381413704836951,2081864106.44813,0.02044,0.0,0.0,2.4395084944545533,2818306753.77878,0.02709,0.0,0.0,2.174297618913913,2920367497.07602
1999-01-01,0.02709,0.0,0.0,2.174297618913913,2920367497.07602,0.02653,0.0,0.0,2.2226240813930493,2697102921.51387,0.02282,0.0,0.0,2.273147607523476,2780435256.96413,0.02135,0.0,0.0,2.326021509824534,2706416623.0592,0.01925,0.0,0.0,2.381413704836951,2081864106.44813,0.02744,0.0,0.0,2.128027957699824,3440743431.84883
2000-01-01,0.02744,0.0,0.0,2.128027957699824,3440743431.84883,0.02709,0.0,0.0,2.174297618913913,2920367497.07602,0.02653,0.0,0.0,2.2226240813930493,2697102921.51387,0.02282,0.0,0.0,2.273147607523476,2780435256.96413,0.02135,0.0,0.0,2.326021509824534,2706416623.0592,0.122,0.0,0.0,2.083686525878309,2961476518.21292
2001-01-01,0.122,0.0,0.0,2.083686525878309,2961476518.21292,0.02744,0.0,0.0,2.128027957699824,3440743431.84883,0.02709,0.0,0.0,2.174297618913913,2920367497.07602,0.02653,0.0,0.0,2.2226240813930493,2697102921.51387,0.02282,0.0,0.0,2.273147607523476,2780435256.96413,0.134,0.0,0.0,3.817102453301203,3468327017.34025
2002-01-01,0.134,0.0,0.0,3.817102453301203,3468327017.34025,0.122,0.0,0.0,2.083686525878309,2961476518.21292,0.02744,0.0,0.0,2.128027957699824,3440743431.84883,0.02709,0.0,0.0,2.174297618913913,2920367497.07602,0.02653,0.0,0.0,2.2226240813930493,2697102921.51387,0.158,0.0,-0.1981,3.676756876371313,3908139486.81726
2003-01-01,0.158,0.0,-0.1981,3.676756876371313,3908139486.81726,0.134,0.0,0.0,3.817102453301203,3468327017.34025,0.122,0.0,0.0,2.083686525878309,2961476518.21292,0.02744,0.0,0.0,2.128027957699824,3440743431.84883,0.02709,0.0,0.0,2.174297618913913,2920367497.07602,0.167,0.0,-0.2,3.546365634059752,4714051055.35437
2004-01-01,0.167,0.0,-0.2,3.546365634059752,4714051055.35437,0.158,0.0,-0.1981,3.676756876371313,3908139486.81726,0.134,0.0,0.0,3.817102453301203,3468327017.34025,0.122,0.0,0.0,2.083686525878309,2961476518.21292,0.02744,0.0,0.0,2.128027957699824,3440743431.84883,0.18,0.0,-0.2,3.424905946571665,5454228770.812
2005-01-01,0.18,0.0,-0.2,3.424905946571665,5454228770.812,0.167,0.0,-0.2,3.546365634059752,4714051055.35437,0.158,0.0,-0.1981,3.676756876371313,3908139486.81726,0.134,0.0,0.0,3.817102453301203,3468327017.34025,0.122,0.0,0.0,2.083686525878309,2961476518.21292,0.189,0.0,-0.4005,3.311490511135625,6247496491.29462
2006-01-01,0.189,0.0,-0.4005,3.311490511135625,6247496491.29462,0.18,0.0,-0.2,3.424905946571665,5454228770.812,0.167,0.0,-0.2,3.546365634059752,4714051055.35437,0.158,0.0,-0.1981,3.676756876371313,3908139486.81726,0.134,0.0,0.0,3.817102453301203,3468327017.34025,0.199,0.0,-0.359,3.205345789468297,6905876385.35306
