,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.12,0.0,0.0,0.304,1.401,0.908758692591279,0.0070034174062676,3021910216.71827
1993-01-01,0.12,0.0,0.0,0.304,1.41,0.908758692591279,0.0069624539950419,2709178326.78271
1994-01-01,0.141,0.0,0.0,0.304,1.449,0.9005746422465902,0.006922685586835,2998570146.54095
1995-01-01,0.152,0.0,0.0,0.304,1.534,0.8925366832048981,0.006884060641674,3720400535.01945
1996-01-01,0.218,0.0,0.0,0.46,1.559,0.8846409383157817,0.0068465305414424,3822882801.33397
1997-01-01,0.221,0.0,0.0,0.46,1.585,0.8768836664212153,0.0068100493857202,3793418418.41842
1998-01-01,0.21,0.0,0.0,0.46,1.618,0.8692612564449219,0.0067745738045056,4010571223.3396
1999-01-01,0.227,0.0,0.0,0.57,1.743,0.8617702217873452,0.0067400627862132,4121350731.81231
2000-01-01,0.235,0.0,0.0,0.57,1.80198,0.8544071950079579,0.0067064775195139,4069515579.07114
2001-01-01,0.256,0.0,0.0,0.57,1.82642,0.4895393926034258,0.006650191861159,4088368978.34589
2002-01-01,0.27,0.0,0.0,0.57,1.92888,0.4871545790361724,0.0065953753501976,4470446391.44639
2003-01-01,0.294,0.0,0.0,0.57,2.10184,0.484792888282079,0.0065419712069397,5448415500.17071
2004-01-01,0.291,0.0,0.0,0.57,2.08304,0.4824539856703015,0.0064899255403809,6098092551.07125
2005-01-01,0.256,0.0,0.0,0.57,2.1056,0.4801375429576031,0.0064391871668058,6416184181.07201
2006-01-01,0.276,0.0,0.0,0.57,2.12534,0.4778432381746423,0.0063897074418911,6778324049.68009
2007-01-01,0.314,0.0,0.0,0.57,2.15824,0.4755707554768601,0.0063414401051507,7925371475.49959
2008-01-01,0.332,0.0,0.0,0.57,2.17328,0.4733197849995306,0.0062943411356767,9090406767.24769
2009-01-01,0.339,0.0,0.0,0.572,2.03892,0.4710900227168388,0.0062483686182311,8696366907.4743
2010-01-01,0.169,0.0,0.0,0.573,1.98822,0.4688811703051334,0.0062034826188318,9035932122.49768
2011-01-01,0.187,0.0,0.0,0.582,2.04886,1.8064978328616943,0.0062365291983162,9638916481.06904
2012-01-01,0.226,0.0,0.0,0.642,2.16092,1.774442566355114,0.0062687590488443,9462238211.48657
2013-01-01,0.187,0.0,0.0,0.6546,2.11904,1.7435050702421906,0.0063002020783807,10551661176.7831
2014-01-01,0.132,0.0,0.0,0.6811,2.1148,1.713627881247542,0.0063308867522254,11626281387.0068
2015-01-01,0.179,0.0,1.054,0.67087,1.241942,1.6847574085630228,0.0063608401789641,11091434483.5238
2016-01-01,0.216,0.0,1.527,0.5787,0.807333,2.5747132478716668,0.0064525622291688,11721521912.7202
2017-01-01,0.144293,0.035695,0.897,0.71166,1.603623,2.5100857378464103,0.0065422806314317,13221298307.8894
2018-01-01,0.142797,0.010549,0.631,0.73166,1.9119268,2.4486231962243714,0.0066300603302741,14864712990.1631
2019-01-01,0.158,0.020451,0.657,0.75466,2.0016997,2.390098685401001,0.006715963493477,15215714309.0974
2020-01-01,0.128,0.004233,0.41981,0.78766,2.0818584,2.3343064574482866,0.0068000496589131,14647384607.604
2021-01-01,0.128,0.036,0.547,0.79566,2.1116277,1.7394738016559397,0.006860866676466,14647384607.604
