,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.00973,0.0,0.105,3.2137739780845456,2164292208.16528
1993-01-01,0.00973,0.0,0.105,3.2137739780845456,1847350611.72458
1994-01-01,0.01001,0.0,0.105,3.113706489181328,1944876755.00708
1995-01-01,0.0112,0.0,0.113,3.0196824410613323,2091731420.68923
1996-01-01,0.01225,0.0,0.123,2.931170403081882,2132081881.91398
1997-01-01,0.01323,0.0,0.123,2.8476994787908474,2072001066.8212
1998-01-01,0.01365,0.0,0.126,2.768850925419171,2032345831.83005
1999-01-01,0.01421,0.0,0.145,2.6942511281249844,1985924386.91448
2000-01-01,0.0,0.002,0.093,2.6235656801893823,1779523344.34106
2001-01-01,0.0,0.002,0.093,2.6881528517778945,1746064718.79169
2002-01-01,0.0,0.0041,0.103,2.6177828475092397,1777058592.98812
2003-01-01,0.0,0.0772,0.105,2.551003125256825,2051147606.73687
2004-01-01,0.0,0.069,0.175,2.4875457552970213,2362501023.24249
2005-01-01,0.0,0.1335,0.175,2.4271688203329207,2936019525.60241
2006-01-01,0.0,0.125,0.186,2.369653333472887,3919577285.92703
2007-01-01,0.0,0.0822,0.186,2.314800584264626,4346206808.54026
2008-01-01,0.0,0.1038,0.196,2.26242984499411,5206444406.66154
2009-01-01,0.0,0.1085,0.196,2.212376381456453,4714592492.92972
2010-01-01,0.0,0.115,0.226,2.1644897220663895,5628882266.37767
2011-01-01,0.0,0.127,0.226,3.0809475528453114,6764635686.79345
2012-01-01,0.0,0.138,0.2264,2.98886227376388,6728208836.22143
2013-01-01,0.0,0.174,0.281,2.902121848689721,7223063169.72749
2014-01-01,0.0,0.183,0.290151,2.820274059029704,6592537781.81518
2015-01-01,0.0,0.183,0.494,2.74291630210065,6166857628.62212
2016-01-01,0.0,0.2212,0.511,2.7995600853474927,6398744505.08129
2017-01-01,0.21,0.185,0.59,2.723319129987735,6799075418.99441
2018-01-01,0.225,0.1975,0.62,2.651120654056751,7354430040.11966
2019-01-01,0.217,0.2042,0.658,2.582651448094024,7889662452.16785
2020-01-01,0.22,0.2,0.656,2.5176298444584697,7913680231.1828
2021-01-01,0.22,0.2,0.656,2.6400967944722407,7913680231.1828
