,Electricity: Distribution Losses,Electricity: Installed Capacity,Economics: GDP
2022-01-01,0.17177024018639553,0.9318562763702906,11894001002.18835
2023-01-01,0.1656007739232752,0.9190379814342734,12963988707.852962
2024-01-01,0.1619493674493951,0.9282663925398389,13094642322.127895
2025-01-01,0.15801089626360296,0.9256594090990149,12762552338.397793
2026-01-01,0.15907424868590123,0.9199718829304546,12216760021.768318
2027-01-01,0.1598409252282544,0.909127940573323,11926704997.147049
2028-01-01,0.15690244903441353,0.8984518547797136,12244400435.087996
2029-01-01,0.15703561794508183,0.9019306478078212,12308715921.881123
2030-01-01,0.1569314575577009,0.9039134877449738,12210855321.067139
2031-01-01,0.157255245790766,0.9012673099358514,11963275108.890186
