,Electricity: Distribution Losses,Electricity: Installed Capacity,Economics: GDP
1992-01-01,0.06125,0.331,3224267547.80508
1993-01-01,0.06538,0.338,3263368410.01813
1994-01-01,0.06818,0.338,3558137040.37772
1995-01-01,0.0742,0.364,4040345933.2923
1996-01-01,0.06475,0.369,4421943910.49749
1997-01-01,0.07511,0.404,4187367601.73431
1998-01-01,0.07805,0.484,4169664285.38681
1999-01-01,0.09443,0.5284,4343710332.80658
2000-01-01,0.16,0.709,4663313620.01707
2001-01-01,0.172,0.719,4613630622.77501
2002-01-01,0.175,0.718,4841310239.63687
2003-01-01,0.187,0.71,5816553826.85519
2004-01-01,0.194,0.71408,6578844486.06288
2005-01-01,0.204,0.82858,6488750452.60067
2006-01-01,0.199,0.78158,7028803365.70151
2007-01-01,0.213,0.83318,8150138757.15741
2008-01-01,0.216,0.79518,9990370016.30771
2009-01-01,0.198,0.844,9128843109.15588
2010-01-01,0.194,0.846,10003670690.3497
2011-01-01,0.194,0.8281,11518393367.2403
2012-01-01,0.191,0.8661,11668685524.1265
2013-01-01,0.184,0.86454,12129642296.4425
2014-01-01,0.182,0.869,12803445933.5894
2015-01-01,0.177,0.88328,11692287066.381
2016-01-01,0.172,0.9388,12232463655.5727
2017-01-01,0.187,0.92788,13259351418.4459
2018-01-01,0.1824,0.96527,14181951058.5129
2019-01-01,0.1824,0.92988,14045808843.221
2020-01-01,0.143,0.92988,10920606197.6928
2021-01-01,0.143,0.92988,10920606197.6928
