,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Economics: GDP
1997-01-01,0.06475,0.369,4421943910.49749,0.0742,0.364,4040345933.2923,0.06818,0.338,3558137040.37772,0.06538,0.338,3263368410.01813,0.06125,0.331,3224267547.80508,0.07511,0.404,4187367601.73431
1998-01-01,0.07511,0.404,4187367601.73431,0.06475,0.369,4421943910.49749,0.0742,0.364,4040345933.2923,0.06818,0.338,3558137040.37772,0.06538,0.338,3263368410.01813,0.07805,0.484,4169664285.38681
1999-01-01,0.07805,0.484,4169664285.38681,0.07511,0.404,4187367601.73431,0.06475,0.369,4421943910.49749,0.0742,0.364,4040345933.2923,0.06818,0.338,3558137040.37772,0.09443,0.5284,4343710332.80658
2000-01-01,0.09443,0.5284,4343710332.80658,0.07805,0.484,4169664285.38681,0.07511,0.404,4187367601.73431,0.06475,0.369,4421943910.49749,0.0742,0.364,4040345933.2923,0.16,0.709,4663313620.01707
2001-01-01,0.16,0.709,4663313620.01707,0.09443,0.5284,4343710332.80658,0.07805,0.484,4169664285.38681,0.07511,0.404,4187367601.73431,0.06475,0.369,4421943910.49749,0.172,0.719,4613630622.77501
2002-01-01,0.172,0.719,4613630622.77501,0.16,0.709,4663313620.01707,0.09443,0.5284,4343710332.80658,0.07805,0.484,4169664285.38681,0.07511,0.404,4187367601.73431,0.175,0.718,4841310239.63687
2003-01-01,0.175,0.718,4841310239.63687,0.172,0.719,4613630622.77501,0.16,0.709,4663313620.01707,0.09443,0.5284,4343710332.80658,0.07805,0.484,4169664285.38681,0.187,0.71,5816553826.85519
2004-01-01,0.187,0.71,5816553826.85519,0.175,0.718,4841310239.63687,0.172,0.719,4613630622.77501,0.16,0.709,4663313620.01707,0.09443,0.5284,4343710332.80658,0.194,0.71408,6578844486.06288
2005-01-01,0.194,0.71408,6578844486.06288,0.187,0.71,5816553826.85519,0.175,0.718,4841310239.63687,0.172,0.719,4613630622.77501,0.16,0.709,4663313620.01707,0.204,0.82858,6488750452.60067
2006-01-01,0.204,0.82858,6488750452.60067,0.194,0.71408,6578844486.06288,0.187,0.71,5816553826.85519,0.175,0.718,4841310239.63687,0.172,0.719,4613630622.77501,0.199,0.78158,7028803365.70151
2007-01-01,0.199,0.78158,7028803365.70151,0.204,0.82858,6488750452.60067,0.194,0.71408,6578844486.06288,0.187,0.71,5816553826.85519,0.175,0.718,4841310239.63687,0.213,0.83318,8150138757.15741
2008-01-01,0.213,0.83318,8150138757.15741,0.199,0.78158,7028803365.70151,0.204,0.82858,6488750452.60067,0.194,0.71408,6578844486.06288,0.187,0.71,5816553826.85519,0.216,0.79518,9990370016.30771
2009-01-01,0.216,0.79518,9990370016.30771,0.213,0.83318,8150138757.15741,0.199,0.78158,7028803365.70151,0.204,0.82858,6488750452.60067,0.194,0.71408,6578844486.06288,0.198,0.844,9128843109.15588
2010-01-01,0.198,0.844,9128843109.15588,0.216,0.79518,9990370016.30771,0.213,0.83318,8150138757.15741,0.199,0.78158,7028803365.70151,0.204,0.82858,6488750452.60067,0.194,0.846,10003670690.3497
2011-01-01,0.194,0.846,10003670690.3497,0.198,0.844,9128843109.15588,0.216,0.79518,9990370016.30771,0.213,0.83318,8150138757.15741,0.199,0.78158,7028803365.70151,0.194,0.8281,11518393367.2403
2012-01-01,0.194,0.8281,11518393367.2403,0.194,0.846,10003670690.3497,0.198,0.844,9128843109.15588,0.216,0.79518,9990370016.30771,0.213,0.83318,8150138757.15741,0.191,0.8661,11668685524.1265
2013-01-01,0.191,0.8661,11668685524.1265,0.194,0.8281,11518393367.2403,0.194,0.846,10003670690.3497,0.198,0.844,9128843109.15588,0.216,0.79518,9990370016.30771,0.184,0.86454,12129642296.4425
