,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Economics: GDP
1997-01-01,23.649,1.288,1.387,36.824,0.099,410975595310.156,21.769,1.944,1.164,35.042,-0.78,360073909243.855,20.483,1.97,1.14,34.286,-0.83,527813238126.278,18.473,2.015,0.909,31.252,-1.106,500736065605.341,17.039,2.041,0.991,29.697,-1.05,363157598242.27,24.798,0.344,1.805,37.295,1.461,500413483109.175
1998-01-01,24.798,0.344,1.805,37.295,1.461,500413483109.175,23.649,1.288,1.387,36.824,0.099,410975595310.156,21.769,1.944,1.164,35.042,-0.78,360073909243.855,20.483,1.97,1.14,34.286,-0.83,527813238126.278,18.473,2.015,0.909,31.252,-1.106,500736065605.341,26.507,0.077,1.51,37.491,1.433,526502129378.284
1999-01-01,26.507,0.077,1.51,37.491,1.433,526502129378.284,24.798,0.344,1.805,37.295,1.461,500413483109.175,23.649,1.288,1.387,36.824,0.099,410975595310.156,21.769,1.944,1.164,35.042,-0.78,360073909243.855,20.483,1.97,1.14,34.286,-0.83,527813238126.278,27.617,0.131,0.655,37.939,0.524,600232874042.927
2000-01-01,27.617,0.131,0.655,37.939,0.524,600232874042.927,26.507,0.077,1.51,37.491,1.433,526502129378.284,24.798,0.344,1.805,37.295,1.461,500413483109.175,23.649,1.288,1.387,36.824,0.099,410975595310.156,21.769,1.944,1.164,35.042,-0.78,360073909243.855,28.483,0.195,1.069,40.58,0.874,707906744574.644
2001-01-01,28.483,0.195,1.069,40.58,0.874,707906744574.644,27.617,0.131,0.655,37.939,0.524,600232874042.927,26.507,0.077,1.51,37.491,1.433,526502129378.284,24.798,0.344,1.805,37.295,1.461,500413483109.175,23.649,1.288,1.387,36.824,0.099,410975595310.156,30.082,0.271,0.327,42.892,0.056,756706300589.791
2002-01-01,30.082,0.271,0.327,42.892,0.056,756706300589.791,28.483,0.195,1.069,40.58,0.874,707906744574.644,27.617,0.131,0.655,37.939,0.524,600232874042.927,26.507,0.077,1.51,37.491,1.433,526502129378.284,24.798,0.344,1.805,37.295,1.461,500413483109.175,30.92,0.344,0.546,46.167,0.202,772106378935.377
2003-01-01,30.92,0.344,0.546,46.167,0.202,772106378935.377,30.082,0.271,0.327,42.892,0.056,756706300589.791,28.483,0.195,1.069,40.58,0.874,707906744574.644,27.617,0.131,0.655,37.939,0.524,600232874042.927,26.507,0.077,1.51,37.491,1.433,526502129378.284,29.084,0.953,0.087,50.169,-0.866,729336319677.449
2004-01-01,29.084,0.953,0.087,50.169,-0.866,729336319677.449,30.92,0.344,0.546,46.167,0.202,772106378935.377,30.082,0.271,0.327,42.892,0.056,756706300589.791,28.483,0.195,1.069,40.58,0.874,707906744574.644,27.617,0.131,0.655,37.939,0.524,600232874042.927,34.901,1.346,0.072,52.737,-1.274,782240601984.76
2005-01-01,34.901,1.346,0.072,52.737,-1.274,782240601984.76,29.084,0.953,0.087,50.169,-0.866,729336319677.449,30.92,0.344,0.546,46.167,0.202,772106378935.377,30.082,0.271,0.327,42.892,0.056,756706300589.791,28.483,0.195,1.069,40.58,0.874,707906744574.644,37.418,1.788,0.116,52.975,-1.672,877476221382.101
2006-01-01,37.418,1.788,0.116,52.975,-1.672,877476221382.101,34.901,1.346,0.072,52.737,-1.274,782240601984.76,29.084,0.953,0.087,50.169,-0.866,729336319677.449,30.92,0.344,0.546,46.167,0.202,772106378935.377,30.082,0.271,0.327,42.892,0.056,756706300589.791,39.6,1.299,0.523,55.83,-0.776,975387131716.089
