,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,1.199,4.636,4.55,3.086,9.301,10.586,-0.086,131.01913963245286,-0.5155651162038578,1752979926.41489
1993-01-01,1.447,5.1,3.0,2.635,6.121,9.668,-2.1,130.3436506529575,-0.5155651162038578,1752979926.41489
1994-01-01,1.527,0.0,0.62,2.635,6.841,7.748,0.62,129.66816167346215,-0.518236965215805,1752979926.41489
1995-01-01,1.5,0.127,2.0,1.222,6.093,5.72,1.873,128.9926726939668,-0.5209366515092623,1752979926.41489
1996-01-01,1.442,0.1,1.61,1.052,5.841,5.773,1.51,128.31718371447144,-0.5236646124062705,1695122173.91304
1997-01-01,1.452,0.027,1.98,1.03,5.477,4.976,1.953,127.64169473497606,-0.5264212944374317,1930081168.83117
1998-01-01,1.262,0.0,2.0,1.03,5.355,4.617,2.0,126.96620575548071,-0.5292071535855709,1698717504.65549
1999-01-01,1.499,0.0,1.445,1.03,4.113,4.167,1.445,126.29071677598532,-0.5320226555373923,1170782957.37443
2000-01-01,0.907,0.0,1.8,1.03,6.2,5.307,1.8,125.61522779649,-0.5348682759426678,1288429391.79951
2001-01-01,0.879,0.0,1.5,1.026,6.257,5.636,1.5,123.92112214146428,-1.3486467244005969,1480673594.05602
2002-01-01,0.383,0.36,2.602,1.026,7.623,5.764,2.242,122.22701648643856,-1.3670838560449454,1661818168.4226
2003-01-01,0.296,0.131,3.583,0.7387,9.108,5.952,3.452,120.53291083141286,-1.3860320768065837,1980907434.76826
2004-01-01,0.489,0.424,3.361,0.7365,8.247,5.799,2.937,118.83880517638715,-1.4055129369564552,2598249555.89984
2005-01-01,0.473,0.22,3.361,0.7365,8.64,5.972,3.141,117.14469952136146,-1.425549215604469,2988348836.471
2006-01-01,0.493,0.229,3.741,0.7335,9.099,6.08,3.512,115.45059386633577,-1.4461650095545195,3408244549.19999
2007-01-01,0.506,0.0,2.931,0.7335,8.308,5.883,2.931,113.75648821131006,-1.4673858299828817,4401189466.14058
2008-01-01,0.63,0.0,2.958,0.7415,8.346,6.018,2.958,112.06238255628436,-1.489238707755112,6054849884.52656
2009-01-01,0.45,0.0,1.464,0.7415,7.208,6.194,1.464,110.36827690125864,-1.5117523082956197,5439422031.39627
2010-01-01,0.468,0.0,1.464,0.7415,7.107,6.111,1.464,108.67417124623292,-1.5349570570367312,6974960345.3712
2011-01-01,0.453,0.0,0.666,0.7415,5.995,5.782,0.666,106.30580866276664,-2.1793242647326725,8414360656.29632
2012-01-01,0.446,0.0,0.846,0.7415,6.199,5.799,0.846,103.93744607930036,-2.227876927195423,8709165249.26928
2013-01-01,0.431,0.0,1.456,0.7429,5.533,4.508,1.456,101.56908349583408,-2.278642272640898,9496684701.43325
2014-01-01,0.481,0.0,0.731,0.7465,5.628,5.378,0.731,99.2007209123678,-2.3317750854406705,9510219299.49557
2015-01-01,0.393,0.0,0.018,0.7465,5.674,6.049,0.018,96.83235832890148,-2.387444931532768,7745231660.33425
2016-01-01,0.428,0.0,0.004,0.748083,5.428,5.852,0.004,95.69461088459492,-1.1749661620778555,8071480540.86068
2017-01-01,0.429,0.0,1.134,0.758399,5.667,4.962,1.134,94.55686344028835,-1.1889357548866035,9669759987.02633
2018-01-01,0.441,0.0,0.956,0.783209,5.90324,5.38824,0.956,93.4191159959818,-1.2032415235780802,11456728401.3069
2019-01-01,0.425,0.0,0.644,0.787209,5.91499,5.69599,0.644,92.28136855167524,-1.217895750967601,11970233939.8808
2020-01-01,0.42,0.0,0.167,0.804209,5.928,6.181,0.167,91.14362110736867,-1.2329113256154849,11915547262.6561
2021-01-01,0.42,0.0,3.431,0.818209,9.6678,6.6568,3.431,93.92310760503456,3.049567774349911,11915547262.6561
