,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,1.442,0.1,1.61,1.052,5.841,5.773,1.51,128.31718371447144,-0.5236646124062705,1695122173.91304,1.5,0.127,2.0,1.222,6.093,5.72,1.873,128.9926726939668,-0.5209366515092623,1752979926.41489,1.527,0.0,0.62,2.635,6.841,7.748,0.62,129.66816167346215,-0.518236965215805,1752979926.41489,1.447,5.1,3.0,2.635,6.121,9.668,-2.1,130.3436506529575,-0.5155651162038578,1752979926.41489,1.199,4.636,4.55,3.086,9.301,10.586,-0.086,131.01913963245286,-0.5155651162038578,1752979926.41489,1.452,0.027,1.98,1.03,5.477,4.976,1.953,127.64169473497606,-0.5264212944374317,1930081168.83117
1998-01-01,1.452,0.027,1.98,1.03,5.477,4.976,1.953,127.64169473497606,-0.5264212944374317,1930081168.83117,1.442,0.1,1.61,1.052,5.841,5.773,1.51,128.31718371447144,-0.5236646124062705,1695122173.91304,1.5,0.127,2.0,1.222,6.093,5.72,1.873,128.9926726939668,-0.5209366515092623,1752979926.41489,1.527,0.0,0.62,2.635,6.841,7.748,0.62,129.66816167346215,-0.518236965215805,1752979926.41489,1.447,5.1,3.0,2.635,6.121,9.668,-2.1,130.3436506529575,-0.5155651162038578,1752979926.41489,1.262,0.0,2.0,1.03,5.355,4.617,2.0,126.96620575548071,-0.5292071535855709,1698717504.65549
1999-01-01,1.262,0.0,2.0,1.03,5.355,4.617,2.0,126.96620575548071,-0.5292071535855709,1698717504.65549,1.452,0.027,1.98,1.03,5.477,4.976,1.953,127.64169473497606,-0.5264212944374317,1930081168.83117,1.442,0.1,1.61,1.052,5.841,5.773,1.51,128.31718371447144,-0.5236646124062705,1695122173.91304,1.5,0.127,2.0,1.222,6.093,5.72,1.873,128.9926726939668,-0.5209366515092623,1752979926.41489,1.527,0.0,0.62,2.635,6.841,7.748,0.62,129.66816167346215,-0.518236965215805,1752979926.41489,1.499,0.0,1.445,1.03,4.113,4.167,1.445,126.29071677598532,-0.5320226555373923,1170782957.37443
2000-01-01,1.499,0.0,1.445,1.03,4.113,4.167,1.445,126.29071677598532,-0.5320226555373923,1170782957.37443,1.262,0.0,2.0,1.03,5.355,4.617,2.0,126.96620575548071,-0.5292071535855709,1698717504.65549,1.452,0.027,1.98,1.03,5.477,4.976,1.953,127.64169473497606,-0.5264212944374317,1930081168.83117,1.442,0.1,1.61,1.052,5.841,5.773,1.51,128.31718371447144,-0.5236646124062705,1695122173.91304,1.5,0.127,2.0,1.222,6.093,5.72,1.873,128.9926726939668,-0.5209366515092623,1752979926.41489,0.907,0.0,1.8,1.03,6.2,5.307,1.8,125.61522779649,-0.5348682759426678,1288429391.79951
2001-01-01,0.907,0.0,1.8,1.03,6.2,5.307,1.8,125.61522779649,-0.5348682759426678,1288429391.79951,1.499,0.0,1.445,1.03,4.113,4.167,1.445,126.29071677598532,-0.5320226555373923,1170782957.37443,1.262,0.0,2.0,1.03,5.355,4.617,2.0,126.96620575548071,-0.5292071535855709,1698717504.65549,1.452,0.027,1.98,1.03,5.477,4.976,1.953,127.64169473497606,-0.5264212944374317,1930081168.83117,1.442,0.1,1.61,1.052,5.841,5.773,1.51,128.31718371447144,-0.5236646124062705,1695122173.91304,0.879,0.0,1.5,1.026,6.257,5.636,1.5,123.92112214146428,-1.3486467244005969,1480673594.05602
2002-01-01,0.879,0.0,1.5,1.026,6.257,5.636,1.5,123.92112214146428,-1.3486467244005969,1480673594.05602,0.907,0.0,1.8,1.03,6.2,5.307,1.8,125.61522779649,-0.5348682759426678,1288429391.79951,1.499,0.0,1.445,1.03,4.113,4.167,1.445,126.29071677598532,-0.5320226555373923,1170782957.37443,1.262,0.0,2.0,1.03,5.355,4.617,2.0,126.96620575548071,-0.5292071535855709,1698717504.65549,1.452,0.027,1.98,1.03,5.477,4.976,1.953,127.64169473497606,-0.5264212944374317,1930081168.83117,0.383,0.36,2.602,1.026,7.623,5.764,2.242,122.22701648643856,-1.3670838560449454,1661818168.4226
2003-01-01,0.383,0.36,2.602,1.026,7.623,5.764,2.242,122.22701648643856,-1.3670838560449454,1661818168.4226,0.879,0.0,1.5,1.026,6.257,5.636,1.5,123.92112214146428,-1.3486467244005969,1480673594.05602,0.907,0.0,1.8,1.03,6.2,5.307,1.8,125.61522779649,-0.5348682759426678,1288429391.79951,1.499,0.0,1.445,1.03,4.113,4.167,1.445,126.29071677598532,-0.5320226555373923,1170782957.37443,1.262,0.0,2.0,1.03,5.355,4.617,2.0,126.96620575548071,-0.5292071535855709,1698717504.65549,0.296,0.131,3.583,0.7387,9.108,5.952,3.452,120.53291083141286,-1.3860320768065837,1980907434.76826
2004-01-01,0.296,0.131,3.583,0.7387,9.108,5.952,3.452,120.53291083141286,-1.3860320768065837,1980907434.76826,0.383,0.36,2.602,1.026,7.623,5.764,2.242,122.22701648643856,-1.3670838560449454,1661818168.4226,0.879,0.0,1.5,1.026,6.257,5.636,1.5,123.92112214146428,-1.3486467244005969,1480673594.05602,0.907,0.0,1.8,1.03,6.2,5.307,1.8,125.61522779649,-0.5348682759426678,1288429391.79951,1.499,0.0,1.445,1.03,4.113,4.167,1.445,126.29071677598532,-0.5320226555373923,1170782957.37443,0.489,0.424,3.361,0.7365,8.247,5.799,2.937,118.83880517638715,-1.4055129369564552,2598249555.89984
2005-01-01,0.489,0.424,3.361,0.7365,8.247,5.799,2.937,118.83880517638715,-1.4055129369564552,2598249555.89984,0.296,0.131,3.583,0.7387,9.108,5.952,3.452,120.53291083141286,-1.3860320768065837,1980907434.76826,0.383,0.36,2.602,1.026,7.623,5.764,2.242,122.22701648643856,-1.3670838560449454,1661818168.4226,0.879,0.0,1.5,1.026,6.257,5.636,1.5,123.92112214146428,-1.3486467244005969,1480673594.05602,0.907,0.0,1.8,1.03,6.2,5.307,1.8,125.61522779649,-0.5348682759426678,1288429391.79951,0.473,0.22,3.361,0.7365,8.64,5.972,3.141,117.14469952136146,-1.425549215604469,2988348836.471
2006-01-01,0.473,0.22,3.361,0.7365,8.64,5.972,3.141,117.14469952136146,-1.425549215604469,2988348836.471,0.489,0.424,3.361,0.7365,8.247,5.799,2.937,118.83880517638715,-1.4055129369564552,2598249555.89984,0.296,0.131,3.583,0.7387,9.108,5.952,3.452,120.53291083141286,-1.3860320768065837,1980907434.76826,0.383,0.36,2.602,1.026,7.623,5.764,2.242,122.22701648643856,-1.3670838560449454,1661818168.4226,0.879,0.0,1.5,1.026,6.257,5.636,1.5,123.92112214146428,-1.3486467244005969,1480673594.05602,0.493,0.229,3.741,0.7335,9.099,6.08,3.512,115.45059386633577,-1.4461650095545195,3408244549.19999
