,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.285,0.0,1.3046478366427503,0.0417646895225238,1317611863.84977
1993-01-01,0.291,0.0,1.3046478366427503,0.0416832997917655,768401634.154573
1994-01-01,0.472,0.0,1.2878459819006145,0.041604284398765,925817092.217484
1995-01-01,0.502,0.0,1.2714713887100957,0.0415275409393424,1452165005.2384
1996-01-01,0.482,0.0,1.255507964162789,0.0414529728147213,1345719472.35883
1997-01-01,0.493,0.0,1.2399404135201704,0.041380488825885,1180934202.83801
1998-01-01,0.465,0.07,1.2247541913354996,0.0413100028014756,1124440248.9783
1999-01-01,0.509,0.06,1.209935456124184,0.0412414332560457,1057408588.68269
2000-01-01,0.576,0.025,1.195471028285268,0.0411747030758114,1136896123.61298
2001-01-01,0.603,0.018,1.02628786293151,0.0410472170488064,1267997934.3125
2002-01-01,0.583,0.016,1.0158621925453075,0.0409230586148287,1396555719.97409
2003-01-01,0.489,0.007,1.0056462128778985,0.0408020991688784,1595297355.78349
2004-01-01,0.48,0.008,0.9956336606751994,0.0406842166487776,1992066808.09598
2005-01-01,0.42,0.012,0.9858185196602914,0.0405692951243102,2523471532.01083
2006-01-01,0.442,0.021,0.9761950084787092,0.0404572244169392,3414055566.1138
2007-01-01,0.442,0.01,0.9667575693426956,0.0403478997474763,4234999823.30839
2008-01-01,0.436,0.016,0.9575008573279388,0.0402412214093389,5623216448.86852
2009-01-01,0.494,0.018,0.9484197302794632,0.0401370944652494,4583850367.88972
2010-01-01,0.505,0.022,0.9395092392862736,0.0400354284654404,7189481824.07288
2011-01-01,0.644,0.024,1.9406257863031473,0.0403017280737668,10409797649.3063
2012-01-01,0.675,0.021,1.9036824340977403,0.0405614462263249,12292770631.1967
2013-01-01,0.74,0.018,1.8681193737320103,0.0408148239307893,12582122604.1921
2014-01-01,0.793,0.033,1.833860667318597,0.0410620905693938,12226514722.0861
2015-01-01,0.783,0.051,1.800835847036799,0.0413034645915463,11619892396.0767
2016-01-01,0.817,0.036,2.22336528319936,0.0417555360021202,11181350461.4723
2017-01-01,0.811,0.026,2.175006934118964,0.0421977320125117,11480847745.3187
2018-01-01,0.875,0.027,2.1287074005499154,0.0426303727154492,13178094459.4548
2019-01-01,0.892,0.024,2.0843379444734245,0.0430537645179133,14206359006.8095
2020-01-01,0.963,0.042,2.0417803420610614,0.0434682008648288,13312981594.573
2021-01-01,1.000214286,0.042,1.5789377825873812,0.0437877611984733,13312981594.573
