,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
1997-01-01,0.997,0.0,0.25,43161452678.4383,0.905,0.0,0.243,39030285468.3841,1.149,0.0,1.15,35604137422.5796,0.42,0.0,1.3,31655473663.8348,0.312,0.0,0.932,33711069430.78,1.172,0.0,0.124,39147844526.0838
1998-01-01,1.172,0.0,0.124,39147844526.0838,0.997,0.0,0.25,43161452678.4383,0.905,0.0,0.243,39030285468.3841,1.149,0.0,1.15,35604137422.5796,0.42,0.0,1.3,31655473663.8348,1.163,0.0,0.705,41806219378.6181
1999-01-01,1.163,0.0,0.705,41806219378.6181,1.172,0.0,0.124,39147844526.0838,0.997,0.0,0.25,43161452678.4383,0.905,0.0,0.243,39030285468.3841,1.149,0.0,1.15,35604137422.5796,1.81,0.0,1.8,41632027599.8531
2000-01-01,1.81,0.0,1.8,41632027599.8531,1.163,0.0,0.705,41806219378.6181,1.172,0.0,0.124,39147844526.0838,0.997,0.0,0.25,43161452678.4383,0.905,0.0,0.243,39030285468.3841,1.081,0.0,2.0,38857251336.3448
2001-01-01,1.081,0.0,2.0,38857251336.3448,1.81,0.0,1.8,41632027599.8531,1.163,0.0,0.705,41806219378.6181,1.172,0.0,0.124,39147844526.0838,0.997,0.0,0.25,43161452678.4383,1.298,0.0,1.45,39459581217.3759
2002-01-01,1.298,0.0,1.45,39459581217.3759,1.081,0.0,2.0,38857251336.3448,1.81,0.0,1.8,41632027599.8531,1.163,0.0,0.705,41806219378.6181,1.172,0.0,0.124,39147844526.0838,1.656,0.0,1.35,42236836820.6152
2003-01-01,1.656,0.0,1.35,42236836820.6152,1.298,0.0,1.45,39459581217.3759,1.081,0.0,2.0,38857251336.3448,1.81,0.0,1.8,41632027599.8531,1.163,0.0,0.705,41806219378.6181,1.543,0.0,1.417,52064058833.9739
2004-01-01,1.543,0.0,1.417,52064058833.9739,1.656,0.0,1.35,42236836820.6152,1.298,0.0,1.45,39459581217.3759,1.081,0.0,2.0,38857251336.3448,1.81,0.0,1.8,41632027599.8531,1.597,0.0,1.512,59626020162.3816
2005-01-01,1.597,0.0,1.512,59626020162.3816,1.543,0.0,1.417,52064058833.9739,1.656,0.0,1.35,42236836820.6152,1.298,0.0,1.45,39459581217.3759,1.081,0.0,2.0,38857251336.3448,1.216,0.0,0.802,62343022650.8742
2006-01-01,1.216,0.0,0.802,62343022650.8742,1.597,0.0,1.512,59626020162.3816,1.543,0.0,1.417,52064058833.9739,1.656,0.0,1.35,42236836820.6152,1.298,0.0,1.45,39459581217.3759,1.266,0.0,1.998,68640825480.9223
2007-01-01,1.266,0.0,1.998,68640825480.9223,1.216,0.0,0.802,62343022650.8742,1.597,0.0,1.512,59626020162.3816,1.543,0.0,1.417,52064058833.9739,1.656,0.0,1.35,42236836820.6152,1.415,0.0,3.455,79041294874.4553
2008-01-01,1.415,0.0,3.455,79041294874.4553,1.266,0.0,1.998,68640825480.9223,1.216,0.0,0.802,62343022650.8742,1.597,0.0,1.512,59626020162.3816,1.543,0.0,1.417,52064058833.9739,2.018,0.0,4.261,92507257783.5697
2009-01-01,2.018,0.0,4.261,92507257783.5697,1.415,0.0,3.455,79041294874.4553,1.266,0.0,1.998,68640825480.9223,1.216,0.0,0.802,62343022650.8742,1.597,0.0,1.512,59626020162.3816,2.287,0.0,4.623,92897320375.8176
2010-01-01,2.287,0.0,4.623,92897320375.8176,2.018,0.0,4.261,92507257783.5697,1.415,0.0,3.455,79041294874.4553,1.266,0.0,1.998,68640825480.9223,1.216,0.0,0.802,62343022650.8742,2.678,0.643,4.583,93216746661.5977
2011-01-01,2.678,0.643,4.583,93216746661.5977,2.287,0.0,4.623,92897320375.8176,2.018,0.0,4.261,92507257783.5697,1.415,0.0,3.455,79041294874.4553,1.266,0.0,1.998,68640825480.9223,2.674,0.524,5.131,101370474295.109
2012-01-01,2.674,0.524,5.131,101370474295.109,2.678,0.643,4.583,93216746661.5977,2.287,0.0,4.623,92897320375.8176,2.018,0.0,4.261,92507257783.5697,1.415,0.0,3.455,79041294874.4553,3.214,0.818,5.66,98266306615.3632
2013-01-01,3.214,0.818,5.66,98266306615.3632,2.674,0.524,5.131,101370474295.109,2.678,0.643,4.583,93216746661.5977,2.287,0.0,4.623,92897320375.8176,2.018,0.0,4.261,92507257783.5697,4.915,0.151,5.551,106825649872.108
