,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,Economics: GDP
1992-01-01,1.121,0.0,1.32049875518938,2216073327.6884
1993-01-01,1.212,0.0,1.32049875518938,2809748387.09677
1994-01-01,1.252,0.0,1.3032888422509166,3821535779.81651
1995-01-01,1.545,0.0,1.2865217478579525,4879259320.7547
1996-01-01,1.383,0.0,1.2701805982247192,5759624742.26804
1997-01-01,1.542,0.0,1.25424936612287,5633071709.23378
1998-01-01,1.18,0.0,1.2387128184494027,4613070974.82993
1999-01-01,1.494,0.0,1.2235564676437165,5643818689.479
2000-01-01,1.602,0.0,1.2087665266284418,6849321645.95623
2001-01-01,1.46,0.0,0.8460248390301197,6220271055.11329
2002-01-01,1.584,0.0,0.838927305642974,6110633153.68778
2003-01-01,1.576,0.0,0.8319478678111752,7754647428.07323
2004-01-01,1.699,0.0,0.8250836023735848,9390855297.73553
2005-01-01,2.352,0.0,0.8183316818535828,10588433068.8549
2006-01-01,1.809,0.0,0.8116893705759222,11863016315.2934
2007-01-01,1.96,0.0,0.8051540209709364,15591182544.7092
2008-01-01,1.921,0.0,0.798723070055943,23013015832.1023
2009-01-01,1.971,0.0,0.7923940360840079,29455165594.6859
2010-01-01,2.313,0.0,0.7861645153505613,37796052938.7278
2011-01-01,2.708,0.0,0.8475072416044865,54118601974.7947
2012-01-01,2.71,0.0,0.8403849185623041,58318677644.9492
2013-01-01,2.635,0.0,0.8333813077379718,60572254371.4731
2014-01-01,2.901,0.0,0.8264934656852602,63264891867.054
2015-01-01,2.573,0.0,0.8197185454699555,63045306513.9323
2016-01-01,2.385,2.381,0.7533412015461305,60291738934.7783
2017-01-01,2.88227,1.393,0.7477084060559019,61449391917.1299
2018-01-01,2.960066,1.431,0.7421592191877023,67144726167.9303
2019-01-01,3.4048,1.276,0.7366917931280178,68697761477.1818
2020-01-01,3.579527,1.341,0.7313043341157832,79852046610.9676
2021-01-01,3.705993214,1.341,0.7076588713390014,79852046610.9676
