,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,Economics: GDP
1997-01-01,1.383,0.0,1.2701805982247192,5759624742.26804,1.545,0.0,1.2865217478579525,4879259320.7547,1.252,0.0,1.3032888422509166,3821535779.81651,1.212,0.0,1.32049875518938,2809748387.09677,1.121,0.0,1.32049875518938,2216073327.6884,1.542,0.0,1.25424936612287,5633071709.23378
1998-01-01,1.542,0.0,1.25424936612287,5633071709.23378,1.383,0.0,1.2701805982247192,5759624742.26804,1.545,0.0,1.2865217478579525,4879259320.7547,1.252,0.0,1.3032888422509166,3821535779.81651,1.212,0.0,1.32049875518938,2809748387.09677,1.18,0.0,1.2387128184494027,4613070974.82993
1999-01-01,1.18,0.0,1.2387128184494027,4613070974.82993,1.542,0.0,1.25424936612287,5633071709.23378,1.383,0.0,1.2701805982247192,5759624742.26804,1.545,0.0,1.2865217478579525,4879259320.7547,1.252,0.0,1.3032888422509166,3821535779.81651,1.494,0.0,1.2235564676437165,5643818689.479
2000-01-01,1.494,0.0,1.2235564676437165,5643818689.479,1.18,0.0,1.2387128184494027,4613070974.82993,1.542,0.0,1.25424936612287,5633071709.23378,1.383,0.0,1.2701805982247192,5759624742.26804,1.545,0.0,1.2865217478579525,4879259320.7547,1.602,0.0,1.2087665266284418,6849321645.95623
2001-01-01,1.602,0.0,1.2087665266284418,6849321645.95623,1.494,0.0,1.2235564676437165,5643818689.479,1.18,0.0,1.2387128184494027,4613070974.82993,1.542,0.0,1.25424936612287,5633071709.23378,1.383,0.0,1.2701805982247192,5759624742.26804,1.46,0.0,0.8460248390301197,6220271055.11329
2002-01-01,1.46,0.0,0.8460248390301197,6220271055.11329,1.602,0.0,1.2087665266284418,6849321645.95623,1.494,0.0,1.2235564676437165,5643818689.479,1.18,0.0,1.2387128184494027,4613070974.82993,1.542,0.0,1.25424936612287,5633071709.23378,1.584,0.0,0.838927305642974,6110633153.68778
2003-01-01,1.584,0.0,0.838927305642974,6110633153.68778,1.46,0.0,0.8460248390301197,6220271055.11329,1.602,0.0,1.2087665266284418,6849321645.95623,1.494,0.0,1.2235564676437165,5643818689.479,1.18,0.0,1.2387128184494027,4613070974.82993,1.576,0.0,0.8319478678111752,7754647428.07323
2004-01-01,1.576,0.0,0.8319478678111752,7754647428.07323,1.584,0.0,0.838927305642974,6110633153.68778,1.46,0.0,0.8460248390301197,6220271055.11329,1.602,0.0,1.2087665266284418,6849321645.95623,1.494,0.0,1.2235564676437165,5643818689.479,1.699,0.0,0.8250836023735848,9390855297.73553
2005-01-01,1.699,0.0,0.8250836023735848,9390855297.73553,1.576,0.0,0.8319478678111752,7754647428.07323,1.584,0.0,0.838927305642974,6110633153.68778,1.46,0.0,0.8460248390301197,6220271055.11329,1.602,0.0,1.2087665266284418,6849321645.95623,2.352,0.0,0.8183316818535828,10588433068.8549
2006-01-01,2.352,0.0,0.8183316818535828,10588433068.8549,1.699,0.0,0.8250836023735848,9390855297.73553,1.576,0.0,0.8319478678111752,7754647428.07323,1.584,0.0,0.838927305642974,6110633153.68778,1.46,0.0,0.8460248390301197,6220271055.11329,1.809,0.0,0.8116893705759222,11863016315.2934
2007-01-01,1.809,0.0,0.8116893705759222,11863016315.2934,2.352,0.0,0.8183316818535828,10588433068.8549,1.699,0.0,0.8250836023735848,9390855297.73553,1.576,0.0,0.8319478678111752,7754647428.07323,1.584,0.0,0.838927305642974,6110633153.68778,1.96,0.0,0.8051540209709364,15591182544.7092
2008-01-01,1.96,0.0,0.8051540209709364,15591182544.7092,1.809,0.0,0.8116893705759222,11863016315.2934,2.352,0.0,0.8183316818535828,10588433068.8549,1.699,0.0,0.8250836023735848,9390855297.73553,1.576,0.0,0.8319478678111752,7754647428.07323,1.921,0.0,0.798723070055943,23013015832.1023
2009-01-01,1.921,0.0,0.798723070055943,23013015832.1023,1.96,0.0,0.8051540209709364,15591182544.7092,1.809,0.0,0.8116893705759222,11863016315.2934,2.352,0.0,0.8183316818535828,10588433068.8549,1.699,0.0,0.8250836023735848,9390855297.73553,1.971,0.0,0.7923940360840079,29455165594.6859
2010-01-01,1.971,0.0,0.7923940360840079,29455165594.6859,1.921,0.0,0.798723070055943,23013015832.1023,1.96,0.0,0.8051540209709364,15591182544.7092,1.809,0.0,0.8116893705759222,11863016315.2934,2.352,0.0,0.8183316818535828,10588433068.8549,2.313,0.0,0.7861645153505613,37796052938.7278
2011-01-01,2.313,0.0,0.7861645153505613,37796052938.7278,1.971,0.0,0.7923940360840079,29455165594.6859,1.921,0.0,0.798723070055943,23013015832.1023,1.96,0.0,0.8051540209709364,15591182544.7092,1.809,0.0,0.8116893705759222,11863016315.2934,2.708,0.0,0.8475072416044865,54118601974.7947
2012-01-01,2.708,0.0,0.8475072416044865,54118601974.7947,2.313,0.0,0.7861645153505613,37796052938.7278,1.971,0.0,0.7923940360840079,29455165594.6859,1.921,0.0,0.798723070055943,23013015832.1023,1.96,0.0,0.8051540209709364,15591182544.7092,2.71,0.0,0.8403849185623041,58318677644.9492
2013-01-01,2.71,0.0,0.8403849185623041,58318677644.9492,2.708,0.0,0.8475072416044865,54118601974.7947,2.313,0.0,0.7861645153505613,37796052938.7278,1.971,0.0,0.7923940360840079,29455165594.6859,1.921,0.0,0.798723070055943,23013015832.1023,2.635,0.0,0.8333813077379718,60572254371.4731
