,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.184,0.085,0.146,0.292,2.3989033019165524,0.3877575105060878,3401211581.29176
1993-01-01,0.197,0.046,0.085,0.292,2.3989033019165524,0.3911821121551541,3660041666.66667
1994-01-01,0.217,0.063,0.095,0.275,2.3427040960033927,0.3945068097877695,4066775510.20408
1995-01-01,0.236,0.087,0.084,0.307,2.289077777157227,0.3977359122217656,4401104417.67068
1996-01-01,0.255,0.1,0.071,0.307,2.237851613193852,0.400873484003437,4521580381.47139
1997-01-01,0.262,0.067,0.065,0.307,2.188867995447056,0.4039233624756606,4918691916.53516
1998-01-01,0.284,0.064,0.2,0.317,2.1419828190528336,0.4068891734346068,4856255044.39064
1999-01-01,0.323,0.095,0.25,0.389,2.097064067032468,0.4097743455093562,5033642384.10596
2000-01-01,0.352,0.126,0.227,0.389,2.053990568872409,0.4125821233843257,5494252207.90502
2001-01-01,0.392,0.143,0.12,0.439,1.0594951037276787,0.4114398729222652,6007055042.17687
2002-01-01,0.417,0.186,0.245,0.639,1.048387489607197,0.4103274370584184,6050875806.66403
2003-01-01,0.442,0.206,0.15,0.639,1.0375103607814014,0.40924366351654,6330473096.54071
2004-01-01,0.656,0.111,0.241,0.632,1.0268566169897484,0.4081874586428192,7273938314.71988
2005-01-01,0.718,0.097,0.266,0.611,1.0164194466454983,0.4071577837246548,8130258041.46706
2006-01-01,0.815,0.077,0.329,0.617,1.0061923123125025,0.4061536515833889,9043715355.8881
2007-01-01,0.845,0.06,0.425,0.623,0.9961689370502574,0.4051741234175013,10325618017.379
2008-01-01,0.896,0.046,0.356,0.724,0.986343291567002,0.4042183058750464,12545438605.3959
2009-01-01,1.073,0.075,0.639,0.725,0.9767095821256,0.4032853483361435,12854985464.0764
2010-01-01,1.101,0.031,0.694,0.726,0.9672622391515244,0.4023744403881445,16002656434.4746
2011-01-01,1.102,0.004,0.746,0.75,0.3304360164492774,0.3986529458437505,21621710002.5111
2012-01-01,1.075,0.004,0.79,0.7681,0.3293477329203357,0.3950234260937992,21703106502.4926
2013-01-01,1.155,0.003,1.319,0.8045,0.3282665943339756,0.3914825130944841,22162208956.0893
2014-01-01,1.224,0.003,1.37,0.8262,0.3271925305569874,0.388027001265682,22731602969.6861
2015-01-01,1.309,0.003,1.778,0.8768,0.3261254723711588,0.3846538378117636,24360795410.1597
2016-01-01,1.433,0.003,2.175,0.89821,1.2591680829544691,0.3851960555459562,24524098184.4236
2017-01-01,1.443,0.003,2.582,1.048482,1.2435101994151634,0.3857264286534243,28971589213.134
2018-01-01,1.114,0.035,2.813,1.16621,1.2282369476975454,0.3862453410557116,33111525182.7133
2019-01-01,1.183,0.107,1.729,1.16521,1.2133343271918906,0.3867531602595769,34186180694.9285
2020-01-01,1.526,0.044,2.826,1.39921,1.1987890086394517,0.3872502382249946,33657175561.329
2021-01-01,1.642190087,0.05525845,2.826,2.13521,2.042604923221792,0.3918777798097255,33657175561.329
