,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,3.361,0.7,11.285,79.993,10.585,0.6189837964551721,450490196078.431,3.383,0.586,12.0,76.11,11.414,0.6228390693725805,452301674444.139,3.359,0.28,10.9,75.002,10.62,0.6267426675706507,379130260322.073,3.147,0.269,10.572,72.388653,10.303,0.6306955054054648,353550169672.52,3.146,0.227,8.905,72.592,8.678,0.6306955054054648,362962872180.451,3.772,0.475,13.125,80.43608,12.65,0.615175956961902,416812740004.518
1998-01-01,3.772,0.475,13.125,80.43608,12.65,0.615175956961902,416812740004.518,3.361,0.7,11.285,79.993,10.585,0.6189837964551721,450490196078.431,3.383,0.586,12.0,76.11,11.414,0.6228390693725805,452301674444.139,3.359,0.28,10.9,75.002,10.62,0.6267426675706507,379130260322.073,3.147,0.269,10.572,72.388653,10.303,0.6306955054054648,353550169672.52,3.968,0.42,12.235,84.685,11.815,0.6114146808479778,438008220395.468
1999-01-01,3.968,0.42,12.235,84.685,11.815,0.6114146808479778,438008220395.468,3.772,0.475,13.125,80.43608,12.65,0.615175956961902,416812740004.518,3.361,0.7,11.285,79.993,10.585,0.6189837964551721,450490196078.431,3.383,0.586,12.0,76.11,11.414,0.6228390693725805,452301674444.139,3.359,0.28,10.9,75.002,10.62,0.6267426675706507,379130260322.073,4.147,3.968,22.405,80.642,18.437,0.6076991192177088,446898572341.786
2000-01-01,4.147,3.968,22.405,80.642,18.437,0.6076991192177088,446898572341.786,3.968,0.42,12.235,84.685,11.815,0.6114146808479778,438008220395.468,3.772,0.475,13.125,80.43608,12.65,0.615175956961902,416812740004.518,3.361,0.7,11.285,79.993,10.585,0.6189837964551721,450490196078.431,3.383,0.586,12.0,76.11,11.414,0.6228390693725805,452301674444.139,4.104,4.031,22.946,84.31044,18.915,0.6040284436855952,416442786069.652
2001-01-01,4.104,4.031,22.946,84.31044,18.915,0.6040284436855952,416442786069.652,4.147,3.968,22.405,80.642,18.437,0.6076991192177088,446898572341.786,3.968,0.42,12.235,84.685,11.815,0.6114146808479778,438008220395.468,3.772,0.475,13.125,80.43608,12.65,0.615175956961902,416812740004.518,3.361,0.7,11.285,79.993,10.585,0.6189837964551721,450490196078.431,4.2,4.209,21.492,88.12854,17.283,0.4515849447155435,431213422818.792
2002-01-01,4.2,4.209,21.492,88.12854,17.283,0.4515849447155435,431213422818.792,4.104,4.031,22.946,84.31044,18.915,0.6040284436855952,416442786069.652,4.147,3.968,22.405,80.642,18.437,0.6076991192177088,446898572341.786,3.968,0.42,12.235,84.685,11.815,0.6114146808479778,438008220395.468,3.772,0.475,13.125,80.43608,12.65,0.615175956961902,416812740004.518,4.227,4.488,20.87,90.32342,16.382,0.4495548228174572,471613965744.401
2003-01-01,4.227,4.488,20.87,90.32342,16.382,0.4495548228174572,471613965744.401,4.2,4.209,21.492,88.12854,17.283,0.4515849447155435,431213422818.792,4.104,4.031,22.946,84.31044,18.915,0.6040284436855952,416442786069.652,4.147,3.968,22.405,80.642,18.437,0.6076991192177088,446898572341.786,3.968,0.42,12.235,84.685,11.815,0.6114146808479778,438008220395.468,4.282,3.809,20.801,91.17422,16.992,0.4475428722510883,578792325056.433
2004-01-01,4.282,3.809,20.801,91.17422,16.992,0.4475428722510883,578792325056.433,4.227,4.488,20.87,90.32342,16.382,0.4495548228174572,471613965744.401,4.2,4.209,21.492,88.12854,17.283,0.4515849447155435,431213422818.792,4.104,4.031,22.946,84.31044,18.915,0.6040284436855952,416442786069.652,4.147,3.968,22.405,80.642,18.437,0.6076991192177088,446898572341.786,4.404,5.188,21.405,96.5419,16.217,0.4455488501299236,657171591755.649
2005-01-01,4.404,5.188,21.405,96.5419,16.217,0.4455488501299236,657171591755.649,4.282,3.809,20.801,91.17422,16.992,0.4475428722510883,578792325056.433,4.227,4.488,20.87,90.32342,16.382,0.4495548228174572,471613965744.401,4.2,4.209,21.492,88.12854,17.283,0.4515849447155435,431213422818.792,4.104,4.031,22.946,84.31044,18.915,0.6040284436855952,416442786069.652,4.473,5.398,23.691,94.50572,18.293,0.4435725178770301,685092650167.89
2006-01-01,4.473,5.398,23.691,94.50572,18.293,0.4435725178770301,685092650167.89,4.404,5.188,21.405,96.5419,16.217,0.4455488501299236,657171591755.649,4.282,3.809,20.801,91.17422,16.992,0.4475428722510883,578792325056.433,4.227,4.488,20.87,90.32342,16.382,0.4495548228174572,471613965744.401,4.2,4.209,21.492,88.12854,17.283,0.4515849447155435,431213422818.792,4.533,5.887,27.346,92.93152,21.459,0.4416136411297823,733340860619.747
