,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,2.61153493,7.292,13.576943582766106,1.262646575633342,0.0651861339036489,70140835299.0148,2.614186433,7.507,13.407652319876362,1.27879321436394,0.0652987910514989,63918703506.9075,2.538170779,7.388,13.23836105698662,1.2953581667014138,0.0654147346842326,55314732279.1379,2.456864271,7.139,13.069069794096878,1.3123579019608278,0.0655341107427955,46775620817.4327,2.400712625,7.131,12.899778531207136,1.3123579019608278,0.0656570739389079,41649829859.6342,2.737146771,7.39,13.746234845655849,1.2469026026198666,0.0650766254576662,66075143415.4952
1998-01-01,2.737146771,7.39,13.746234845655849,1.2469026026198666,0.0650766254576662,66075143415.4952,2.61153493,7.292,13.576943582766106,1.262646575633342,0.0651861339036489,70140835299.0148,2.614186433,7.507,13.407652319876362,1.27879321436394,0.0652987910514989,63918703506.9075,2.538170779,7.388,13.23836105698662,1.2953581667014138,0.0654147346842326,55314732279.1379,2.456864271,7.139,13.069069794096878,1.3123579019608278,0.0655341107427955,46775620817.4327,2.79823982,7.616,13.91552610854559,1.2315464182779003,0.0649701355262966,56227169851.0448
1999-01-01,2.79823982,7.616,13.91552610854559,1.2315464182779003,0.0649701355262966,56227169851.0448,2.737146771,7.39,13.746234845655849,1.2469026026198666,0.0650766254576662,66075143415.4952,2.61153493,7.292,13.576943582766106,1.262646575633342,0.0651861339036489,70140835299.0148,2.614186433,7.507,13.407652319876362,1.27879321436394,0.0652987910514989,63918703506.9075,2.538170779,7.388,13.23836105698662,1.2953581667014138,0.0654147346842326,55314732279.1379,2.769303797,8.452,14.084817371435332,1.2165638695167906,0.0648665410017357,58762260625.8758
2000-01-01,2.769303797,8.452,14.084817371435332,1.2165638695167906,0.0648665410017357,58762260625.8758,2.79823982,7.616,13.91552610854559,1.2315464182779003,0.0649701355262966,56227169851.0448,2.737146771,7.39,13.746234845655849,1.2469026026198666,0.0650766254576662,66075143415.4952,2.61153493,7.292,13.576943582766106,1.262646575633342,0.0651861339036489,70140835299.0148,2.614186433,7.507,13.407652319876362,1.27879321436394,0.0652987910514989,63918703506.9075,3.044446657,8.541,14.254108634325076,1.2019414836934543,0.0647657253808667,52623281956.7031
2001-01-01,3.044446657,8.541,14.254108634325076,1.2019414836934543,0.0647657253808667,52623281956.7031,2.769303797,8.452,14.084817371435332,1.2165638695167906,0.0648665410017357,58762260625.8758,2.79823982,7.616,13.91552610854559,1.2315464182779003,0.0649701355262966,56227169851.0448,2.737146771,7.39,13.746234845655849,1.2469026026198666,0.0650766254576662,66075143415.4952,2.61153493,7.292,13.576943582766106,1.262646575633342,0.0651861339036489,70140835299.0148,3.027575162,8.64,14.435673113540654,1.2737694364020586,0.0647233600568333,53872425916.6248
2002-01-01,3.027575162,8.64,14.435673113540654,1.2737694364020586,0.0647233600568333,53872425916.6248,3.044446657,8.541,14.254108634325076,1.2019414836934543,0.0647657253808667,52623281956.7031,2.769303797,8.452,14.084817371435332,1.2165638695167906,0.0648665410017357,58762260625.8758,2.79823982,7.616,13.91552610854559,1.2315464182779003,0.0649701355262966,56227169851.0448,2.737146771,7.39,13.746234845655849,1.2469026026198666,0.0650766254576662,66075143415.4952,3.013244428,8.609,14.617237592756233,1.257748618907632,0.0646821005367861,66627729311.4495
2003-01-01,3.013244428,8.609,14.617237592756233,1.257748618907632,0.0646821005367861,66627729311.4495,3.027575162,8.64,14.435673113540654,1.2737694364020586,0.0647233600568333,53872425916.6248,3.044446657,8.541,14.254108634325076,1.2019414836934543,0.0647657253808667,52623281956.7031,2.769303797,8.452,14.084817371435332,1.2165638695167906,0.0648665410017357,58762260625.8758,2.79823982,7.616,13.91552610854559,1.2315464182779003,0.0649701355262966,56227169851.0448,2.892774306,8.644,14.798802071971812,1.242125798827792,0.0646419040835515,88250885550.2626
2004-01-01,2.892774306,8.644,14.798802071971812,1.242125798827792,0.0646419040835515,88250885550.2626,3.013244428,8.609,14.617237592756233,1.257748618907632,0.0646821005367861,66627729311.4495,3.027575162,8.64,14.435673113540654,1.2737694364020586,0.0647233600568333,53872425916.6248,3.044446657,8.541,14.254108634325076,1.2019414836934543,0.0647657253808667,52623281956.7031,2.769303797,8.452,14.084817371435332,1.2165638695167906,0.0648665410017357,58762260625.8758,2.993978496,8.941,14.98036655118739,1.2268863272349049,0.0646027301342233,103905210084.034
2005-01-01,2.993978496,8.941,14.98036655118739,1.2268863272349049,0.0646027301342233,103905210084.034,2.892774306,8.644,14.798802071971812,1.242125798827792,0.0646419040835515,88250885550.2626,3.013244428,8.609,14.617237592756233,1.257748618907632,0.0646821005367861,66627729311.4495,3.027575162,8.64,14.435673113540654,1.2737694364020586,0.0647233600568333,53872425916.6248,3.044446657,8.541,14.254108634325076,1.2019414836934543,0.0647657253808667,52623281956.7031,2.978046787,8.962,15.16193103040297,1.2120162653909714,0.0645645401636293,114720129550.095
2006-01-01,2.978046787,8.962,15.16193103040297,1.2120162653909714,0.0645645401636293,114720129550.095,2.993978496,8.941,14.98036655118739,1.2268863272349049,0.0646027301342233,103905210084.034,2.892774306,8.644,14.798802071971812,1.242125798827792,0.0646419040835515,88250885550.2626,3.013244428,8.609,14.617237592756233,1.257748618907632,0.0646821005367861,66627729311.4495,3.027575162,8.64,14.435673113540654,1.2737694364020586,0.0647233600568333,53872425916.6248,3.010701125,8.977,15.343495509618547,1.1975023422247693,0.0645272975579574,111538810712.665
