,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.532,0.01,0.02,1.915084971279141,4308351902.78601,0.497,0.0,0.0,1.952476556378086,4140470000.0,0.454,0.013,0.0,1.991357341627068,3863185119.04762,0.387,0.048,0.0,2.0318181005406712,1756454248.36601,0.347,0.0,0.035,2.0318181005406712,1792800000.0,0.504,0.0,0.162,1.8790986357111252,4389965590.96538
1998-01-01,0.504,0.0,0.162,1.8790986357111252,4389965590.96538,0.532,0.01,0.02,1.915084971279141,4308351902.78601,0.497,0.0,0.0,1.952476556378086,4140470000.0,0.454,0.013,0.0,1.991357341627068,3863185119.04762,0.387,0.048,0.0,2.0318181005406712,1756454248.36601,0.596,0.0,0.043,1.8444397927294145,4635267224.84195
1999-01-01,0.596,0.0,0.043,1.8444397927294145,4635267224.84195,0.504,0.0,0.162,1.8790986357111252,4389965590.96538,0.532,0.01,0.02,1.915084971279141,4308351902.78601,0.497,0.0,0.0,1.952476556378086,4140470000.0,0.454,0.013,0.0,1.991357341627068,3863185119.04762,0.557,0.022,0.08,1.8110363182154856,4855717874.68247
2000-01-01,0.557,0.022,0.08,1.8110363182154856,4855717874.68247,0.596,0.0,0.043,1.8444397927294145,4635267224.84195,0.504,0.0,0.162,1.8790986357111252,4389965590.96538,0.532,0.01,0.02,1.915084971279141,4308351902.78601,0.497,0.0,0.0,1.952476556378086,4140470000.0,0.716,0.001,0.114,1.7788212198872044,5107329007.0922
2001-01-01,0.716,0.001,0.114,1.7788212198872044,5107329007.0922,0.557,0.022,0.08,1.8110363182154856,4855717874.68247,0.596,0.0,0.043,1.8444397927294145,4635267224.84195,0.504,0.0,0.162,1.8790986357111252,4389965590.96538,0.532,0.01,0.02,1.915084971279141,4308351902.78601,0.769,0.0,0.017,1.42978773904391,5323146565.70315
2002-01-01,0.769,0.0,0.017,1.42978773904391,5323146565.70315,0.716,0.001,0.114,1.7788212198872044,5107329007.0922,0.557,0.022,0.08,1.8110363182154856,4855717874.68247,0.596,0.0,0.043,1.8444397927294145,4635267224.84195,0.504,0.0,0.162,1.8790986357111252,4389965590.96538,0.79,0.007,0.016,1.409632979536971,5224213017.54386
2003-01-01,0.79,0.007,0.016,1.409632979536971,5224213017.54386,0.769,0.0,0.017,1.42978773904391,5323146565.70315,0.716,0.001,0.114,1.7788212198872044,5107329007.0922,0.557,0.022,0.08,1.8110363182154856,4855717874.68247,0.596,0.0,0.043,1.8444397927294145,4635267224.84195,0.819,0.021,0.012,1.390038537878741,5322454925.84746
2004-01-01,0.819,0.021,0.012,1.390038537878741,5322454925.84746,0.79,0.007,0.016,1.409632979536971,5224213017.54386,0.769,0.0,0.017,1.42978773904391,5323146565.70315,0.716,0.001,0.114,1.7788212198872044,5107329007.0922,0.557,0.022,0.08,1.8110363182154856,4855717874.68247,0.817,0.022,0.023,1.3709813685093413,5795568204.64532
2005-01-01,0.817,0.022,0.023,1.3709813685093413,5795568204.64532,0.819,0.021,0.012,1.390038537878741,5322454925.84746,0.79,0.007,0.016,1.409632979536971,5224213017.54386,0.769,0.0,0.017,1.42978773904391,5323146565.70315,0.716,0.001,0.114,1.7788212198872044,5107329007.0922,0.825,0.008,0.025,1.3524396725779686,6321335612.22233
2006-01-01,0.825,0.008,0.025,1.3524396725779686,6321335612.22233,0.817,0.022,0.023,1.3709813685093413,5795568204.64532,0.819,0.021,0.012,1.390038537878741,5322454925.84746,0.79,0.007,0.016,1.409632979536971,5224213017.54386,0.769,0.0,0.017,1.42978773904391,5323146565.70315,0.845,0.009,0.05332,1.334392814763083,6763418645.81377
