,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,0.3348864260428185,0.000253386286433667,0.3239746538409978,3.798208210584583,13769727960.195993
2023-01-01,0.4070514315104348,-0.0016796943447982538,0.39404439904460187,3.4520312202947783,16464099457.67864
2024-01-01,0.48072237800304946,-0.003992097496952393,0.496133989969498,3.778456440413391,18526696083.319298
2025-01-01,0.5349847452459867,-0.008075728405427737,0.6806364171133841,3.8615711472152974,19975087449.352142
2026-01-01,0.6263447579455672,-0.01247939620837486,0.8378325935121849,3.4624646046267045,19586947607.527573
2027-01-01,0.7741992126302761,-0.015713242246775273,1.0425801885335875,3.561506772365521,21582930684.349907
2028-01-01,0.9786385467838514,-0.02044313432678711,1.3347721228663698,2.8880730589155514,23638578008.15409
2029-01-01,1.2536337378732965,-0.027378650591278687,1.678423363274025,2.8341095368917952,27616228317.607807
2030-01-01,1.5311367588843017,-0.03668460176216132,2.1374485778064085,2.7168189556369184,31934365549.03595
2031-01-01,1.8699676105484668,-0.04782779530768023,2.7126908288347047,2.691673016120778,36107049946.27051
