,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.01001,0.0,0.145,3.253105838592433,2405687081.12795,0.00973,0.0,0.145,3.3624912373570544,2302537682.18029,0.00966,0.0,0.145,3.479488741391136,1938058161.25116,0.01043,0.0,0.145,3.6049215819718463,3052673622.85839,0.01071,0.0,0.145,3.6049215819718463,3386232592.01834,0.0098,0.0,0.145,3.150613061148729,2290318800.33457
1998-01-01,0.0098,0.0,0.145,3.150613061148729,2290318800.33457,0.01001,0.0,0.145,3.253105838592433,2405687081.12795,0.00973,0.0,0.145,3.3624912373570544,2302537682.18029,0.00966,0.0,0.145,3.479488741391136,1938058161.25116,0.01043,0.0,0.145,3.6049215819718463,3052673622.85839,0.00952,0.0,0.145,3.0543813242108717,2643363406.97664
1999-01-01,0.00952,0.0,0.145,3.0543813242108717,2643363406.97664,0.0098,0.0,0.145,3.150613061148729,2290318800.33457,0.01001,0.0,0.145,3.253105838592433,2405687081.12795,0.00973,0.0,0.145,3.3624912373570544,2302537682.18029,0.00966,0.0,0.145,3.479488741391136,1938058161.25116,0.00994,0.0,0.145,2.9638539234947396,2537790022.73535
2000-01-01,0.00994,0.0,0.145,2.9638539234947396,2537790022.73535,0.00952,0.0,0.145,3.0543813242108717,2643363406.97664,0.0098,0.0,0.145,3.150613061148729,2290318800.33457,0.01001,0.0,0.145,3.253105838592433,2405687081.12795,0.00973,0.0,0.145,3.3624912373570544,2302537682.18029,0.039,0.0,0.1455,2.878538254499477,2241753120.21267
2001-01-01,0.039,0.0,0.1455,2.878538254499477,2241753120.21267,0.00994,0.0,0.145,2.9638539234947396,2537790022.73535,0.00952,0.0,0.145,3.0543813242108717,2643363406.97664,0.0098,0.0,0.145,3.150613061148729,2290318800.33457,0.01001,0.0,0.145,3.253105838592433,2405687081.12795,0.038,0.0,0.1456,4.3233440867477535,2448714680.56221
2002-01-01,0.038,0.0,0.1456,4.3233440867477535,2448714680.56221,0.039,0.0,0.1455,2.878538254499477,2241753120.21267,0.00994,0.0,0.145,2.9638539234947396,2537790022.73535,0.00952,0.0,0.145,3.0543813242108717,2643363406.97664,0.0098,0.0,0.145,3.150613061148729,2290318800.33457,0.031,0.0,0.1456,4.144177053174941,2782192986.95772
2003-01-01,0.031,0.0,0.1456,4.144177053174941,2782192986.95772,0.038,0.0,0.1456,4.3233440867477535,2448714680.56221,0.039,0.0,0.1455,2.878538254499477,2241753120.21267,0.00994,0.0,0.145,2.9638539234947396,2537790022.73535,0.00952,0.0,0.145,3.0543813242108717,2643363406.97664,0.052,0.0,0.1457,3.9792690963979505,3394084884.67098
2004-01-01,0.052,0.0,0.1457,3.9792690963979505,3394084884.67098,0.031,0.0,0.1456,4.144177053174941,2782192986.95772,0.038,0.0,0.1456,4.3233440867477535,2448714680.56221,0.039,0.0,0.1455,2.878538254499477,2241753120.21267,0.00994,0.0,0.145,2.9638539234947396,2537790022.73535,0.059,0.001,0.1328,3.826983139022455,3760443965.72976
2005-01-01,0.059,0.001,0.1328,3.826983139022455,3760443965.72976,0.052,0.0,0.1457,3.9792690963979505,3394084884.67098,0.031,0.0,0.1456,4.144177053174941,2782192986.95772,0.038,0.0,0.1456,4.3233440867477535,2448714680.56221,0.039,0.0,0.1455,2.878538254499477,2241753120.21267,0.067,0.001,0.134,3.6859234693337934,4383315656.99096
2006-01-01,0.067,0.001,0.134,3.6859234693337934,4383315656.99096,0.059,0.001,0.1328,3.826983139022455,3760443965.72976,0.052,0.0,0.1457,3.9792690963979505,3394084884.67098,0.031,0.0,0.1456,4.144177053174941,2782192986.95772,0.038,0.0,0.1456,4.3233440867477535,2448714680.56221,0.08,0.002,0.134,3.5548928398404476,4756361479.98873
2007-01-01,0.08,0.002,0.134,3.5548928398404476,4756361479.98873,0.067,0.001,0.134,3.6859234693337934,4383315656.99096,0.059,0.001,0.1328,3.826983139022455,3760443965.72976,0.052,0.0,0.1457,3.9792690963979505,3394084884.67098,0.031,0.0,0.1456,4.144177053174941,2782192986.95772,0.098,0.002,0.134,3.432858402295375,5731485267.33492
2008-01-01,0.098,0.002,0.134,3.432858402295375,5731485267.33492,0.08,0.002,0.134,3.5548928398404476,4756361479.98873,0.067,0.001,0.134,3.6859234693337934,4383315656.99096,0.059,0.001,0.1328,3.826983139022455,3760443965.72976,0.052,0.0,0.1457,3.9792690963979505,3394084884.67098,0.09,0.002,0.134,3.318924426262599,7297600896.86099
2009-01-01,0.09,0.002,0.134,3.318924426262599,7297600896.86099,0.098,0.002,0.134,3.432858402295375,5731485267.33492,0.08,0.002,0.134,3.5548928398404476,4756361479.98873,0.067,0.001,0.134,3.6859234693337934,4383315656.99096,0.059,0.001,0.1328,3.826983139022455,3760443965.72976,0.115,0.002,0.135,3.212310275869413,7352131669.2941
