,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,5.722,0.1,5.881,2.7434219302790512,47794925814.7558
1993-01-01,5.54,0.1,5.881,2.7434219302790512,27752204320.0883
1994-01-01,6.781,0.1,5.881,2.6701679569722065,33833042987.7582
1995-01-01,5.981,0.0,5.881,2.6007242513631037,44062465800.1706
1996-01-01,6.736,0.0,5.888,2.534801065333174,51075815092.5
1997-01-01,6.813,0.0,5.888,2.472137302649125,54457835193.4927
1998-01-01,6.157,0.019,5.888,2.4124970628334905,54604050168.1818
1999-01-01,7.053,0.019,5.888,2.355666673524576,59372613485.6576
2000-01-01,2.945,0.022,5.893,2.30145213262911,69448756932.5833
2001-01-01,3.092,0.025,5.893,3.101363751683494,74030364472.0506
2002-01-01,4.309,0.03,5.894,3.008072482099289,95385819320.5737
2003-01-01,4.037,0.04,5.905,2.920229851521618,104911947834.122
2004-01-01,4.855,0.02,5.905,2.837372065467123,136385979322.437
2005-01-01,4.708,0.0,5.905,2.7590865154166213,176134087150.341
2006-01-01,4.622,0.0,7.4472,2.685004907086912,236103982431.635
2007-01-01,3.447,0.0,7.9672,2.6147974667931324,275625684968.615
2008-01-01,3.167,0.0,8.4762,2.5481680336008834,339476215683.592
2009-01-01,2.967,0.0,8.8512,2.4848498831943755,295008767295.038
2010-01-01,3.918,0.0,8.5752,2.424602159271782,361456622215.721
2011-01-01,4.055,0.0,9.0902,2.8633145135985916,404993594133.582
2012-01-01,4.309,0.0,9.1052,2.783610976506167,455501524575.498
2013-01-01,4.336,0.0,10.0272,2.708224540916756,508692961937.492
2014-01-01,4.838,0.0,10.596,2.636813705058133,546676374567.721
2015-01-01,4.971,0.0,10.597,2.5690720608644404,486803295097.89
2016-01-01,5.476,0.0,12.54423,2.64480189043461,404650006428.613
2017-01-01,4.832235,0.0,12.28423,2.5766544839335666,375746469538.666
2018-01-01,5.00658,0.0,12.28423,2.5119307086946807,397190484464.308
2019-01-01,4.96567,0.0,11.69023,2.4503788889049067,448120428858.769
2020-01-01,4.864361,0.0,11.69123,2.3917714267919377,432293776262.398
2021-01-01,4.862295198,0.0,11.69623,2.4513834365670713,432293776262.398
