,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,6.736,0.0,5.888,2.534801065333174,51075815092.5,5.981,0.0,5.881,2.6007242513631037,44062465800.1706,6.781,0.1,5.881,2.6701679569722065,33833042987.7582,5.54,0.1,5.881,2.7434219302790512,27752204320.0883,5.722,0.1,5.881,2.7434219302790512,47794925814.7558,6.813,0.0,5.888,2.472137302649125,54457835193.4927
1998-01-01,6.813,0.0,5.888,2.472137302649125,54457835193.4927,6.736,0.0,5.888,2.534801065333174,51075815092.5,5.981,0.0,5.881,2.6007242513631037,44062465800.1706,6.781,0.1,5.881,2.6701679569722065,33833042987.7582,5.54,0.1,5.881,2.7434219302790512,27752204320.0883,6.157,0.019,5.888,2.4124970628334905,54604050168.1818
1999-01-01,6.157,0.019,5.888,2.4124970628334905,54604050168.1818,6.813,0.0,5.888,2.472137302649125,54457835193.4927,6.736,0.0,5.888,2.534801065333174,51075815092.5,5.981,0.0,5.881,2.6007242513631037,44062465800.1706,6.781,0.1,5.881,2.6701679569722065,33833042987.7582,7.053,0.019,5.888,2.355666673524576,59372613485.6576
2000-01-01,7.053,0.019,5.888,2.355666673524576,59372613485.6576,6.157,0.019,5.888,2.4124970628334905,54604050168.1818,6.813,0.0,5.888,2.472137302649125,54457835193.4927,6.736,0.0,5.888,2.534801065333174,51075815092.5,5.981,0.0,5.881,2.6007242513631037,44062465800.1706,2.945,0.022,5.893,2.30145213262911,69448756932.5833
2001-01-01,2.945,0.022,5.893,2.30145213262911,69448756932.5833,7.053,0.019,5.888,2.355666673524576,59372613485.6576,6.157,0.019,5.888,2.4124970628334905,54604050168.1818,6.813,0.0,5.888,2.472137302649125,54457835193.4927,6.736,0.0,5.888,2.534801065333174,51075815092.5,3.092,0.025,5.893,3.101363751683494,74030364472.0506
2002-01-01,3.092,0.025,5.893,3.101363751683494,74030364472.0506,2.945,0.022,5.893,2.30145213262911,69448756932.5833,7.053,0.019,5.888,2.355666673524576,59372613485.6576,6.157,0.019,5.888,2.4124970628334905,54604050168.1818,6.813,0.0,5.888,2.472137302649125,54457835193.4927,4.309,0.03,5.894,3.008072482099289,95385819320.5737
2003-01-01,4.309,0.03,5.894,3.008072482099289,95385819320.5737,3.092,0.025,5.893,3.101363751683494,74030364472.0506,2.945,0.022,5.893,2.30145213262911,69448756932.5833,7.053,0.019,5.888,2.355666673524576,59372613485.6576,6.157,0.019,5.888,2.4124970628334905,54604050168.1818,4.037,0.04,5.905,2.920229851521618,104911947834.122
2004-01-01,4.037,0.04,5.905,2.920229851521618,104911947834.122,4.309,0.03,5.894,3.008072482099289,95385819320.5737,3.092,0.025,5.893,3.101363751683494,74030364472.0506,2.945,0.022,5.893,2.30145213262911,69448756932.5833,7.053,0.019,5.888,2.355666673524576,59372613485.6576,4.855,0.02,5.905,2.837372065467123,136385979322.437
2005-01-01,4.855,0.02,5.905,2.837372065467123,136385979322.437,4.037,0.04,5.905,2.920229851521618,104911947834.122,4.309,0.03,5.894,3.008072482099289,95385819320.5737,3.092,0.025,5.893,3.101363751683494,74030364472.0506,2.945,0.022,5.893,2.30145213262911,69448756932.5833,4.708,0.0,5.905,2.7590865154166213,176134087150.341
2006-01-01,4.708,0.0,5.905,2.7590865154166213,176134087150.341,4.855,0.02,5.905,2.837372065467123,136385979322.437,4.037,0.04,5.905,2.920229851521618,104911947834.122,4.309,0.03,5.894,3.008072482099289,95385819320.5737,3.092,0.025,5.893,3.101363751683494,74030364472.0506,4.622,0.0,7.4472,2.685004907086912,236103982431.635
2007-01-01,4.622,0.0,7.4472,2.685004907086912,236103982431.635,4.708,0.0,5.905,2.7590865154166213,176134087150.341,4.855,0.02,5.905,2.837372065467123,136385979322.437,4.037,0.04,5.905,2.920229851521618,104911947834.122,4.309,0.03,5.894,3.008072482099289,95385819320.5737,3.447,0.0,7.9672,2.6147974667931324,275625684968.615
2008-01-01,3.447,0.0,7.9672,2.6147974667931324,275625684968.615,4.622,0.0,7.4472,2.685004907086912,236103982431.635,4.708,0.0,5.905,2.7590865154166213,176134087150.341,4.855,0.02,5.905,2.837372065467123,136385979322.437,4.037,0.04,5.905,2.920229851521618,104911947834.122,3.167,0.0,8.4762,2.5481680336008834,339476215683.592
2009-01-01,3.167,0.0,8.4762,2.5481680336008834,339476215683.592,3.447,0.0,7.9672,2.6147974667931324,275625684968.615,4.622,0.0,7.4472,2.685004907086912,236103982431.635,4.708,0.0,5.905,2.7590865154166213,176134087150.341,4.855,0.02,5.905,2.837372065467123,136385979322.437,2.967,0.0,8.8512,2.4848498831943755,295008767295.038
2010-01-01,2.967,0.0,8.8512,2.4848498831943755,295008767295.038,3.167,0.0,8.4762,2.5481680336008834,339476215683.592,3.447,0.0,7.9672,2.6147974667931324,275625684968.615,4.622,0.0,7.4472,2.685004907086912,236103982431.635,4.708,0.0,5.905,2.7590865154166213,176134087150.341,3.918,0.0,8.5752,2.424602159271782,361456622215.721
2011-01-01,3.918,0.0,8.5752,2.424602159271782,361456622215.721,2.967,0.0,8.8512,2.4848498831943755,295008767295.038,3.167,0.0,8.4762,2.5481680336008834,339476215683.592,3.447,0.0,7.9672,2.6147974667931324,275625684968.615,4.622,0.0,7.4472,2.685004907086912,236103982431.635,4.055,0.0,9.0902,2.8633145135985916,404993594133.582
2012-01-01,4.055,0.0,9.0902,2.8633145135985916,404993594133.582,3.918,0.0,8.5752,2.424602159271782,361456622215.721,2.967,0.0,8.8512,2.4848498831943755,295008767295.038,3.167,0.0,8.4762,2.5481680336008834,339476215683.592,3.447,0.0,7.9672,2.6147974667931324,275625684968.615,4.309,0.0,9.1052,2.783610976506167,455501524575.498
2013-01-01,4.309,0.0,9.1052,2.783610976506167,455501524575.498,4.055,0.0,9.0902,2.8633145135985916,404993594133.582,3.918,0.0,8.5752,2.424602159271782,361456622215.721,2.967,0.0,8.8512,2.4848498831943755,295008767295.038,3.167,0.0,8.4762,2.5481680336008834,339476215683.592,4.336,0.0,10.0272,2.708224540916756,508692961937.492
