,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
2022-01-01,0.9840883126897733,0.49421029725816495,2.723184420559952,1.8996226986050757,6.366329716393504,5.121443905781488,-0.1526590571718938,12199908744.08002
2023-01-01,0.8391373544356501,0.5082053154206231,2.5384641271116135,1.9154218178340165,6.2563705213781535,5.0652490641228125,-0.16214632107489055,12719070011.385735
2024-01-01,0.7809804766373367,0.4681262359162609,2.3454973423913152,1.8971861645528596,6.077406224457276,4.981015594619558,-0.1491771457225243,12367347738.935331
2025-01-01,0.698977982234309,0.4471933935009072,2.1551418744524478,1.8665739567692512,5.873429707085075,4.864459208367843,-0.13642406227319429,11936608221.490917
2026-01-01,0.6902935082509474,0.49026907940351205,2.342273149004148,1.8910106321334643,5.565376388877598,4.4036658275279095,-0.1189036521982764,11978722782.215855
2027-01-01,0.6544311352845132,0.5898605355754974,2.3357257169190926,1.9335277906780064,5.6438933397023385,4.552459293643255,-0.24508474184792287,12306833591.636528
2028-01-01,0.6216630333223707,0.5936374216174293,2.1502545143287373,1.928569725585505,5.647041994239614,4.7120879348506755,-0.29528860320148953,12033604044.013355
2029-01-01,0.5648792875772979,0.5578198036258827,1.8443686408413804,1.9093134576043658,5.518598423800082,4.796928874161882,-0.3076998733638405,11434610283.16884
2030-01-01,0.534318821792017,0.5847844679628409,1.8550352792344778,1.9045915327178249,5.289984456552332,4.554052467072711,-0.2896168261135914,11183407885.408815
2031-01-01,0.4840815735027737,0.6455383031516777,1.9085956706294422,1.9255957571057833,5.095035221855314,4.3160594278803215,-0.3119662671288713,11394709572.486187
