,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,6.814,10.103,1.359,27.213,0.581528926663584,130838040067.584
1993-01-01,8.967,8.376,0.594,27.268,0.581528926663584,120579072750.596
1994-01-01,7.93,4.96,4.84,27.5,0.5781667199427963,127131461119.927
1995-01-01,9.422,8.966,2.301,28.19,0.5748431680532262,152029612324.788
1996-01-01,8.541,4.24,13.21,28.305,0.5715576081910515,163520109150.671
1997-01-01,8.314,4.875,8.693,28.138,0.5683093926194916,161356631888.484
1998-01-01,7.976,4.412,8.046,27.782,0.5650978882430906,154163364302.66
1999-01-01,9.0,8.277,6.856,28.332,0.5619224761965617,162284465073.341
2000-01-01,8.778,20.529,1.474,28.476,0.558782551446896,171247131268.604
2001-01-01,7.788,7.174,10.745,28.032,0.8873771431345188,173972218824.027
2002-01-01,9.263,15.046,5.335,28.374,0.8795720220533901,195524186477.617
2003-01-01,9.368,5.548,13.422,28.479,0.8719030071431375,228858506821.841
2004-01-01,10.965,3.854,15.309,28.575,0.8643665690349615,264511630666.983
2005-01-01,10.0,15.695,3.653,29.204,0.8569592993412397,308884284051.222
2006-01-01,10.114,8.947,9.801,29.383,0.849677905515477,345581369965.54
2007-01-01,10.111,15.32,5.285,30.075,0.8425192059725836,400937100158.657
2008-01-01,9.704,17.275,3.412,30.64,0.8354801254535731,462250000000.0
2009-01-01,7.578,14.634,5.651,31.341,0.8285576906205022,386190385318.767
2010-01-01,9.553998,7.124001,14.673,31.784,0.8217490258690843,428757038466.841
2011-01-01,7.298,14.329,11.254001,32.197,1.229574327147389,498283438454.281
2012-01-01,9.158,22.006,4.191002,32.975,1.214639432517742,509506317146.541
2013-01-01,8.06,15.141,10.135001,33.602,1.200062994175434,522761531914.894
2014-01-01,7.605,21.932,6.347003,33.815,1.1858322600495848,498410050251.256
2015-01-01,7.469,22.016,7.371,33.957,1.1719350758532798,385801550067.169
2016-01-01,9.169999,22.150999,5.74,33.887,0.7301348886280561,368827142857.143
2017-01-01,9.152999,21.276,6.111,34.325,0.7248425602083679,398393955268.99
2018-01-01,9.00538,18.4889022,8.339724,35.468,0.7196264017737976,436999692591.454
2019-01-01,8.257,12.3089999,12.3530001,36.781,0.7144847806555622,404941363636.364
2020-01-01,8.908998,24.9682649,4.4961449,38.331,0.7094161105144006,362198318435.26
2021-01-01,9.0760562,25.8188721,8.2350599,39.412,0.5063348550021665,362198318435.26
