,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,3.4759169564185894,7.129513060350789,3.1933798238191167,78835661101.43213
2023-01-01,3.6835537423029434,8.030987510996638,3.515609072277434,88460550836.56476
2024-01-01,3.8140293479366316,8.391947126844759,3.575532913688198,92998977228.97656
2025-01-01,3.8151793928419933,7.989411970564567,3.2958459453654942,90063030246.1336
2026-01-01,3.7792597595086184,7.708733632686398,3.158428402217049,87499397213.6848
2027-01-01,3.75806185663017,7.830149269434976,3.5601439713707124,89129156421.88641
2028-01-01,3.8020472463669677,8.277293075951267,3.8678793921116084,93275091923.84583
2029-01-01,3.8527410036370124,8.539781925211944,3.986435449357216,95974601921.69656
2030-01-01,3.8656581501323526,8.447613583539505,3.8495565462514403,95287193972.54706
2031-01-01,3.8586399875667263,8.336178259337046,3.75615436726979,94271071660.07022
